Gene Set	Basal	Her2	LumA	LumB	Normal	Average AUC
KEGG_CELL_CYCLE	0.76793388	0.70318385	0.73364222	0.50984368	0.61328042	0.66557681
ST_JNK_MAPK_PATHWAY	0.79895348	0.70622809	0.73221170	0.51270198	0.56291180	0.66260141
KEGG_NEUROTROPHIN_SIGNALING_PATHWAY	0.77699767	0.71016015	0.74039505	0.51893863	0.54242147	0.657782594
PID_P75NTRPATHWAY	0.80184967	0.69869112	0.74430827	0.45391973	0.57403159	0.654560076
KEGG_GLIOMA	0.80463277	0.73393241	0.72045769	0.44665784	0.55428999	0.65199414
KEGG_CHRONIC_MYELOID_LEUKEMIA	0.78444453	0.70281940	0.73021644	0.48256598	0.54123772	0.648256814
KEGG_PANCREATIC_CANCER	0.80229465	0.76772261	0.74024547	0.51736153	0.39815331	0.645155514
KEGG_HUNTINGTONS_DISEASE	0.77275127	0.70711568	0.72991064	0.48028448	0.51909120	0.641830654
PID_MYC_ACTIVPATHWAY	0.77015083	0.69929232	0.74352919	0.50067114	0.49548443	0.641825582
KEGG_SMALL_CELL_LUNG_CANCER	0.81431403	0.67093522	0.72230146	0.50821567	0.48148768	0.639450812
PID_P53REGULATIONPATHWAY	0.75131922	0.71594180	0.74123689	0.48871898	0.49405922	0.638255222
BIOCARTA_ARF_PATHWAY	0.79765770	0.72289907	0.75232318	0.44657046	0.46208114	0.63630631
PID_LKB1_PATHWAY	0.76334854	0.69593440	0.72265786	0.46527859	0.53387104	0.636218086
ST_FAS_SIGNALING_PATHWAY	0.76652354	0.71345331	0.72451392	0.44016262	0.53213086	0.63535685
BIOCARTA_RB_PATHWAY	0.76075773	0.69545189	0.72955875	0.51840119	0.47208763	0.635251438
KEGG_BASAL_CELL_CARCINOMA	0.76258104	0.69823957	0.72009213	0.47430614	0.51917254	0.634878284
PID_AURORA_A_PATHWAY	0.77667511	0.70712002	0.73687865	0.48147482	0.47160398	0.634750516
REACTOME_GPCR_DOWNSTREAM_SIGNALING	0.66758600	0.61558370	0.66244429	0.52506616	0.69773448	0.633682926
BIOCARTA_CTCF_PATHWAY	0.77742247	0.73306760	0.74479162	0.46819814	0.44312981	0.633321928
BIOCARTA_G1_PATHWAY	0.76065491	0.69406652	0.72333606	0.49810697	0.48861500	0.632955892
BIOCARTA_ATRBRCA_PATHWAY	0.76503750	0.71085806	0.72479606	0.47555713	0.47257770	0.62976529
REACTOME_PRE_NOTCH_EXPRESSION_AND_PROCESSING	0.75967848	0.70927573	0.71927639	0.47303428	0.48572284	0.629397544
REACTOME_PRE_NOTCH_TRANSCRIPTION_AND_TRANSLATION	0.75462241	0.70844589	0.71865088	0.47712317	0.48521417	0.628811304
KEGG_AMYOTROPHIC_LATERAL_SCLEROSIS_ALS	0.76446646	0.68663502	0.72298720	0.48441474	0.48443779	0.628588242
KEGG_APOPTOSIS	0.80324510	0.66328653	0.71389804	0.50780769	0.45277209	0.62820189
BIOCARTA_G2_PATHWAY	0.76332496	0.71876032	0.72101753	0.46610682	0.46922239	0.627686404
BIOCARTA_P53HYPOXIA_PATHWAY	0.75189707	0.72608703	0.71596177	0.46919330	0.47060774	0.626749382
BIOCARTA_CHEMICAL_PATHWAY	0.76311010	0.69051738	0.72496426	0.47997679	0.47453309	0.626620324
REACTOME_SIGNALING_BY_NOTCH	0.75537676	0.69388246	0.72975802	0.46116737	0.49222571	0.626482064
KEGG_NON_SMALL_CELL_LUNG_CANCER	0.81630996	0.73332119	0.71308854	0.46088629	0.40854963	0.626431122
REACTOME_AUTODEGRADATION_OF_THE_E3_UBIQUITIN_LIGASE_COP1	0.75518265	0.69985750	0.70996232	0.48301764	0.48340715	0.626285452
BIOCARTA_P53_PATHWAY	0.75860087	0.70533341	0.71565653	0.47473046	0.47677051	0.626218356
