Gene Set	Basal	Her2	LumA	LumB	Normal	Average p-value
PID_DELTANP63PATHWAY	0.02	0.03	0.00	0.00	0.43	0.096
BIOCARTA_CELLCYCLE_PATHWAY	0.18	0.28	0.00	0.01	0.05	0.104
REACTOME_ASSOCIATION_OF_LICENSING_FACTORS_WITH_THE_PRE_REPLICATIVE_COMPLEX	0.08	0.01	0.01	0.05	0.41	0.112
PID_HEDGEHOG_2PATHWAY	0.21	0.17	0.12	0.03	0.07	0.12
KEGG_PANCREATIC_CANCER	0.53	0.00	0.09	0.01	0.00	0.126
REACTOME_CDC6_ASSOCIATION_WITH_THE_ORC_ORIGIN_COMPLEX	0.06	0.00	0.00	0.00	0.58	0.128
BIOCARTA_PTC1_PATHWAY	0.09	0.10	0.00	0.01	0.51	0.142
REACTOME_GROWTH_HORMONE_RECEPTOR_SIGNALING	0.07	0.04	0.22	0.33	0.07	0.146
REACTOME_IL_6_SIGNALING	0.14	0.04	0.14	0.18	0.32	0.164
REACTOME_THE_ACTIVATION_OF_ARYLSULFATASES	0.03	0.18	0.16	0.49	0.02	0.176
BIOCARTA_HER2_PATHWAY	0.30	0.05	0.26	0.03	0.31	0.19
SIG_CHEMOTAXIS	0.45	0.16	0.13	0.19	0.12	0.21
KEGG_PROSTATE_CANCER	0.72	0.00	0.28	0.03	0.04	0.214
KEGG_SMALL_CELL_LUNG_CANCER	0.55	0.28	0.12	0.12	0.00	0.214
KEGG_HOMOLOGOUS_RECOMBINATION	0.22	0.38	0.02	0.10	0.36	0.216
ST_MYOCYTE_AD_PATHWAY	0.05	0.23	0.30	0.18	0.32	0.216
BIOCARTA_ETS_PATHWAY	0.63	0.22	0.05	0.13	0.08	0.222
KEGG_CHRONIC_MYELOID_LEUKEMIA	0.45	0.04	0.33	0.13	0.17	0.224
REACTOME_SIGNALING_BY_RHO_GTPASES	0.43	0.42	0.04	0.15	0.09	0.226
REACTOME_REMOVAL_OF_THE_FLAP_INTERMEDIATE_FROM_THE_C_STRAND	0.15	0.57	0.08	0.05	0.28	0.226
ST_ADRENERGIC	0.05	0.11	0.47	0.18	0.35	0.232
REACTOME_E2F_MEDIATED_REGULATION_OF_DNA_REPLICATION	0.30	0.21	0.00	0.03	0.63	0.234
BIOCARTA_SRCRPTP_PATHWAY	0.30	0.41	0.02	0.01	0.47	0.242
PID_HES_HEYPATHWAY	0.07	0.01	0.30	0.16	0.67	0.242
REACTOME_APOBEC3G_MEDIATED_RESISTANCE_TO_HIV1_INFECTION	0.06	0.51	0.06	0.12	0.47	0.244
REACTOME_NRAGE_SIGNALS_DEATH_THROUGH_JNK	0.54	0.12	0.17	0.29	0.12	0.248
BIOCARTA_DNAFRAGMENT_PATHWAY	0.40	0.25	0.08	0.31	0.22	0.252
KEGG_BLADDER_CANCER	0.70	0.00	0.30	0.12	0.14	0.252
BIOCARTA_LEPTIN_PATHWAY	0.37	0.01	0.32	0.14	0.46	0.26
KEGG_MISMATCH_REPAIR	0.37	0.43	0.02	0.16	0.32	0.26
KEGG_SELENOAMINO_ACID_METABOLISM	0.55	0.19	0.32	0.03	0.22	0.262
KEGG_PURINE_METABOLISM	0.75	0.01	0.12	0.18	0.26	0.264
REACTOME_GRB2_EVENTS_IN_ERBB2_SIGNALING	0.16	0.05	0.62	0.18	0.31	0.264
BIOCARTA_TEL_PATHWAY	0.16	0.01	0.39	0.35	0.42	0.266
BIOCARTA_SKP2E2F_PATHWAY	0.41	0.13	0.02	0.05	0.72	0.266
REACTOME_G1_PHASE	0.46	0.63	0.04	0.16	0.07	0.272
KEGG_NON_SMALL_CELL_LUNG_CANCER	0.82	0.01	0.41	0.09	0.03	0.272
REACTOME_G2_M_DNA_DAMAGE_CHECKPOINT	0.27	0.27	0.02	0.05	0.76	0.274
REACTOME_ADENYLATE_CYCLASE_ACTIVATING_PATHWAY	0.09	0.08	0.47	0.32	0.43	0.278
REACTOME_KERATAN_SULFATE_BIOSYNTHESIS	0.20	0.32	0.32	0.30	0.26	0.28
REACTOME_PRE_NOTCH_TRANSCRIPTION_AND_TRANSLATION	0.02	0.26	0.23	0.08	0.81	0.28
PID_VEGFR1_PATHWAY	0.46	0.21	0.33	0.18	0.26	0.288
KEGG_PATHWAYS_IN_CANCER	0.89	0.02	0.16	0.05	0.35	0.294
BIOCARTA_MCM_PATHWAY	0.29	0.38	0.05	0.26	0.49	0.294
KEGG_REGULATION_OF_ACTIN_CYTOSKELETON	0.38	0.00	0.68	0.43	0.00	0.298
REACTOME_MITOTIC_G1_G1_S_PHASES	0.22	0.34	0.10	0.24	0.60	0.3
REACTOME_APC_CDC20_MEDIATED_DEGRADATION_OF_NEK2A	0.42	0.30	0.00	0.03	0.75	0.3
PID_ERA_GENOMIC_PATHWAY	0.20	0.15	0.22	0.22	0.71	0.3
KEGG_PROGESTERONE_MEDIATED_OOCYTE_MATURATION	0.99	0.36	0.00	0.10	0.06	0.302
PID_INTEGRIN_CS_PATHWAY	0.16	0.36	0.57	0.37	0.05	0.302
PID_ATF2_PATHWAY	0.82	0.13	0.23	0.05	0.31	0.308
REACTOME_KINESINS	0.45	0.57	0.02	0.11	0.39	0.308
REACTOME_FGFR4_LIGAND_BINDING_AND_ACTIVATION	0.74	0.00	0.47	0.21	0.12	0.308
REACTOME_PTM_GAMMA_CARBOXYLATION_HYPUSINE_FORMATION_AND_ARYLSULFATASE_ACTIVATION	0.25	0.28	0.23	0.40	0.39	0.31
KEGG_NITROGEN_METABOLISM	0.20	0.03	0.60	0.70	0.03	0.312
KEGG_GLIOMA	0.70	0.04	0.23	0.10	0.49	0.312
REACTOME_PYRIMIDINE_METABOLISM	0.56	0.43	0.04	0.23	0.31	0.314
REACTOME_ACTIVATION_OF_THE_PRE_REPLICATIVE_COMPLEX	0.46	0.38	0.01	0.14	0.58	0.314
PID_ERBB_NETWORK_PATHWAY	0.16	0.05	0.94	0.35	0.07	0.314
REACTOME_E2F_ENABLED_INHIBITION_OF_PRE_REPLICATION_COMPLEX_FORMATION	0.46	0.22	0.01	0.09	0.80	0.316
PID_TAP63PATHWAY	0.74	0.01	0.33	0.00	0.50	0.316
KEGG_ONE_CARBON_POOL_BY_FOLATE	0.46	0.38	0.12	0.22	0.42	0.32
PID_MYC_REPRESSPATHWAY	0.55	0.01	0.70	0.35	0.01	0.324
KEGG_OOCYTE_MEIOSIS	0.55	0.03	0.00	0.06	0.99	0.326
REACTOME_CIRCADIAN_CLOCK	0.02	0.32	0.66	0.33	0.30	0.326
KEGG_NICOTINATE_AND_NICOTINAMIDE_METABOLISM	0.19	0.04	0.37	0.67	0.36	0.326
PID_ECADHERIN_STABILIZATION_PATHWAY	0.34	0.03	0.51	0.32	0.43	0.326
BIOCARTA_RANMS_PATHWAY	0.32	0.28	0.00	0.05	0.99	0.328
REACTOME_BASE_FREE_SUGAR_PHOSPHATE_REMOVAL_VIA_THE_SINGLE_NUCLEOTIDE_REPLACEMENT_PATHWAY	0.27	0.17	0.25	0.26	0.70	0.33
REACTOME_AXON_GUIDANCE	0.54	0.11	0.36	0.42	0.22	0.33
SA_REG_CASCADE_OF_CYCLIN_EXPR	0.82	0.42	0.00	0.08	0.34	0.332
REACTOME_BASE_EXCISION_REPAIR	0.42	0.66	0.11	0.03	0.45	0.334
REACTOME_REGULATION_OF_RHEB_GTPASE_ACTIVITY_BY_AMPK	0.30	0.06	0.41	0.15	0.76	0.336
PID_ER_NONGENOMIC_PATHWAY	0.20	0.09	0.60	0.37	0.43	0.338
KEGG_DILATED_CARDIOMYOPATHY	0.39	0.27	0.67	0.20	0.17	0.34
REACTOME_UNWINDING_OF_DNA	0.30	0.57	0.06	0.13	0.65	0.342
BIOCARTA_ATRBRCA_PATHWAY	0.59	0.49	0.04	0.03	0.57	0.344
PID_FANCONI_PATHWAY	0.91	0.11	0.02	0.07	0.61	0.344
BIOCARTA_P35ALZHEIMERS_PATHWAY	0.13	0.01	0.25	0.39	0.95	0.346
REACTOME_INHIBITION_OF_THE_PROTEOLYTIC_ACTIVITY_OF_APC_C_REQUIRED_FOR_THE_ONSET_OF_ANAPHASE_BY_MITOTIC_SPINDLE_CHECKPOINT_COMPONENTS	0.56	0.30	0.01	0.04	0.82	0.346
PID_A6B1_A6B4_INTEGRIN_PATHWAY	0.44	0.11	0.49	0.20	0.50	0.348
PID_PRLSIGNALINGEVENTSPATHWAY	0.46	0.84	0.02	0.07	0.36	0.35
BIOCARTA_WNT_PATHWAY	0.15	0.06	0.46	0.72	0.36	0.35
REACTOME_SIGNALING_BY_NOTCH	0.31	0.05	0.45	0.67	0.28	0.352
PID_P73PATHWAY	0.55	0.39	0.00	0.00	0.83	0.354
REACTOME_SULFUR_AMINO_ACID_METABOLISM	0.29	0.21	0.40	0.17	0.70	0.354
REACTOME_G_ALPHA1213_SIGNALLING_EVENTS	0.13	0.31	0.51	0.75	0.08	0.356
KEGG_COLORECTAL_CANCER	0.87	0.35	0.33	0.20	0.03	0.356
PID_HNF3APATHWAY	0.02	0.09	0.49	0.20	0.99	0.358
REACTOME_METABOLISM_OF_VITAMINS_AND_COFACTORS	0.05	0.20	0.34	0.26	0.95	0.36
REACTOME_EGFR_DOWNREGULATION	0.21	0.58	0.71	0.23	0.07	0.36
SA_G2_AND_M_PHASES	0.40	0.48	0.02	0.27	0.63	0.36
PID_CMYB_PATHWAY	0.60	0.74	0.28	0.11	0.09	0.364
PID_FOXM1PATHWAY	0.54	0.33	0.00	0.00	0.95	0.364
BIOCARTA_SET_PATHWAY	0.75	0.37	0.16	0.26	0.29	0.366
ST_INTERFERON_GAMMA_PATHWAY	0.40	0.05	0.21	0.18	0.99	0.366
BIOCARTA_IGF1MTOR_PATHWAY	0.77	0.03	0.37	0.63	0.05	0.37
BIOCARTA_BAD_PATHWAY	0.21	0.03	0.30	0.42	0.89	0.37
PID_ERBB4_PATHWAY	0.30	0.03	0.82	0.59	0.12	0.372
PID_BMPPATHWAY	0.07	0.29	0.68	0.30	0.52	0.372
REACTOME_P75NTR_RECRUITS_SIGNALLING_COMPLEXES	0.03	0.41	0.42	0.45	0.57	0.376
BIOCARTA_TPO_PATHWAY	0.83	0.49	0.32	0.10	0.14	0.376
KEGG_GLUTATHIONE_METABOLISM	0.83	0.09	0.35	0.28	0.33	0.376
KEGG_DORSO_VENTRAL_AXIS_FORMATION	0.18	0.83	0.45	0.07	0.35	0.376
ST_INTEGRIN_SIGNALING_PATHWAY	0.39	0.09	0.74	0.53	0.13	0.376
PID_TELOMERASEPATHWAY	0.67	0.35	0.06	0.03	0.78	0.378
PID_P53DOWNSTREAMPATHWAY	0.75	0.23	0.03	0.00	0.88	0.378
REACTOME_APC_C_CDC20_MEDIATED_DEGRADATION_OF_CYCLIN_B	0.59	0.38	0.02	0.40	0.50	0.378
REACTOME_CELL_DEATH_SIGNALLING_VIA_NRAGE_NRIF_AND_NADE	0.70	0.20	0.40	0.58	0.03	0.382
PID_SMAD2_3NUCLEARPATHWAY	0.60	0.27	0.46	0.49	0.10	0.384
REACTOME_LAGGING_STRAND_SYNTHESIS	0.46	0.86	0.09	0.13	0.39	0.386
REACTOME_SEMA4D_INDUCED_CELL_MIGRATION_AND_GROWTH_CONE_COLLAPSE	0.18	0.01	0.76	0.72	0.26	0.386
REACTOME_MUSCLE_CONTRACTION	0.76	0.03	0.62	0.15	0.37	0.386
PID_RB_1PATHWAY	0.95	0.54	0.17	0.16	0.11	0.386
PID_ATR_PATHWAY	0.80	0.11	0.02	0.05	0.95	0.386
KEGG_PYRIMIDINE_METABOLISM	0.21	0.74	0.06	0.32	0.61	0.388
KEGG_ARRHYTHMOGENIC_RIGHT_VENTRICULAR_CARDIOMYOPATHY_ARVC	0.34	0.32	0.90	0.22	0.16	0.388
BIOCARTA_FEEDER_PATHWAY	0.27	0.36	0.26	0.27	0.79	0.39
REACTOME_IRAK1_RECRUITS_IKK_COMPLEX	0.02	0.94	0.22	0.17	0.61	0.392
REACTOME_EXTENSION_OF_TELOMERES	0.47	0.87	0.08	0.13	0.42	0.394
SA_FAS_SIGNALING	0.81	0.07	0.31	0.78	0.01	0.396
PID_PLK1_PATHWAY	0.75	0.23	0.02	0.12	0.87	0.398
REACTOME_YAP1_AND_WWTR1_TAZ_STIMULATED_GENE_EXPRESSION	0.46	0.03	0.37	0.67	0.46	0.398
REACTOME_G0_AND_EARLY_G1	0.82	0.18	0.00	0.07	0.93	0.4
REACTOME_ACTIVATION_OF_CHAPERONE_GENES_BY_ATF6_ALPHA	0.01	0.54	0.55	0.39	0.51	0.4
KEGG_ECM_RECEPTOR_INTERACTION	0.65	0.42	0.41	0.46	0.06	0.4
REACTOME_RESOLUTION_OF_AP_SITES_VIA_THE_MULTIPLE_NUCLEOTIDE_PATCH_REPLACEMENT_PATHWAY	0.46	0.84	0.13	0.03	0.56	0.404
PID_E2F_PATHWAY	0.99	0.33	0.00	0.27	0.43	0.404
REACTOME_STRIATED_MUSCLE_CONTRACTION	0.93	0.03	0.67	0.03	0.36	0.404
REACTOME_RECRUITMENT_OF_NUMA_TO_MITOTIC_CENTROSOMES	0.74	0.67	0.14	0.13	0.36	0.408
REACTOME_APOPTOTIC_EXECUTION_PHASE	0.10	0.85	0.29	0.19	0.61	0.408
REACTOME_ACTIVATION_OF_ATR_IN_RESPONSE_TO_REPLICATION_STRESS	0.79	0.38	0.03	0.07	0.78	0.41
REACTOME_BASIGIN_INTERACTIONS	0.12	0.45	0.39	0.53	0.56	0.41
