Gene Set	Basal	Her2	LumA	LumB	Normal	Average p-value
KEGG_ECM_RECEPTOR_INTERACTION	0.06	0.05	0.03	0.01	0.07	0.044
KEGG_INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION	0.03	0.00	0.18	0.03	0.06	0.06
KEGG_DRUG_METABOLISM_CYTOCHROME_P450	0.05	0.04	0.01	0.26	0.04	0.08
KEGG_NEUROACTIVE_LIGAND_RECEPTOR_INTERACTION	0.04	0.03	0.00	0.40	0.02	0.098
BIOCARTA_MONOCYTE_PATHWAY	0.20	0.03	0.25	0.07	0.07	0.124
REACTOME_BIOLOGICAL_OXIDATIONS	0.01	0.16	0.08	0.17	0.24	0.132
BIOCARTA_DC_PATHWAY	0.13	0.38	0.00	0.05	0.12	0.136
KEGG_METABOLISM_OF_XENOBIOTICS_BY_CYTOCHROME_P450	0.02	0.10	0.04	0.42	0.11	0.138
REACTOME_CLASS_A1_RHODOPSIN_LIKE_RECEPTORS	0.15	0.01	0.00	0.53	0.00	0.138
REACTOME_DIGESTION_OF_DIETARY_CARBOHYDRATE	0.01	0.63	0.02	0.01	0.03	0.14
KEGG_VIRAL_MYOCARDITIS	0.04	0.01	0.44	0.19	0.03	0.142
KEGG_SYSTEMIC_LUPUS_ERYTHEMATOSUS	0.04	0.37	0.11	0.06	0.15	0.146
BIOCARTA_LYM_PATHWAY	0.11	0.08	0.36	0.12	0.09	0.152
REACTOME_GASTRIN_CREB_SIGNALLING_PATHWAY_VIA_PKC_AND_MAPK	0.15	0.01	0.06	0.33	0.22	0.154
PID_IL5_PATHWAY	0.18	0.04	0.37	0.11	0.10	0.16
BIOCARTA_TCYTOTOXIC_PATHWAY	0.05	0.10	0.05	0.54	0.07	0.162
KEGG_RENIN_ANGIOTENSIN_SYSTEM	0.15	0.02	0.04	0.16	0.45	0.164
REACTOME_FORMATION_OF_FIBRIN_CLOT_CLOTTING_CASCADE	0.12	0.22	0.29	0.11	0.09	0.166
