Gene Set	Basal	Her2	LumA	LumB	Normal	Average AUC
REACTOME_PI3K_EVENTS_IN_ERBB2_SIGNALING	0.94965976	0.94184267	0.83081930	0.74761461	0.87575758	0.869138784
KEGG_JAK_STAT_SIGNALING_PATHWAY	0.95313663	0.89579125	0.84289562	0.76803030	0.87979798	0.867930356
KEGG_NON_SMALL_CELL_LUNG_CANCER	0.96295056	0.90589226	0.83140292	0.75991298	0.84949495	0.861930734
REACTOME_PLATELET_ACTIVATION_SIGNALING_AND_AGGREGATION	0.95698033	0.86005510	0.82727273	0.71055167	0.88686869	0.848345704
REACTOME_GABA_RECEPTOR_ACTIVATION	0.94104200	0.84553107	0.83809203	0.74692689	0.83333333	0.840985064
REACTOME_CELL_SURFACE_INTERACTIONS_AT_THE_VASCULAR_WALL	0.95738437	0.87626263	0.83526375	0.70969377	0.82323232	0.840367368
KEGG_CARDIAC_MUSCLE_CONTRACTION	0.95945242	0.81580961	0.84146856	0.71955948	0.86363636	0.839985286
REACTOME_GABA_B_RECEPTOR_ACTIVATION	0.93977671	0.79129170	0.81990976	0.74845998	0.88383838	0.836655306
REACTOME_RESPONSE_TO_ELEVATED_PLATELET_CYTOSOLIC_CA2_	0.94606592	0.83422100	0.81525355	0.70526496	0.88080808	0.836322702
REACTOME_OPIOID_SIGNALLING	0.95325359	0.91134068	0.84623134	0.75561772	0.70909091	0.835106848
REACTOME_DOWNREGULATION_OF_ERBB2_ERBB3_SIGNALING	0.91770867	0.89739822	0.80760943	0.69805439	0.84242424	0.83263899
REACTOME_SIGNALING_BY_ERBB2	0.95880383	0.92906336	0.84289562	0.75568471	0.67575758	0.83244102
KEGG_NATURAL_KILLER_CELL_MEDIATED_CYTOTOXICITY	0.95253589	0.80016835	0.81941911	0.72021307	0.86464646	0.831396576
REACTOME_PI3K_EVENTS_IN_ERBB4_SIGNALING	0.94121744	0.80327518	0.81533834	0.74350997	0.85252525	0.831173236
REACTOME_MITOCHONDRIAL_PROTEIN_IMPORT	0.95991494	0.84557698	0.82448934	0.69610256	0.82121212	0.829459188
PID_MYC_REPRESSPATHWAY	0.96202552	0.93763391	0.82601798	0.72758042	0.68888889	0.828429344
REACTOME_THROMBIN_SIGNALLING_THROUGH_PROTEINASE_ACTIVATED_RECEPTORS_PARS	0.93849548	0.75958066	0.80530626	0.74104602	0.89595960	0.828077604
REACTOME_PI_3K_CASCADE	0.94899522	0.80260178	0.81717716	0.73603350	0.83131313	0.827224158
PID_FOXM1PATHWAY	0.95490165	0.82314050	0.81106622	0.73236364	0.81010101	0.826314604
REACTOME_COSTIMULATION_BY_THE_CD28_FAMILY	0.94519936	0.84294460	0.82587695	0.71487179	0.80202020	0.82618258
REACTOME_GAB1_SIGNALOSOME	0.94003721	0.79709352	0.80940516	0.73113598	0.85252525	0.826039424
KEGG_LEUKOCYTE_TRANSENDOTHELIAL_MIGRATION	0.96133440	0.77026324	0.83737646	0.72556229	0.83535354	0.825977986
REACTOME_DOWNSTREAM_SIGNAL_TRANSDUCTION	0.95585859	0.92571166	0.83548822	0.74437720	0.66666667	0.825620468
REACTOME_INHIBITION_OF_INSULIN_SECRETION_BY_ADRENALINE_NORADRENALINE	0.94239766	0.74037343	0.80787879	0.72367988	0.91111111	0.825088174
KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM	0.93668262	0.84713805	0.79955855	0.69717483	0.84040404	0.824191618
KEGG_ERBB_SIGNALING_PATHWAY	0.96067517	0.93218549	0.83557800	0.73686092	0.65151515	0.823362946
REACTOME_PI3K_AKT_ACTIVATION	0.93920787	0.77998163	0.81396932	0.73142813	0.84646465	0.82221032
REACTOME_SIGNALING_BY_SCF_KIT	0.95669325	0.91398837	0.83387205	0.74426798	0.65858586	0.821481502
KEGG_PROSTATE_CANCER	0.96121212	0.92329354	0.84240180	0.72965346	0.64444444	0.820201072
REACTOME_SIGNALING_BY_ERBB4	0.95141946	0.88524640	0.84015713	0.74792230	0.67272727	0.819494512
REACTOME_PERK_REGULATED_GENE_EXPRESSION	0.93298246	0.79874503	0.81465769	0.69692273	0.85050505	0.818762592
REACTOME_G_BETA_GAMMA_SIGNALLING_THROUGH_PI3KGAMMA	0.91616693	0.75800429	0.79113356	0.69685608	0.93131313	0.818694798
KEGG_VEGF_SIGNALING_PATHWAY	0.93778309	0.76700337	0.81111111	0.72281896	0.85454545	0.818652396
REACTOME_INWARDLY_RECTIFYING_K_CHANNELS	0.88049973	0.79340373	0.78416511	0.74251748	0.89191919	0.818501048
REACTOME_METABOLISM_OF_AMINO_ACIDS_AND_DERIVATIVES	0.95773525	0.94435262	0.84383838	0.70594941	0.63838384	0.8180519
