Gene Set	Basal	Her2	LumA	LumB	Average AUC
KEGG_PANCREATIC_CANCER	0.79949791	0.77959714	0.73475253	0.52201817	0.7089664375
PID_P53DOWNSTREAMPATHWAY	0.77061861	0.71974875	0.76375310	0.55324844	0.701842225
KEGG_SMALL_CELL_LUNG_CANCER	0.82374233	0.72796538	0.74097012	0.51178388	0.7011154275
KEGG_APOPTOSIS	0.79652389	0.72336949	0.74404388	0.52094645	0.6962209275
KEGG_NON_SMALL_CELL_LUNG_CANCER	0.82018767	0.73078608	0.70720855	0.50577601	0.6909895775
REACTOME_HEMOSTASIS	0.79335064	0.65611375	0.74228841	0.56000281	0.6879389025
BIOCARTA_ARF_PATHWAY	0.80804086	0.73813505	0.75061781	0.44989295	0.6866716675
KEGG_NEUROTROPHIN_SIGNALING_PATHWAY	0.76395328	0.72825051	0.71523652	0.53363120	0.6852678775
PID_P53REGULATIONPATHWAY	0.75827369	0.72261186	0.74258074	0.51315685	0.684155785
ST_JNK_MAPK_PATHWAY	0.80250735	0.70970351	0.73582976	0.48421851	0.6830647825
PID_P75NTRPATHWAY	0.81184702	0.73456630	0.73696729	0.44399301	0.681843405
PID_MYC_ACTIVPATHWAY	0.76862241	0.70015502	0.74735488	0.50952454	0.6814142125
KEGG_COLORECTAL_CANCER	0.79846727	0.74978689	0.69997604	0.46685521	0.6787713525
KEGG_PROSTATE_CANCER	0.81210033	0.70036955	0.74868488	0.45328975	0.6786111275
KEGG_CELL_CYCLE	0.74741603	0.70054142	0.72777832	0.53724444	0.6782450525
BIOCARTA_RB_PATHWAY	0.75873553	0.70987799	0.73229160	0.50996168	0.6777167
PID_HDAC_CLASSIII_PATHWAY	0.76803019	0.71426198	0.72389960	0.49854562	0.6761843475
KEGG_GLIOMA	0.80491654	0.72479139	0.71061791	0.46420966	0.676133875
BIOCARTA_ATRBRCA_PATHWAY	0.76504533	0.73677021	0.73640533	0.46489083	0.675777925
PID_AP1_PATHWAY	0.76366983	0.70673115	0.71737340	0.51513542	0.67572745
KEGG_CHRONIC_MYELOID_LEUKEMIA	0.78917892	0.67467268	0.72407651	0.51384076	0.6754422175
KEGG_ENDOMETRIAL_CANCER	0.80654052	0.71223219	0.69244976	0.48949533	0.67517945
BIOCARTA_G2_PATHWAY	0.76359284	0.72544361	0.73058444	0.48089115	0.67512801
BIOCARTA_TEL_PATHWAY	0.77872459	0.71414791	0.73269323	0.46777430	0.6733350075
PID_HIF1APATHWAY	0.76717209	0.71067341	0.72265771	0.49203354	0.6731341875
PID_REG_GR_PATHWAY	0.76626459	0.72104972	0.72598625	0.47833145	0.6729080025
ST_FAS_SIGNALING_PATHWAY	0.77901841	0.71005678	0.75119489	0.44905727	0.6723318375
BIOCARTA_P53HYPOXIA_PATHWAY	0.76403776	0.73460741	0.72388203	0.46493968	0.67186672
KEGG_BLADDER_CANCER	0.76122935	0.72464887	0.73504123	0.46615138	0.6717677075
KEGG_MAPK_SIGNALING_PATHWAY	0.72973464	0.70072870	0.74225564	0.51181472	0.671133425
REACTOME_CELL_CYCLE_CHECKPOINTS	0.74713167	0.71961799	0.72263203	0.49447961	0.670965325
REACTOME_APOPTOSIS	0.77865391	0.70005407	0.72193826	0.48025697	0.6702258025
BIOCARTA_G1_PATHWAY	0.76148690	0.69614723	0.72045909	0.50121757	0.6698276975
KEGG_MELANOMA	0.80697884	0.71775515	0.70432634	0.44927665	0.669584245
KEGG_P53_SIGNALING_PATHWAY	0.76804821	0.72244597	0.71588840	0.46992190	0.66907612
BIOCARTA_RNA_PATHWAY	0.76653196	0.70934235	0.72111611	0.47873058	0.66893025
KEGG_HUNTINGTONS_DISEASE	0.76486931	0.70322759	0.73265578	0.47286174	0.668403605
KEGG_BASAL_CELL_CARCINOMA	0.75757169	0.70261291	0.71619094	0.49714413	0.6683799175
BIOCARTA_P53_PATHWAY	0.76119687	0.71600396	0.73200570	0.46372294	0.6682323675
BIOCARTA_TID_PATHWAY	0.76367447	0.71244313	0.73020632	0.46522192	0.66788646
BIOCARTA_PML_PATHWAY	0.76324655	0.71590735	0.72373359	0.46795145	0.667709735
PID_AURORA_A_PATHWAY	0.77551803	0.69449835	0.73327248	0.46739733	0.6676715475
REACTOME_CELL_CYCLE	0.74358208	0.68611611	0.71131962	0.52801494	0.6672581875
SA_G1_AND_S_PHASES	0.76759079	0.70144812	0.72264954	0.46205003	0.66343462
KEGG_WNT_SIGNALING_PATHWAY	0.75540826	0.69114027	0.72485906	0.48211918	0.6633816925
BIOCARTA_CTCF_PATHWAY	0.79191311	0.70069565	0.72123613	0.43966924	0.6633785325
KEGG_PATHWAYS_IN_CANCER	0.75412070	0.63543710	0.76191904	0.50187215	0.6633372475
BIOCARTA_ATM_PATHWAY	0.75350377	0.70987593	0.72447545	0.46533437	0.66329738
BIOCARTA_CHEMICAL_PATHWAY	0.76271830	0.70187045	0.71879558	0.46914806	0.6631330975
