Gene Set	BLCA	BRCA	COAD	GBM	HNSC	KIRC	LAML	LUAD	LUSC	OV	READ	UCEC	Average p-value
REACTOME_REGULATION_OF_INSULIN_SECRETION_BY_ACETYLCHOLINE	0.00	0.06	0.10	0.01	0.01	0.29	0.04	0.02	0.00	0.14	0.22	0.31	0.1
REACTOME_NUCLEAR_EVENTS_KINASE_AND_TRANSCRIPTION_FACTOR_ACTIVATION	0.15	0.00	0.05	0.23	0.06	0.05	0.21	0.01	0.11	0.00	0.11	0.23	0.100833333333
REACTOME_SMAD2_SMAD3_SMAD4_HETEROTRIMER_REGULATES_TRANSCRIPTION	0.00	0.10	0.17	0.35	0.04	0.20	0.21	0.43	0.00	0.00	0.00	0.16	0.138333333333
REACTOME_GAP_JUNCTION_DEGRADATION	0.39	0.05	0.08	0.47	0.10	0.08	0.15	0.14	0.04	0.04	0.06	0.18	0.148333333333
REACTOME_SPHINGOLIPID_DE_NOVO_BIOSYNTHESIS	0.03	0.00	0.40	0.03	0.45	0.03	0.21	0.03	0.08	0.42	0.20	0.23	0.175833333333
REACTOME_DEADENYLATION_OF_MRNA	0.13	0.31	0.29	0.54	0.11	0.18	0.21	0.12	0.00	0.04	0.00	0.21	0.178333333333
PID_LKB1_PATHWAY	0.09	0.01	0.36	0.04	0.11	0.17	0.67	0.01	0.28	0.03	0.15	0.24	0.18
REACTOME_APOBEC3G_MEDIATED_RESISTANCE_TO_HIV1_INFECTION	0.21	0.15	0.07	0.37	0.30	0.07	0.61	0.29	0.12	0.00	0.02	0.03	0.186666666667
BIOCARTA_MTA3_PATHWAY	0.13	0.25	0.21	0.01	0.06	0.18	0.21	0.11	0.11	0.39	0.50	0.08	0.186666666667
REACTOME_PECAM1_INTERACTIONS	0.15	0.12	0.28	0.00	0.48	0.27	0.04	0.07	0.37	0.12	0.18	0.18	0.188333333333
PID_S1P_META_PATHWAY	0.21	0.05	0.06	0.10	0.06	0.26	0.21	0.02	0.09	0.41	0.62	0.21	0.191666666667
BIOCARTA_CASPASE_PATHWAY	0.35	0.20	0.06	0.09	0.03	0.13	0.21	0.05	0.08	0.23	0.27	0.61	0.1925
REACTOME_NEF_MEDIATED_DOWNREGULATION_OF_MHC_CLASS_I_COMPLEX_CELL_SURFACE_EXPRESSION	0.23	0.38	0.01	0.03	0.41	0.05	0.24	0.54	0.17	0.15	0.08	0.02	0.1925
REACTOME_METABOLISM_OF_VITAMINS_AND_COFACTORS	0.20	0.00	0.01	0.04	0.21	0.02	0.67	0.01	0.27	0.06	0.61	0.22	0.193333333333
PID_HEDGEHOG_GLIPATHWAY	0.11	0.04	0.14	0.08	0.09	0.23	0.67	0.01	0.55	0.14	0.03	0.26	0.195833333333
KEGG_OOCYTE_MEIOSIS	0.07	0.00	0.37	0.23	0.05	0.33	0.93	0.00	0.17	0.02	0.09	0.09	0.195833333333
REACTOME_NFKB_AND_MAP_KINASES_ACTIVATION_MEDIATED_BY_TLR4_SIGNALING_REPERTOIRE	0.10	0.08	0.12	0.35	0.16	0.30	0.81	0.03	0.02	0.00	0.09	0.32	0.198333333333
REACTOME_ERK_MAPK_TARGETS	0.34	0.18	0.09	0.36	0.07	0.05	0.33	0.02	0.36	0.00	0.25	0.34	0.199166666667
REACTOME_YAP1_AND_WWTR1_TAZ_STIMULATED_GENE_EXPRESSION	0.12	0.30	0.06	0.20	0.28	0.00	0.21	0.19	0.06	0.23	0.15	0.59	0.199166666667
REACTOME_RECYCLING_PATHWAY_OF_L1	0.00	0.37	0.07	0.05	0.03	0.49	0.67	0.34	0.07	0.33	0.11	0.01	0.211666666667
REACTOME_EGFR_DOWNREGULATION	0.06	0.19	0.17	0.20	0.07	0.94	0.33	0.14	0.02	0.04	0.11	0.38	0.220833333333
ST_GA12_PATHWAY	0.13	0.12	0.17	0.04	0.07	0.57	0.21	0.19	0.09	0.45	0.11	0.52	0.2225
PID_P38_MK2PATHWAY	0.10	0.32	0.36	0.23	0.05	0.49	0.21	0.20	0.27	0.01	0.11	0.36	0.225833333333
REACTOME_BASIGIN_INTERACTIONS	0.68	0.06	0.55	0.23	0.38	0.03	0.21	0.05	0.19	0.23	0.05	0.12	0.231666666667
REACTOME_ADP_SIGNALLING_THROUGH_P2RY1	0.17	0.08	0.59	0.06	0.03	0.18	0.21	0.09	0.13	0.75	0.37	0.15	0.234166666667
PID_S1P_S1P2_PATHWAY	0.33	0.44	0.24	0.12	0.14	0.05	0.21	0.19	0.09	0.17	0.62	0.24	0.236666666667
REACTOME_LYSOSOME_VESICLE_BIOGENESIS	0.16	0.28	0.04	0.12	0.47	0.01	0.21	0.19	0.62	0.48	0.18	0.13	0.240833333333
REACTOME_TRAF6_MEDIATED_INDUCTION_OF_NFKB_AND_MAP_KINASES_UPON_TLR7_8_OR_9_ACTIVATION	0.05	0.01	0.04	0.73	0.13	0.74	0.81	0.03	0.02	0.00	0.07	0.28	0.2425
REACTOME_TRANSCRIPTIONAL_ACTIVITY_OF_SMAD2_SMAD3_SMAD4_HETEROTRIMER	0.02	0.30	0.49	0.29	0.04	0.10	0.67	0.34	0.00	0.03	0.26	0.37	0.2425
PID_MTOR_4PATHWAY	0.00	0.31	0.04	0.58	0.03	0.32	0.81	0.03	0.34	0.00	0.19	0.27	0.243333333333
REACTOME_MAP_KINASE_ACTIVATION_IN_TLR_CASCADE	0.06	0.03	0.14	0.43	0.30	0.50	0.67	0.02	0.22	0.03	0.13	0.46	0.249166666667
PID_CASPASE_PATHWAY	0.15	0.40	0.04	0.08	0.15	0.04	0.81	0.19	0.07	0.17	0.25	0.65	0.25
BIOCARTA_MITOCHONDRIA_PATHWAY	0.26	0.10	0.15	0.20	0.45	0.17	0.21	0.16	0.32	0.23	0.09	0.67	0.250833333333
REACTOME_G_ALPHA1213_SIGNALLING_EVENTS	0.16	0.00	0.21	0.08	0.16	0.09	0.81	0.37	0.17	0.43	0.02	0.53	0.2525
REACTOME_APOPTOSIS	0.15	0.17	0.29	0.78	0.03	0.13	0.92	0.23	0.02	0.00	0.22	0.10	0.253333333333
REACTOME_SIGNALING_BY_EGFR_IN_CANCER	0.06	0.00	0.29	0.15	0.07	0.07	0.93	0.53	0.20	0.27	0.05	0.43	0.254166666667
REACTOME_SIGNALING_BY_TGF_BETA_RECEPTOR_COMPLEX	0.16	0.14	0.47	0.13	0.13	0.04	0.81	0.27	0.07	0.02	0.25	0.57	0.255
REACTOME_SEMA4D_INDUCED_CELL_MIGRATION_AND_GROWTH_CONE_COLLAPSE	0.60	0.30	0.04	0.26	0.28	0.32	0.21	0.05	0.49	0.01	0.11	0.42	0.2575
REACTOME_MEMBRANE_BINDING_AND_TARGETTING_OF_GAG_PROTEINS	0.19	0.25	0.27	0.37	0.24	0.46	0.36	0.19	0.34	0.14	0.18	0.13	0.26
REACTOME_APOPTOTIC_CLEAVAGE_OF_CELLULAR_PROTEINS	0.11	0.70	0.11	0.04	0.03	0.05	0.67	0.34	0.09	0.58	0.40	0.01	0.260833333333
REACTOME_TRIF_MEDIATED_TLR3_SIGNALING	0.07	0.04	0.12	0.75	0.15	0.69	0.81	0.05	0.01	0.00	0.14	0.34	0.264166666667
REACTOME_DEADENYLATION_DEPENDENT_MRNA_DECAY	0.04	0.41	0.24	0.77	0.19	0.18	0.92	0.26	0.00	0.00	0.06	0.11	0.265
BIOCARTA_PTDINS_PATHWAY	0.14	0.18	0.61	0.31	0.39	0.17	0.21	0.02	0.05	0.23	0.54	0.34	0.265833333333
REACTOME_SPHINGOLIPID_METABOLISM	0.21	0.09	0.02	0.08	0.51	0.01	0.81	0.12	0.32	0.43	0.51	0.09	0.266666666667
PID_RHOA_REG_PATHWAY	0.01	0.08	0.14	0.12	0.56	0.31	0.67	0.44	0.09	0.20	0.45	0.17	0.27
KEGG_LIMONENE_AND_PINENE_DEGRADATION	0.23	0.08	0.08	0.67	0.73	0.38	0.04	0.12	0.37	0.20	0.16	0.19	0.270833333333
REACTOME_ACTIVATION_OF_CHAPERONE_GENES_BY_XBP1S	0.74	0.13	0.10	0.07	0.11	0.29	0.88	0.44	0.03	0.02	0.32	0.13	0.271666666667
PID_CERAMIDE_PATHWAY	0.04	0.06	0.22	0.40	0.47	0.07	0.67	0.11	0.35	0.03	0.40	0.46	0.273333333333
ST_JAK_STAT_PATHWAY	0.02	0.43	0.09	0.74	0.68	0.44	0.04	0.02	0.36	0.05	0.22	0.20	0.274166666667
REACTOME_ENDOSOMAL_SORTING_COMPLEX_REQUIRED_FOR_TRANSPORT_ESCRT	0.21	0.30	0.50	0.10	0.33	0.61	0.26	0.17	0.49	0.03	0.00	0.29	0.274166666667
REACTOME_REGULATION_OF_RHEB_GTPASE_ACTIVITY_BY_AMPK	0.01	0.17	0.52	0.77	0.04	0.12	0.58	0.08	0.09	0.33	0.49	0.10	0.275
BIOCARTA_EIF4_PATHWAY	0.15	0.11	0.04	0.44	0.80	0.34	0.21	0.34	0.01	0.23	0.37	0.26	0.275
REACTOME_ACTIVATED_TLR4_SIGNALLING	0.06	0.27	0.30	0.47	0.37	0.21	0.91	0.02	0.03	0.03	0.10	0.54	0.275833333333
BIOCARTA_CXCR4_PATHWAY	0.25	0.09	0.68	0.28	0.27	0.31	0.21	0.29	0.12	0.19	0.31	0.34	0.278333333333
REACTOME_NFKB_IS_ACTIVATED_AND_SIGNALS_SURVIVAL	0.31	0.32	0.18	0.67	0.24	0.44	0.51	0.06	0.09	0.20	0.18	0.14	0.278333333333
PID_NFAT_3PATHWAY	0.00	0.10	0.12	0.48	0.15	0.07	0.81	0.03	0.24	0.26	0.16	0.92	0.278333333333
REACTOME_NOTCH1_INTRACELLULAR_DOMAIN_REGULATES_TRANSCRIPTION	0.02	0.27	0.11	0.78	0.02	0.26	0.67	0.48	0.00	0.11	0.21	0.44	0.280833333333
KEGG_WNT_SIGNALING_PATHWAY	0.27	0.05	0.02	0.74	0.06	0.33	0.92	0.11	0.10	0.37	0.14	0.26	0.280833333333
KEGG_BIOSYNTHESIS_OF_UNSATURATED_FATTY_ACIDS	0.15	0.15	0.08	0.12	0.39	0.38	0.83	0.03	0.82	0.00	0.31	0.13	0.2825
REACTOME_METABOLISM_OF_PROTEINS	0.31	0.13	0.03	0.59	0.01	0.40	1.00	0.34	0.00	0.01	0.55	0.02	0.2825
REACTOME_SIGNALING_BY_RHO_GTPASES	0.14	0.01	0.20	0.23	0.30	0.03	0.93	0.13	0.04	0.59	0.35	0.45	0.283333333333
REACTOME_TOLL_RECEPTOR_CASCADES	0.14	0.11	0.31	0.62	0.52	0.15	0.93	0.11	0.10	0.08	0.03	0.31	0.284166666667
REACTOME_L1CAM_INTERACTIONS	0.12	0.57	0.08	0.30	0.17	0.03	0.91	0.46	0.07	0.36	0.12	0.26	0.2875
KEGG_ADHERENS_JUNCTION	0.34	0.02	0.33	0.08	0.48	0.61	0.81	0.15	0.02	0.32	0.04	0.26	0.288333333333
REACTOME_SIGNALING_BY_THE_B_CELL_RECEPTOR_BCR	0.28	0.12	0.15	0.35	0.09	0.66	0.93	0.45	0.03	0.05	0.21	0.14	0.288333333333
