Gene Set	Basal	Her2	LumA	LumB	Average p-value
KEGG_GRAFT_VERSUS_HOST_DISEASE	0.00	0.04	0.03	0.14	0.0525
REACTOME_DIGESTION_OF_DIETARY_CARBOHYDRATE	0.01	0.12	0.15	0.04	0.08
KEGG_NEUROACTIVE_LIGAND_RECEPTOR_INTERACTION	0.03	0.02	0.07	0.21	0.0825
BIOCARTA_TCYTOTOXIC_PATHWAY	0.00	0.04	0.06	0.24	0.085
KEGG_INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION	0.01	0.03	0.19	0.23	0.115
KEGG_RENIN_ANGIOTENSIN_SYSTEM	0.19	0.07	0.03	0.17	0.115
KEGG_DRUG_METABOLISM_CYTOCHROME_P450	0.03	0.02	0.05	0.37	0.1175
KEGG_CALCIUM_SIGNALING_PATHWAY	0.20	0.03	0.14	0.10	0.1175
KEGG_VIRAL_MYOCARDITIS	0.09	0.09	0.14	0.25	0.1425
PID_INTEGRIN3_PATHWAY	0.03	0.19	0.07	0.29	0.145
KEGG_ALLOGRAFT_REJECTION	0.02	0.09	0.05	0.43	0.1475
REACTOME_NUCLEOTIDE_LIKE_PURINERGIC_RECEPTORS	0.15	0.04	0.18	0.24	0.1525
REACTOME_EICOSANOID_LIGAND_BINDING_RECEPTORS	0.00	0.17	0.29	0.18	0.16
BIOCARTA_MONOCYTE_PATHWAY	0.13	0.09	0.35	0.09	0.165
REACTOME_FGFR4_LIGAND_BINDING_AND_ACTIVATION	0.29	0.27	0.07	0.04	0.1675
REACTOME_G_ALPHA_I_SIGNALLING_EVENTS	0.04	0.04	0.29	0.34	0.1775
REACTOME_PASSIVE_TRANSPORT_BY_AQUAPORINS	0.04	0.12	0.08	0.48	0.18
KEGG_MATURITY_ONSET_DIABETES_OF_THE_YOUNG	0.03	0.15	0.21	0.36	0.1875
PID_INTEGRIN2_PATHWAY	0.03	0.26	0.21	0.26	0.19
PID_INTEGRIN4_PATHWAY	0.19	0.08	0.47	0.03	0.1925
BIOCARTA_THELPER_PATHWAY	0.02	0.05	0.03	0.68	0.195
KEGG_METABOLISM_OF_XENOBIOTICS_BY_CYTOCHROME_P450	0.01	0.12	0.07	0.63	0.2075
REACTOME_BETA_DEFENSINS	0.00	0.36	0.30	0.17	0.2075
KEGG_TYPE_I_DIABETES_MELLITUS	0.01	0.10	0.09	0.64	0.21
BIOCARTA_GRANULOCYTES_PATHWAY	0.00	0.12	0.62	0.11	0.2125
BIOCARTA_LYM_PATHWAY	0.00	0.27	0.43	0.16	0.215
REACTOME_REGULATION_OF_GENE_EXPRESSION_IN_BETA_CELLS	0.10	0.19	0.09	0.48	0.215
BIOCARTA_BLYMPHOCYTE_PATHWAY	0.13	0.14	0.51	0.08	0.215
REACTOME_PEPTIDE_LIGAND_BINDING_RECEPTORS	0.10	0.06	0.24	0.46	0.215
REACTOME_CLASS_A1_RHODOPSIN_LIKE_RECEPTORS	0.12	0.00	0.16	0.58	0.215
KEGG_COMPLEMENT_AND_COAGULATION_CASCADES	0.16	0.10	0.29	0.34	0.2225
REACTOME_TRYPTOPHAN_CATABOLISM	0.34	0.20	0.03	0.33	0.225
KEGG_TASTE_TRANSDUCTION	0.23	0.17	0.30	0.20	0.225
PID_SYNDECAN_1_PATHWAY	0.01	0.11	0.00	0.81	0.2325
REACTOME_GAP_JUNCTION_ASSEMBLY	0.06	0.56	0.07	0.24	0.2325
REACTOME_SIGNALING_BY_FGFR3_MUTANTS	0.34	0.35	0.01	0.24	0.235
REACTOME_G_ALPHA_Q_SIGNALLING_EVENTS	0.27	0.00	0.52	0.16	0.2375
REACTOME_GASTRIN_CREB_SIGNALLING_PATHWAY_VIA_PKC_AND_MAPK	0.05	0.00	0.68	0.23	0.24
KEGG_BLADDER_CANCER	0.49	0.01	0.37	0.09	0.24
REACTOME_REGULATION_OF_BETA_CELL_DEVELOPMENT	0.07	0.15	0.15	0.60	0.2425
BIOCARTA_EXTRINSIC_PATHWAY	0.13	0.22	0.35	0.27	0.2425
REACTOME_FGFR2C_LIGAND_BINDING_AND_ACTIVATION	0.38	0.51	0.06	0.03	0.245
REACTOME_HDL_MEDIATED_LIPID_TRANSPORT	0.06	0.55	0.33	0.05	0.2475
REACTOME_LIPID_DIGESTION_MOBILIZATION_AND_TRANSPORT	0.16	0.32	0.36	0.16	0.25
BIOCARTA_NEUROTRANSMITTERS_PATHWAY	0.46	0.02	0.52	0.01	0.2525
REACTOME_SIGNALING_BY_ACTIVATED_POINT_MUTANTS_OF_FGFR1	0.35	0.35	0.20	0.11	0.2525
REACTOME_REVERSIBLE_HYDRATION_OF_CARBON_DIOXIDE	0.63	0.08	0.03	0.27	0.2525
PID_ATF2_PATHWAY	0.05	0.34	0.28	0.35	0.255
REACTOME_FORMATION_OF_FIBRIN_CLOT_CLOTTING_CASCADE	0.24	0.19	0.30	0.30	0.2575
KEGG_ECM_RECEPTOR_INTERACTION	0.03	0.51	0.43	0.06	0.2575
REACTOME_NA_CL_DEPENDENT_NEUROTRANSMITTER_TRANSPORTERS	0.00	0.60	0.19	0.26	0.2625
REACTOME_AMINE_DERIVED_HORMONES	0.63	0.22	0.08	0.13	0.265
REACTOME_GPCR_LIGAND_BINDING	0.23	0.00	0.36	0.48	0.2675
REACTOME_ETHANOL_OXIDATION	0.11	0.32	0.05	0.60	0.27
REACTOME_CHEMOKINE_RECEPTORS_BIND_CHEMOKINES	0.07	0.13	0.38	0.51	0.2725
REACTOME_HORMONE_SENSITIVE_LIPASE_HSL_MEDIATED_TRIACYLGLYCEROL_HYDROLYSIS	0.48	0.17	0.38	0.08	0.2775
KEGG_HEMATOPOIETIC_CELL_LINEAGE	0.19	0.50	0.31	0.12	0.28
REACTOME_BIOLOGICAL_OXIDATIONS	0.13	0.27	0.08	0.64	0.28
KEGG_GLUTATHIONE_METABOLISM	0.78	0.13	0.02	0.20	0.2825
REACTOME_INWARDLY_RECTIFYING_K_CHANNELS	0.23	0.15	0.21	0.54	0.2825
REACTOME_ACETYLCHOLINE_BINDING_AND_DOWNSTREAM_EVENTS	0.29	0.38	0.18	0.30	0.2875
KEGG_CELL_ADHESION_MOLECULES_CAMS	0.64	0.06	0.01	0.47	0.295
REACTOME_G_ALPHA_S_SIGNALLING_EVENTS	0.16	0.19	0.36	0.51	0.305
REACTOME_IMMUNOREGULATORY_INTERACTIONS_BETWEEN_A_LYMPHOID_AND_A_NON_LYMPHOID_CELL	0.13	0.43	0.30	0.37	0.3075
KEGG_AUTOIMMUNE_THYROID_DISEASE	0.09	0.27	0.21	0.67	0.31
KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_KERATAN_SULFATE	0.23	0.15	0.29	0.58	0.3125
REACTOME_STRIATED_MUSCLE_CONTRACTION	0.53	0.13	0.32	0.27	0.3125
REACTOME_DEGRADATION_OF_THE_EXTRACELLULAR_MATRIX	0.04	0.41	0.19	0.61	0.3125
PID_TRAIL_PATHWAY	0.60	0.15	0.06	0.47	0.32
REACTOME_PHASE1_FUNCTIONALIZATION_OF_COMPOUNDS	0.36	0.22	0.44	0.27	0.3225
REACTOME_SYNTHESIS_AND_INTERCONVERSION_OF_NUCLEOTIDE_DI_AND_TRIPHOSPHATES	0.60	0.29	0.11	0.30	0.325
PID_HNF3BPATHWAY	0.09	0.10	0.28	0.83	0.325
REACTOME_IRON_UPTAKE_AND_TRANSPORT	0.38	0.45	0.05	0.43	0.3275
REACTOME_PHASE_II_CONJUGATION	0.20	0.41	0.07	0.63	0.3275
REACTOME_NCAM_SIGNALING_FOR_NEURITE_OUT_GROWTH	0.53	0.12	0.03	0.64	0.33
REACTOME_TRANSPORT_OF_ORGANIC_ANIONS	0.26	0.53	0.06	0.47	0.33
BIOCARTA_IL5_PATHWAY	0.25	0.34	0.44	0.31	0.335
REACTOME_MUSCLE_CONTRACTION	0.62	0.17	0.46	0.10	0.3375
REACTOME_REGULATION_OF_INSULIN_LIKE_GROWTH_FACTOR_IGF_ACTIVITY_BY_INSULIN_LIKE_GROWTH_FACTOR_BINDING_PROTEINS_IGFBPS	0.40	0.35	0.10	0.50	0.3375
REACTOME_PROSTANOID_LIGAND_RECEPTORS	0.24	0.24	0.32	0.56	0.34
REACTOME_CHONDROITIN_SULFATE_BIOSYNTHESIS	0.23	0.64	0.18	0.32	0.3425
REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION	0.07	0.62	0.00	0.71	0.35
REACTOME_INITIAL_TRIGGERING_OF_COMPLEMENT	0.21	0.38	0.31	0.50	0.35
REACTOME_CHYLOMICRON_MEDIATED_LIPID_TRANSPORT	0.02	0.65	0.47	0.26	0.35
PID_AVB3_INTEGRIN_PATHWAY	0.30	0.45	0.42	0.25	0.355
PID_INTEGRIN1_PATHWAY	0.01	0.92	0.30	0.19	0.355
REACTOME_AMINE_LIGAND_BINDING_RECEPTORS	0.38	0.46	0.29	0.30	0.3575
REACTOME_SIGNALING_BY_NODAL	0.80	0.17	0.29	0.17	0.3575
BIOCARTA_DC_PATHWAY	0.17	0.73	0.26	0.28	0.36
REACTOME_CYTOCHROME_P450_ARRANGED_BY_SUBSTRATE_TYPE	0.23	0.44	0.46	0.31	0.36
BIOCARTA_FIBRINOLYSIS_PATHWAY	0.16	0.08	0.46	0.74	0.36
REACTOME_AMINE_COMPOUND_SLC_TRANSPORTERS	0.10	0.43	0.21	0.71	0.3625
REACTOME_CELL_SURFACE_INTERACTIONS_AT_THE_VASCULAR_WALL	0.49	0.28	0.46	0.22	0.3625
REACTOME_TRAFFICKING_OF_GLUR2_CONTAINING_AMPA_RECEPTORS	0.41	0.58	0.48	0.00	0.3675
PID_CD8TCRPATHWAY	0.20	0.13	0.93	0.21	0.3675
REACTOME_GABA_B_RECEPTOR_ACTIVATION	0.66	0.20	0.48	0.13	0.3675
REACTOME_AXON_GUIDANCE	0.09	0.00	0.41	0.98	0.37
REACTOME_GLUCONEOGENESIS	0.45	0.15	0.38	0.51	0.3725
PID_ANTHRAXPATHWAY	0.35	0.25	0.12	0.77	0.3725
BIOCARTA_LAIR_PATHWAY	0.10	0.39	0.87	0.13	0.3725
REACTOME_PLATELET_ADHESION_TO_EXPOSED_COLLAGEN	0.31	0.47	0.52	0.19	0.3725
BIOCARTA_CLASSIC_PATHWAY	0.16	0.29	0.81	0.24	0.375
REACTOME_SYNTHESIS_SECRETION_AND_DEACYLATION_OF_GHRELIN	0.23	0.68	0.35	0.24	0.375
REACTOME_METABOLISM_OF_STEROID_HORMONES_AND_VITAMINS_A_AND_D	0.25	0.42	0.46	0.37	0.375
REACTOME_AQUAPORIN_MEDIATED_TRANSPORT	0.40	0.11	0.52	0.48	0.3775
PID_IL12_STAT4PATHWAY	0.25	0.43	0.49	0.35	0.38
PID_SYNDECAN_4_PATHWAY	0.23	0.67	0.30	0.32	0.38
KEGG_NON_SMALL_CELL_LUNG_CANCER	0.97	0.00	0.51	0.05	0.3825
PID_A6B1_A6B4_INTEGRIN_PATHWAY	0.23	0.00	0.93	0.37	0.3825
REACTOME_DEFENSINS	0.04	0.59	0.61	0.30	0.385
REACTOME_SIGNALING_BY_GPCR	0.09	0.03	0.79	0.63	0.385
PID_IL5_PATHWAY	0.39	0.20	0.71	0.24	0.385
REACTOME_GPCR_DOWNSTREAM_SIGNALING	0.07	0.03	0.60	0.84	0.385
KEGG_GLYCOLYSIS_GLUCONEOGENESIS	0.53	0.04	0.24	0.74	0.3875
KEGG_CYTOKINE_CYTOKINE_RECEPTOR_INTERACTION	0.18	0.03	0.37	0.97	0.3875
REACTOME_TANDEM_PORE_DOMAIN_POTASSIUM_CHANNELS	0.60	0.27	0.23	0.47	0.3925
REACTOME_COMPLEMENT_CASCADE	0.10	0.41	0.63	0.43	0.3925
REACTOME_CS_DS_DEGRADATION	0.34	0.64	0.41	0.18	0.3925
BIOCARTA_ASBCELL_PATHWAY	0.57	0.27	0.10	0.65	0.3975
PID_P53DOWNSTREAMPATHWAY	0.11	0.95	0.10	0.45	0.4025
REACTOME_EXTRINSIC_PATHWAY_FOR_APOPTOSIS	0.63	0.34	0.18	0.46	0.4025
KEGG_TYROSINE_METABOLISM	0.52	0.17	0.78	0.15	0.405
REACTOME_INHIBITION_OF_VOLTAGE_GATED_CA2_CHANNELS_VIA_GBETA_GAMMA_SUBUNITS	0.58	0.26	0.45	0.33	0.405
REACTOME_FGFR_LIGAND_BINDING_AND_ACTIVATION	0.73	0.41	0.30	0.18	0.405
REACTOME_TERMINATION_OF_O_GLYCAN_BIOSYNTHESIS	0.45	0.47	0.62	0.09	0.4075
REACTOME_VOLTAGE_GATED_POTASSIUM_CHANNELS	0.20	0.69	0.11	0.64	0.41
KEGG_GLYCOSPHINGOLIPID_BIOSYNTHESIS_GLOBO_SERIES	0.27	0.17	0.62	0.58	0.41
REACTOME_SIGNAL_REGULATORY_PROTEIN_SIRP_FAMILY_INTERACTIONS	0.34	0.73	0.48	0.09	0.41
PID_INTEGRIN5_PATHWAY	0.34	0.43	0.51	0.36	0.41
REACTOME_ENDOSOMAL_VACUOLAR_PATHWAY	0.63	0.18	0.36	0.48	0.4125
KEGG_ARRHYTHMOGENIC_RIGHT_VENTRICULAR_CARDIOMYOPATHY_ARVC	0.40	0.67	0.33	0.25	0.4125
BIOCARTA_AMI_PATHWAY	0.19	0.08	0.64	0.74	0.4125
