Gene Set	Basal	Her2	LumA	LumB	Normal	Average AUC
BIOCARTA_ARF_PATHWAY	0.80912051	0.75868100	0.72673948	0.52302515	0.63411396	0.69033602
KEGG_SMALL_CELL_LUNG_CANCER	0.81332131	0.70694364	0.71842606	0.50702854	0.69584561	0.688313032
KEGG_CELL_CYCLE	0.76566751	0.72532227	0.73140233	0.51439399	0.69617955	0.68659313
BIOCARTA_G2_PATHWAY	0.75798760	0.71963054	0.72535079	0.53553940	0.69238113	0.686177892
PID_AURORA_A_PATHWAY	0.76731617	0.69810606	0.72861379	0.52429525	0.70506909	0.684680072
PID_P53REGULATIONPATHWAY	0.75954758	0.72310454	0.74246488	0.51105379	0.68213968	0.683662094
KEGG_NEUROTROPHIN_SIGNALING_PATHWAY	0.78735062	0.71329696	0.73840238	0.54337511	0.63020844	0.682526702
BIOCARTA_ATRBRCA_PATHWAY	0.76295942	0.69468197	0.73700726	0.52187914	0.68373024	0.680051606
PID_BARD1PATHWAY	0.77460762	0.69597503	0.72673248	0.52814105	0.67301169	0.679693574
BIOCARTA_ATM_PATHWAY	0.75208682	0.70771213	0.72536316	0.51042180	0.69281404	0.67767959
REACTOME_AUTODEGRADATION_OF_THE_E3_UBIQUITIN_LIGASE_COP1	0.76055877	0.69786591	0.71595187	0.52585396	0.68254050	0.676554202
KEGG_GLIOMA	0.81329390	0.70949913	0.72064694	0.49895574	0.63904121	0.676287384
PID_MYC_ACTIVPATHWAY	0.78122367	0.69588552	0.74477301	0.47166921	0.68547700	0.675805682
REACTOME_PRE_NOTCH_TRANSCRIPTION_AND_TRANSLATION	0.76094079	0.69330573	0.72167919	0.53580181	0.66704524	0.675754552
KEGG_THYROID_CANCER	0.76984271	0.69558565	0.71670138	0.52058047	0.67266680	0.675075402
BIOCARTA_G1_PATHWAY	0.76548325	0.69500306	0.72167753	0.50857215	0.67856804	0.673860806
