Gene Set	Basal	Her2	LumA	LumB	Normal	Average p-value
BIOCARTA_G2_PATHWAY	0.00	0.00	0.00	0.01	0.00	0.002
REACTOME_PRE_NOTCH_TRANSCRIPTION_AND_TRANSLATION	0.01	0.00	0.00	0.02	0.00	0.006
REACTOME_ACTIVATION_OF_BH3_ONLY_PROTEINS	0.00	0.00	0.00	0.00	0.03	0.006
BIOCARTA_ATRBRCA_PATHWAY	0.00	0.00	0.00	0.05	0.00	0.01
BIOCARTA_ARF_PATHWAY	0.00	0.00	0.00	0.05	0.00	0.01
REACTOME_PRE_NOTCH_EXPRESSION_AND_PROCESSING	0.01	0.00	0.00	0.05	0.00	0.012
PID_BARD1PATHWAY	0.00	0.00	0.00	0.09	0.00	0.018
KEGG_APOPTOSIS	0.00	0.00	0.00	0.01	0.08	0.018
KEGG_NEUROTROPHIN_SIGNALING_PATHWAY	0.00	0.00	0.00	0.04	0.08	0.024
REACTOME_AUTODEGRADATION_OF_THE_E3_UBIQUITIN_LIGASE_COP1	0.01	0.00	0.01	0.11	0.00	0.026
PID_AURORA_A_PATHWAY	0.01	0.00	0.00	0.12	0.00	0.026
BIOCARTA_TID_PATHWAY	0.00	0.00	0.00	0.11	0.03	0.028
KEGG_THYROID_CANCER	0.01	0.00	0.01	0.16	0.00	0.036
BIOCARTA_ATM_PATHWAY	0.00	0.00	0.00	0.26	0.00	0.052
KEGG_P53_SIGNALING_PATHWAY	0.00	0.00	0.00	0.28	0.00	0.056
KEGG_WNT_SIGNALING_PATHWAY	0.00	0.00	0.00	0.25	0.08	0.066
REACTOME_SIGNALING_BY_NOTCH	0.00	0.00	0.00	0.28	0.08	0.072
KEGG_CELL_CYCLE	0.00	0.00	0.00	0.38	0.00	0.076
BIOCARTA_G1_PATHWAY	0.01	0.00	0.00	0.38	0.00	0.078
KEGG_SMALL_CELL_LUNG_CANCER	0.00	0.00	0.00	0.42	0.00	0.084
PID_P53REGULATIONPATHWAY	0.00	0.00	0.00	0.43	0.00	0.086
KEGG_CHRONIC_MYELOID_LEUKEMIA	0.00	0.00	0.00	0.35	0.09	0.088
KEGG_PANCREATIC_CANCER	0.00	0.00	0.00	0.03	0.44	0.094
KEGG_AMYOTROPHIC_LATERAL_SCLEROSIS_ALS	0.00	0.00	0.00	0.03	0.49	0.104
REACTOME_CELL_CYCLE	0.00	0.02	0.00	0.31	0.19	0.104
BIOCARTA_CTCF_PATHWAY	0.00	0.00	0.00	0.48	0.05	0.106
KEGG_GLIOMA	0.00	0.00	0.00	0.57	0.00	0.114
PID_AP1_PATHWAY	0.00	0.00	0.00	0.15	0.44	0.118
REACTOME_TIE2_SIGNALING	0.00	0.60	0.00	0.02	0.05	0.134
ST_INTERLEUKIN_4_PATHWAY	0.01	0.47	0.01	0.18	0.01	0.136
REACTOME_IL_3_5_AND_GM_CSF_SIGNALING	0.01	0.01	0.02	0.22	0.43	0.138
KEGG_PROSTATE_CANCER	0.00	0.00	0.00	0.07	0.63	0.14
BIOCARTA_RB_PATHWAY	0.00	0.00	0.00	0.70	0.01	0.142
REACTOME_P53_DEPENDENT_G1_DNA_DAMAGE_RESPONSE	0.00	0.00	0.00	0.73	0.00	0.146
SIG_PIP3_SIGNALING_IN_B_LYMPHOCYTES	0.01	0.32	0.01	0.39	0.01	0.148
REACTOME_CELL_CYCLE_CHECKPOINTS	0.00	0.00	0.00	0.69	0.07	0.152
PID_TRAIL_PATHWAY	0.01	0.49	0.01	0.24	0.01	0.152
