Gene Set	Basal	Her2	LumA	LumB	Normal	Average p-value
SIG_PIP3_SIGNALING_IN_B_LYMPHOCYTES	0.00	0.11	0.00	0.05	0.00	0.032
PID_ERBB1_RECEPTOR_PROXIMAL_PATHWAY	0.00	0.07	0.00	0.06	0.17	0.06
BIOCARTA_INSULIN_PATHWAY	0.00	0.00	0.00	0.30	0.00	0.06
SIG_CHEMOTAXIS	0.00	0.01	0.00	0.47	0.00	0.096
REACTOME_METABOLISM_OF_VITAMINS_AND_COFACTORS	0.20	0.03	0.02	0.12	0.16	0.106
BIOCARTA_IL7_PATHWAY	0.00	0.54	0.00	0.01	0.00	0.11
SA_PTEN_PATHWAY	0.00	0.05	0.00	0.51	0.00	0.112
KEGG_PRIMARY_IMMUNODEFICIENCY	0.19	0.15	0.02	0.12	0.12	0.12
KEGG_MAPK_SIGNALING_PATHWAY	0.01	0.24	0.00	0.12	0.25	0.124
PID_INSULIN_PATHWAY	0.00	0.01	0.00	0.05	0.58	0.128
REACTOME_FORMATION_OF_INCISION_COMPLEX_IN_GG_NER	0.23	0.24	0.06	0.08	0.04	0.13
REACTOME_SIGNALING_BY_FGFR1_MUTANTS	0.00	0.33	0.00	0.33	0.00	0.132
PID_MYC_ACTIVPATHWAY	0.00	0.01	0.00	0.25	0.41	0.134
REACTOME_CELL_CYCLE	0.00	0.02	0.00	0.37	0.31	0.14
ST_INTERLEUKIN_4_PATHWAY	0.00	0.30	0.00	0.45	0.00	0.15
REACTOME_GOLGI_ASSOCIATED_VESICLE_BIOGENESIS	0.06	0.16	0.07	0.06	0.40	0.15
REACTOME_MHC_CLASS_II_ANTIGEN_PRESENTATION	0.29	0.14	0.07	0.22	0.05	0.154
KEGG_CELL_CYCLE	0.01	0.01	0.01	0.57	0.21	0.162
PID_AR_NONGENOMIC_PATHWAY	0.00	0.25	0.00	0.01	0.55	0.162
REACTOME_TRANS_GOLGI_NETWORK_VESICLE_BUDDING	0.09	0.28	0.15	0.00	0.32	0.168
ST_B_CELL_ANTIGEN_RECEPTOR	0.00	0.30	0.00	0.00	0.54	0.168
KEGG_NEUROTROPHIN_SIGNALING_PATHWAY	0.00	0.00	0.00	0.31	0.54	0.17
PID_NFKAPPABATYPICALPATHWAY	0.00	0.00	0.00	0.86	0.00	0.172
SIG_CD40PATHWAYMAP	0.00	0.69	0.00	0.18	0.00	0.174
PID_VEGFR1_2_PATHWAY	0.01	0.68	0.01	0.17	0.00	0.174
REACTOME_ZINC_TRANSPORTERS	0.22	0.11	0.07	0.13	0.34	0.174
BIOCARTA_CXCR4_PATHWAY	0.00	0.24	0.00	0.64	0.00	0.176
KEGG_CHEMOKINE_SIGNALING_PATHWAY	0.00	0.47	0.06	0.32	0.04	0.178
PID_NCADHERINPATHWAY	0.00	0.32	0.00	0.53	0.05	0.18
ST_DIFFERENTIATION_PATHWAY_IN_PC12_CELLS	0.00	0.25	0.00	0.65	0.00	0.18
REACTOME_REGULATED_PROTEOLYSIS_OF_P75NTR	0.09	0.05	0.04	0.15	0.58	0.182
KEGG_BASAL_CELL_CARCINOMA	0.01	0.00	0.01	0.44	0.45	0.182
SIG_PIP3_SIGNALING_IN_CARDIAC_MYOCTES	0.01	0.08	0.01	0.11	0.70	0.182
BIOCARTA_LAIR_PATHWAY	0.23	0.09	0.03	0.53	0.04	0.184
SA_TRKA_RECEPTOR	0.00	0.60	0.00	0.01	0.31	0.184
PID_NEPHRIN_NEPH1_PATHWAY	0.00	0.16	0.00	0.75	0.02	0.186
BIOCARTA_BARRESTIN_SRC_PATHWAY	0.03	0.09	0.13	0.05	0.63	0.186
BIOCARTA_GH_PATHWAY	0.00	0.30	0.00	0.10	0.55	0.19
PID_ERB_GENOMIC_PATHWAY	0.32	0.11	0.15	0.07	0.30	0.19
PID_TRKRPATHWAY	0.01	0.03	0.01	0.24	0.67	0.192
BIOCARTA_RAS_PATHWAY	0.00	0.04	0.00	0.62	0.31	0.194
SIG_BCR_SIGNALING_PATHWAY	0.00	0.18	0.00	0.14	0.65	0.194
REACTOME_NUCLEOTIDE_EXCISION_REPAIR	0.48	0.31	0.02	0.02	0.14	0.194
REACTOME_SIGNALING_BY_PDGF	0.19	0.01	0.01	0.07	0.69	0.194
REACTOME_FACILITATIVE_NA_INDEPENDENT_GLUCOSE_TRANSPORTERS	0.13	0.14	0.21	0.19	0.33	0.2
PID_VEGFR1_PATHWAY	0.00	0.36	0.00	0.10	0.55	0.202
REACTOME_METAL_ION_SLC_TRANSPORTERS	0.13	0.02	0.00	0.18	0.69	0.204
REACTOME_GLUTATHIONE_CONJUGATION	0.19	0.11	0.01	0.30	0.42	0.206
BIOCARTA_EIF2_PATHWAY	0.38	0.16	0.06	0.12	0.31	0.206
REACTOME_IL_RECEPTOR_SHC_SIGNALING	0.00	0.30	0.00	0.64	0.09	0.206
PID_IL2_STAT5PATHWAY	0.00	0.03	0.00	0.45	0.55	0.206
REACTOME_SIGNALING_BY_INSULIN_RECEPTOR	0.30	0.36	0.04	0.34	0.00	0.208
PID_LYMPHANGIOGENESIS_PATHWAY	0.00	0.60	0.00	0.44	0.00	0.208
REACTOME_DOUBLE_STRAND_BREAK_REPAIR	0.23	0.24	0.51	0.01	0.05	0.208
REACTOME_RNA_POL_III_TRANSCRIPTION_INITIATION_FROM_TYPE_2_PROMOTER	0.25	0.13	0.35	0.26	0.05	0.208
PID_FANCONI_PATHWAY	0.01	0.35	0.11	0.02	0.55	0.208
REACTOME_GLUCOSE_METABOLISM	0.26	0.28	0.15	0.17	0.19	0.21
REACTOME_VITAMIN_B5_PANTOTHENATE_METABOLISM	0.23	0.17	0.01	0.30	0.34	0.21
BIOCARTA_SHH_PATHWAY	0.21	0.30	0.01	0.53	0.00	0.21
BIOCARTA_NKCELLS_PATHWAY	0.00	0.46	0.00	0.59	0.00	0.21
BIOCARTA_G1_PATHWAY	0.00	0.00	0.00	0.51	0.54	0.21
PID_DELTANP63PATHWAY	0.20	0.08	0.12	0.12	0.54	0.212
BIOCARTA_ETS_PATHWAY	0.13	0.11	0.01	0.64	0.17	0.212
REACTOME_TRIGLYCERIDE_BIOSYNTHESIS	0.18	0.15	0.52	0.12	0.10	0.214
REACTOME_IL_3_5_AND_GM_CSF_SIGNALING	0.00	0.00	0.00	0.51	0.57	0.216
PID_FCER1PATHWAY	0.01	0.36	0.01	0.31	0.39	0.216
REACTOME_SIGNALING_BY_FGFR1_FUSION_MUTANTS	0.00	0.24	0.00	0.84	0.00	0.216
BIOCARTA_MET_PATHWAY	0.00	0.16	0.00	0.92	0.00	0.216
REACTOME_NEPHRIN_INTERACTIONS	0.00	0.14	0.00	0.95	0.00	0.218
REACTOME_TERMINATION_OF_O_GLYCAN_BIOSYNTHESIS	0.79	0.30	0.00	0.00	0.00	0.218
PID_ECADHERIN_NASCENTAJ_PATHWAY	0.00	0.10	0.00	1.00	0.00	0.22
KEGG_HEDGEHOG_SIGNALING_PATHWAY	0.28	0.36	0.33	0.05	0.08	0.22
REACTOME_POST_NMDA_RECEPTOR_ACTIVATION_EVENTS	0.43	0.30	0.01	0.33	0.03	0.22
REACTOME_PROCESSING_OF_CAPPED_INTRONLESS_PRE_MRNA	0.03	0.64	0.07	0.25	0.12	0.222
BIOCARTA_VEGF_PATHWAY	0.00	0.40	0.00	0.16	0.55	0.222
BIOCARTA_BARR_MAPK_PATHWAY	0.04	0.13	0.26	0.06	0.63	0.224
BIOCARTA_ACH_PATHWAY	0.00	0.31	0.00	0.81	0.00	0.224
BIOCARTA_CTLA4_PATHWAY	0.00	0.50	0.00	0.62	0.00	0.224
REACTOME_INSULIN_RECEPTOR_SIGNALLING_CASCADE	0.01	0.38	0.01	0.33	0.39	0.224
