Gene Set	Basal	Her2	LumA	LumB	Normal	Average AUC
KEGG_PANCREATIC_CANCER	0.99304660	0.95419714	0.93336711	0.88080248	0.93181818	0.938646302
KEGG_PROSTATE_CANCER	0.99387940	0.96360153	0.92592373	0.87974456	0.90909091	0.934448026
KEGG_SMALL_CELL_LUNG_CANCER	0.99357941	0.92998955	0.93734761	0.87790140	0.93055556	0.933874706
KEGG_PATHWAYS_IN_CANCER	0.99421296	0.96412400	0.94368273	0.89887335	0.85732323	0.931643254
REACTOME_HEMOSTASIS	0.99431818	0.94670846	0.94583769	0.88757042	0.87752525	0.930392
PID_TAP63PATHWAY	0.99284512	0.95489377	0.91708051	0.89442623	0.89015152	0.92987943
REACTOME_IMMUNE_SYSTEM	0.99431818	0.92772553	0.94091780	0.88811947	0.87500000	0.925216196
REACTOME_ADAPTIVE_IMMUNE_SYSTEM	0.99421296	0.93155695	0.94392198	0.88502719	0.86868687	0.92468119
PID_DELTANP63PATHWAY	0.99452862	0.92877046	0.95850749	0.92869804	0.81060606	0.924222134
KEGG_PROGESTERONE_MEDIATED_OOCYTE_MATURATION	0.99091312	0.91814699	0.95197666	0.87994861	0.87878788	0.923954652
PID_E2F_PATHWAY	0.98500072	0.91814699	0.95197666	0.87086611	0.88383838	0.921965772
KEGG_PURINE_METABOLISM	0.99431818	0.94357367	0.94043887	0.88795042	0.83964646	0.92118552
KEGG_CHRONIC_MYELOID_LEUKEMIA	0.99272199	0.93608499	0.92624521	0.84784504	0.90151515	0.920882476
REACTOME_TRANSMEMBRANE_TRANSPORT_OF_SMALL_MOLECULES	0.99431594	0.96238245	0.92959770	0.88552715	0.83080808	0.920526264
KEGG_NON_SMALL_CELL_LUNG_CANCER	0.99207501	0.94130965	0.91501219	0.85725646	0.89646465	0.920423592
REACTOME_AXON_GUIDANCE	0.99452862	0.94740509	0.93199234	0.87552326	0.85227273	0.920344408
REACTOME_DEVELOPMENTAL_BIOLOGY	0.99431594	0.94636015	0.93133925	0.87174631	0.85227273	0.919206876
KEGG_COLORECTAL_CANCER	0.99089073	0.91936607	0.92415271	0.86370727	0.89772727	0.91916881
KEGG_MAPK_SIGNALING_PATHWAY	0.99399133	0.94548938	0.92202194	0.85806677	0.87373737	0.918661358
KEGG_PHOSPHATIDYLINOSITOL_SIGNALING_SYSTEM	0.99115938	0.90613027	0.91605712	0.86574762	0.91287879	0.918394636
KEGG_GLIOMA	0.99270408	0.93591083	0.92837861	0.85485261	0.87626263	0.917621752
KEGG_FOCAL_ADHESION	0.99335106	0.94670846	0.91361895	0.84321338	0.88888889	0.917156148
REACTOME_SIGNALING_BY_RHO_GTPASES	0.99431370	0.91884361	0.94487983	0.88100962	0.84469697	0.916748746
