Gene Set	Basal	Her2	LumA	LumB	Normal	Average AUC
REACTOME_HEMOSTASIS	0.97978735	0.95535660	0.94097497	0.88379487	0.97003367	0.945989492
KEGG_PATHWAYS_IN_CANCER	0.97492291	0.96548822	0.93346509	0.87274592	0.97878788	0.945082004
REACTOME_CELL_CYCLE	0.96665072	0.94817876	0.94567413	0.88827350	0.97441077	0.944637576
REACTOME_CELL_CYCLE_MITOTIC	0.96851143	0.95325987	0.94488362	0.88602020	0.96801347	0.944137718
REACTOME_DEVELOPMENTAL_BIOLOGY	0.97574163	0.96060606	0.92854633	0.87282984	0.97003367	0.941551506
REACTOME_AXON_GUIDANCE	0.97641148	0.95420875	0.92617479	0.87396507	0.97138047	0.940428112
KEGG_PURINE_METABOLISM	0.96814992	0.94781145	0.93794466	0.87245688	0.97508418	0.940289418
PID_P53DOWNSTREAMPATHWAY	0.96998937	0.93599633	0.92352422	0.89200658	0.97878788	0.940060876
REACTOME_SIGNALLING_BY_NGF	0.97774588	0.95616774	0.91159420	0.87447708	0.97777778	0.939552536
REACTOME_MITOTIC_M_M_G1_PHASES	0.96316853	0.94510254	0.93763724	0.88658890	0.96397306	0.939294054
REACTOME_SIGNALING_BY_RHO_GTPASES	0.98195641	0.92595654	0.93847167	0.88019075	0.96666667	0.938648408
REACTOME_IMMUNE_SYSTEM	0.97795322	0.94934190	0.92841059	0.87333644	0.96195286	0.938199002
PID_P73PATHWAY	0.96879851	0.91333027	0.93829600	0.88195804	0.98713805	0.937904174
REACTOME_ADAPTIVE_IMMUNE_SYSTEM	0.97720362	0.95078053	0.92248573	0.87400155	0.96430976	0.937756238
KEGG_CELL_CYCLE	0.97276980	0.92366085	0.93974528	0.87034343	0.97811448	0.936926768
REACTOME_DNA_REPLICATION	0.96106326	0.94092440	0.93557312	0.88486092	0.96060606	0.936605552
REACTOME_MITOTIC_G1_G1_S_PHASES	0.97145667	0.94326599	0.93157664	0.87498990	0.96127946	0.936513732
KEGG_PYRIMIDINE_METABOLISM	0.97625199	0.91579431	0.93249890	0.88045066	0.97676768	0.936352708
KEGG_PANCREATIC_CANCER	0.96929293	0.94877564	0.92911726	0.85891220	0.97474747	0.9361691
REACTOME_SIGNALING_BY_NOTCH	0.97729399	0.93096113	0.91958718	0.87005439	0.98080808	0.935740954
REACTOME_METABOLISM_OF_LIPIDS_AND_LIPOPROTEINS	0.97632642	0.95174472	0.91721563	0.85824087	0.97400673	0.935506874
REACTOME_TRANSMEMBRANE_TRANSPORT_OF_SMALL_MOLECULES	0.97876661	0.95361188	0.91036451	0.86216628	0.96835017	0.93465189
PID_DELTANP63PATHWAY	0.96203083	0.91668197	0.93271849	0.89480342	0.96666667	0.934580276
REACTOME_CELL_CYCLE_CHECKPOINTS	0.96728336	0.94672482	0.92885375	0.87374048	0.95050505	0.933421492
REACTOME_PHOSPHOLIPID_METABOLISM	0.97744285	0.93976125	0.91989460	0.85009479	0.97710438	0.932859574
KEGG_REGULATION_OF_ACTIN_CYTOSKELETON	0.97229665	0.94791858	0.91862099	0.85466541	0.96902357	0.93250504
REACTOME_APOPTOSIS	0.97034024	0.94322008	0.91616162	0.85712199	0.97373737	0.93211626
KEGG_OOCYTE_MEIOSIS	0.97466241	0.94184267	0.92926498	0.88011500	0.93131313	0.931439638
REACTOME_METABOLISM_OF_CARBOHYDRATES	0.97027645	0.92378329	0.92191480	0.87871329	0.96127946	0.931193458
REACTOME_HIV_INFECTION	0.97374801	0.93394552	0.91734739	0.86015214	0.97070707	0.931180026
REACTOME_NGF_SIGNALLING_VIA_TRKA_FROM_THE_PLASMA_MEMBRANE	0.97358852	0.95015305	0.89869756	0.86289044	0.97003367	0.931072648
KEGG_UBIQUITIN_MEDIATED_PROTEOLYSIS	0.97100478	0.92826752	0.92033377	0.86249573	0.97239057	0.930898474
KEGG_PROSTATE_CANCER	0.97104157	0.94880624	0.91084761	0.84256410	0.98013468	0.93067884
REACTOME_FACTORS_INVOLVED_IN_MEGAKARYOCYTE_DEVELOPMENT_AND_PLATELET_PRODUCTION	0.97099415	0.91848791	0.93298199	0.87812587	0.95265993	0.93064997
KEGG_FOCAL_ADHESION	0.97239234	0.93879706	0.90794506	0.85632012	0.97575758	0.930242432
REACTOME_GENERIC_TRANSCRIPTION_PATHWAY	0.97382243	0.94142945	0.91155029	0.86164897	0.96228956	0.93014814
REACTOME_CELL_DEATH_SIGNALLING_VIA_NRAGE_NRIF_AND_NADE	0.98006911	0.91928885	0.92318841	0.84366434	0.98451178	0.930144498
KEGG_P53_SIGNALING_PATHWAY	0.96473813	0.90532599	0.92371542	0.87804196	0.97878788	0.930121876
KEGG_ENDOCYTOSIS	0.97618256	0.94683196	0.90421607	0.84724080	0.97340067	0.929574412
PID_ATR_PATHWAY	0.97217438	0.92063055	0.93566096	0.87712199	0.94208754	0.929535084
REACTOME_DNA_REPAIR	0.96898990	0.91535047	0.92863417	0.86075151	0.97373737	0.929492684
KEGG_CHEMOKINE_SIGNALING_PATHWAY	0.97889421	0.94344965	0.90267896	0.86828898	0.95387205	0.92943677
PID_TELOMERASEPATHWAY	0.97210526	0.93642485	0.92029651	0.84111577	0.97609428	0.929207334
PID_PLK1_PATHWAY	0.97122807	0.90953474	0.93877910	0.86713598	0.95905724	0.929147026
