Gene Set	Basal	Her2	LumA	LumB	Normal	Average p-value
KEGG_NON_SMALL_CELL_LUNG_CANCER	0.02	0.02	0.13	0.01	0.00	0.036
REACTOME_SIGNALING_BY_ERBB2	0.32	0.00	0.07	0.00	0.02	0.082
REACTOME_SIGNALING_BY_SCF_KIT	0.21	0.01	0.06	0.03	0.16	0.094
REACTOME_OPIOID_SIGNALLING	0.34	0.03	0.04	0.03	0.04	0.096
PID_FAK_PATHWAY	0.07	0.02	0.01	0.04	0.34	0.096
PID_ERBB2ERBB3PATHWAY	0.30	0.00	0.15	0.03	0.05	0.106
PID_IL27PATHWAY	0.09	0.18	0.03	0.10	0.15	0.11
KEGG_GLYOXYLATE_AND_DICARBOXYLATE_METABOLISM	0.02	0.22	0.03	0.22	0.12	0.122
BIOCARTA_G2_PATHWAY	0.19	0.08	0.14	0.16	0.06	0.126
KEGG_ENDOMETRIAL_CANCER	0.35	0.03	0.00	0.04	0.26	0.136
KEGG_ERBB_SIGNALING_PATHWAY	0.37	0.01	0.13	0.13	0.06	0.14
REACTOME_DARPP_32_EVENTS	0.41	0.00	0.03	0.04	0.23	0.142
REACTOME_DOWNSTREAM_SIGNAL_TRANSDUCTION	0.28	0.02	0.07	0.00	0.36	0.146
REACTOME_PERK_REGULATED_GENE_EXPRESSION	0.18	0.14	0.03	0.29	0.12	0.152
REACTOME_MYOGENESIS	0.31	0.12	0.03	0.07	0.27	0.16
KEGG_PROSTATE_CANCER	0.18	0.01	0.08	0.09	0.47	0.166
REACTOME_SIGNALING_BY_PDGF	0.41	0.02	0.04	0.12	0.27	0.172
BIOCARTA_PPARA_PATHWAY	0.68	0.05	0.00	0.01	0.14	0.176
KEGG_CARDIAC_MUSCLE_CONTRACTION	0.11	0.60	0.01	0.13	0.05	0.18
REACTOME_RORA_ACTIVATES_CIRCADIAN_EXPRESSION	0.25	0.05	0.05	0.27	0.28	0.18
KEGG_MTOR_SIGNALING_PATHWAY	0.20	0.30	0.38	0.01	0.02	0.182
BIOCARTA_EIF4_PATHWAY	0.10	0.08	0.25	0.24	0.24	0.182
REACTOME_MUSCLE_CONTRACTION	0.09	0.03	0.14	0.35	0.34	0.19
BIOCARTA_ATM_PATHWAY	0.43	0.05	0.26	0.03	0.23	0.2
REACTOME_DEVELOPMENTAL_BIOLOGY	0.12	0.04	0.09	0.61	0.14	0.2
REACTOME_FORMATION_OF_THE_HIV1_EARLY_ELONGATION_COMPLEX	0.19	0.12	0.03	0.33	0.33	0.2
PID_AR_PATHWAY	0.02	0.04	0.12	0.22	0.61	0.202
REACTOME_IL_6_SIGNALING	0.34	0.09	0.21	0.22	0.15	0.202
REACTOME_MITOCHONDRIAL_PROTEIN_IMPORT	0.08	0.05	0.39	0.36	0.19	0.214
REACTOME_AXON_GUIDANCE	0.36	0.05	0.05	0.47	0.16	0.218
REACTOME_BASIGIN_INTERACTIONS	0.56	0.15	0.13	0.21	0.05	0.22
BIOCARTA_ERK_PATHWAY	0.43	0.04	0.03	0.33	0.28	0.222
PID_CXCR4_PATHWAY	0.09	0.19	0.32	0.11	0.41	0.224
PID_IGF1_PATHWAY	0.10	0.54	0.12	0.07	0.29	0.224
REACTOME_ACTIVATION_OF_GENES_BY_ATF4	0.19	0.20	0.25	0.35	0.14	0.226
KEGG_HUNTINGTONS_DISEASE	0.01	0.32	0.42	0.29	0.09	0.226
BIOCARTA_AKT_PATHWAY	0.41	0.15	0.03	0.07	0.48	0.228
REACTOME_RIG_I_MDA5_MEDIATED_INDUCTION_OF_IFN_ALPHA_BETA_PATHWAYS	0.36	0.16	0.42	0.13	0.07	0.228
BIOCARTA_MTOR_PATHWAY	0.00	0.12	0.76	0.27	0.00	0.23
BIOCARTA_PYK2_PATHWAY	0.10	0.43	0.17	0.14	0.31	0.23
PID_RET_PATHWAY	0.14	0.01	0.20	0.45	0.35	0.23
PID_MTOR_4PATHWAY	0.22	0.17	0.49	0.06	0.22	0.232
PID_SMAD2_3PATHWAY	0.26	0.08	0.36	0.46	0.00	0.232
BIOCARTA_TOB1_PATHWAY	0.57	0.08	0.30	0.24	0.00	0.238
REACTOME_NUCLEAR_RECEPTOR_TRANSCRIPTION_PATHWAY	0.28	0.03	0.41	0.08	0.39	0.238
REACTOME_REGULATORY_RNA_PATHWAYS	0.25	0.55	0.08	0.09	0.22	0.238
BIOCARTA_KERATINOCYTE_PATHWAY	0.39	0.03	0.15	0.32	0.32	0.242
ST_INTERLEUKIN_4_PATHWAY	0.02	0.64	0.13	0.16	0.27	0.244
KEGG_ALZHEIMERS_DISEASE	0.08	0.28	0.30	0.43	0.14	0.246
BIOCARTA_HER2_PATHWAY	0.26	0.05	0.33	0.16	0.44	0.248
KEGG_VASCULAR_SMOOTH_MUSCLE_CONTRACTION	0.04	0.65	0.39	0.14	0.03	0.25
REACTOME_LYSOSOME_VESICLE_BIOGENESIS	0.00	0.79	0.03	0.00	0.44	0.252
REACTOME_INHIBITION_OF_INSULIN_SECRETION_BY_ADRENALINE_NORADRENALINE	0.09	0.79	0.30	0.07	0.02	0.254
PID_IFNGPATHWAY	0.30	0.12	0.75	0.12	0.00	0.258
BIOCARTA_ECM_PATHWAY	0.57	0.10	0.14	0.16	0.32	0.258
KEGG_PATHWAYS_IN_CANCER	0.69	0.03	0.02	0.17	0.38	0.258
REACTOME_PI3K_EVENTS_IN_ERBB2_SIGNALING	0.67	0.00	0.45	0.15	0.02	0.258
KEGG_BLADDER_CANCER	0.06	0.00	0.78	0.10	0.35	0.258
KEGG_TAURINE_AND_HYPOTAURINE_METABOLISM	0.34	0.19	0.19	0.43	0.15	0.26
PID_FGF_PATHWAY	0.63	0.16	0.11	0.19	0.22	0.262
REACTOME_COSTIMULATION_BY_THE_CD28_FAMILY	0.35	0.13	0.59	0.10	0.14	0.262
