Gene Set	Basal	Her2	LumA	LumB	Normal	Average p-value
PID_DELTANP63PATHWAY	0.08	0.04	0.00	0.00	0.17	0.058
REACTOME_ASSOCIATION_OF_LICENSING_FACTORS_WITH_THE_PRE_REPLICATIVE_COMPLEX	0.08	0.01	0.00	0.09	0.14	0.064
BIOCARTA_PTC1_PATHWAY	0.05	0.15	0.00	0.01	0.12	0.066
KEGG_PANCREATIC_CANCER	0.23	0.02	0.14	0.01	0.00	0.08
BIOCARTA_CELLCYCLE_PATHWAY	0.20	0.14	0.00	0.01	0.13	0.096
REACTOME_CDC6_ASSOCIATION_WITH_THE_ORC_ORIGIN_COMPLEX	0.08	0.04	0.01	0.01	0.35	0.098
REACTOME_IL_6_SIGNALING	0.11	0.02	0.06	0.16	0.31	0.132
BIOCARTA_HER2_PATHWAY	0.20	0.08	0.30	0.01	0.17	0.152
REACTOME_G2_M_DNA_DAMAGE_CHECKPOINT	0.17	0.13	0.01	0.02	0.44	0.154
KEGG_SELENOAMINO_ACID_METABOLISM	0.28	0.11	0.31	0.01	0.07	0.156
BIOCARTA_LEPTIN_PATHWAY	0.23	0.00	0.25	0.16	0.14	0.156
KEGG_PURINE_METABOLISM	0.22	0.08	0.08	0.21	0.23	0.164
SIG_CHEMOTAXIS	0.16	0.26	0.16	0.17	0.08	0.166
PID_P73PATHWAY	0.10	0.15	0.00	0.00	0.60	0.17
REACTOME_THE_ACTIVATION_OF_ARYLSULFATASES	0.02	0.12	0.10	0.42	0.21	0.174
REACTOME_GRB2_EVENTS_IN_ERBB2_SIGNALING	0.12	0.03	0.48	0.19	0.06	0.176
KEGG_PROSTATE_CANCER	0.33	0.00	0.49	0.07	0.00	0.178
REACTOME_APOBEC3G_MEDIATED_RESISTANCE_TO_HIV1_INFECTION	0.06	0.18	0.05	0.06	0.54	0.178
BIOCARTA_RANMS_PATHWAY	0.19	0.13	0.00	0.01	0.56	0.178
ST_ADRENERGIC	0.00	0.17	0.44	0.26	0.03	0.18
REACTOME_REMOVAL_OF_THE_FLAP_INTERMEDIATE_FROM_THE_C_STRAND	0.17	0.21	0.06	0.07	0.40	0.182
PID_HES_HEYPATHWAY	0.09	0.01	0.35	0.14	0.33	0.184
BIOCARTA_SRCRPTP_PATHWAY	0.19	0.32	0.01	0.01	0.40	0.186
REACTOME_PYRIMIDINE_METABOLISM	0.32	0.28	0.09	0.18	0.09	0.192
REACTOME_GROWTH_HORMONE_RECEPTOR_SIGNALING	0.05	0.03	0.20	0.33	0.36	0.194
REACTOME_APC_CDC20_MEDIATED_DEGRADATION_OF_NEK2A	0.27	0.14	0.00	0.01	0.55	0.194
PID_ECADHERIN_STABILIZATION_PATHWAY	0.02	0.01	0.56	0.37	0.01	0.194
KEGG_CHRONIC_MYELOID_LEUKEMIA	0.26	0.05	0.39	0.31	0.01	0.204
BIOCARTA_SKP2E2F_PATHWAY	0.23	0.10	0.04	0.03	0.65	0.21
REACTOME_KERATAN_SULFATE_BIOSYNTHESIS	0.13	0.21	0.36	0.31	0.07	0.216
REACTOME_PRE_NOTCH_TRANSCRIPTION_AND_TRANSLATION	0.09	0.32	0.16	0.09	0.42	0.216
ST_MYOCYTE_AD_PATHWAY	0.02	0.14	0.22	0.18	0.53	0.218
REACTOME_E2F_MEDIATED_REGULATION_OF_DNA_REPLICATION	0.20	0.14	0.00	0.01	0.74	0.218
BIOCARTA_P35ALZHEIMERS_PATHWAY	0.10	0.01	0.11	0.45	0.45	0.224
PID_TAP63PATHWAY	0.29	0.02	0.36	0.02	0.44	0.226
REACTOME_INHIBITION_OF_THE_PROTEOLYTIC_ACTIVITY_OF_APC_C_REQUIRED_FOR_THE_ONSET_OF_ANAPHASE_BY_MITOTIC_SPINDLE_CHECKPOINT_COMPONENTS	0.50	0.14	0.00	0.01	0.48	0.226
KEGG_HOMOLOGOUS_RECOMBINATION	0.32	0.20	0.04	0.09	0.49	0.228
REACTOME_KINESINS	0.51	0.36	0.00	0.13	0.14	0.228
PID_FOXM1PATHWAY	0.15	0.27	0.00	0.00	0.72	0.228
