Gene Set	Basal	Her2	LumA	LumB	Normal	Average p-value
PID_HES_HEYPATHWAY	0.02	0.01	0.19	0.00	0.05	0.054
REACTOME_PRE_NOTCH_EXPRESSION_AND_PROCESSING	0.01	0.01	0.15	0.10	0.02	0.058
REACTOME_NRAGE_SIGNALS_DEATH_THROUGH_JNK	0.06	0.02	0.02	0.10	0.09	0.058
REACTOME_ASSOCIATION_OF_LICENSING_FACTORS_WITH_THE_PRE_REPLICATIVE_COMPLEX	0.03	0.03	0.00	0.01	0.23	0.06
BIOCARTA_CELLCYCLE_PATHWAY	0.04	0.09	0.00	0.02	0.20	0.07
REACTOME_REGULATED_PROTEOLYSIS_OF_P75NTR	0.13	0.05	0.08	0.11	0.03	0.08
REACTOME_CDC6_ASSOCIATION_WITH_THE_ORC_ORIGIN_COMPLEX	0.02	0.06	0.00	0.00	0.33	0.082
REACTOME_SIGNALING_BY_RHO_GTPASES	0.09	0.13	0.01	0.00	0.22	0.09
REACTOME_FANCONI_ANEMIA_PATHWAY	0.34	0.08	0.00	0.02	0.02	0.092
REACTOME_G2_M_DNA_DAMAGE_CHECKPOINT	0.20	0.01	0.00	0.03	0.22	0.092
REACTOME_APC_CDC20_MEDIATED_DEGRADATION_OF_NEK2A	0.12	0.08	0.00	0.02	0.25	0.094
REACTOME_RECRUITMENT_OF_NUMA_TO_MITOTIC_CENTROSOMES	0.20	0.02	0.02	0.03	0.22	0.098
PID_MYC_PATHWAY	0.04	0.27	0.09	0.09	0.02	0.102
KEGG_PANCREATIC_CANCER	0.33	0.00	0.00	0.08	0.11	0.104
SIG_CHEMOTAXIS	0.07	0.02	0.03	0.00	0.41	0.106
PID_FANCONI_PATHWAY	0.35	0.05	0.00	0.00	0.13	0.106
BIOCARTA_ATRBRCA_PATHWAY	0.28	0.17	0.00	0.05	0.06	0.112
BIOCARTA_RANMS_PATHWAY	0.17	0.09	0.00	0.03	0.28	0.114
REACTOME_ADENYLATE_CYCLASE_ACTIVATING_PATHWAY	0.03	0.00	0.35	0.09	0.11	0.116
REACTOME_CELL_DEATH_SIGNALLING_VIA_NRAGE_NRIF_AND_NADE	0.22	0.06	0.07	0.21	0.04	0.12
REACTOME_APC_C_CDC20_MEDIATED_DEGRADATION_OF_CYCLIN_B	0.19	0.06	0.00	0.04	0.31	0.12
REACTOME_SEMA4D_INDUCED_CELL_MIGRATION_AND_GROWTH_CONE_COLLAPSE	0.02	0.00	0.21	0.37	0.01	0.122
PID_HDAC_CLASSII_PATHWAY	0.14	0.13	0.25	0.01	0.09	0.124
REACTOME_APOBEC3G_MEDIATED_RESISTANCE_TO_HIV1_INFECTION	0.02	0.28	0.07	0.22	0.05	0.128
REACTOME_GROWTH_HORMONE_RECEPTOR_SIGNALING	0.05	0.00	0.13	0.15	0.32	0.13
PID_ATR_PATHWAY	0.10	0.01	0.00	0.00	0.54	0.13
PID_HEDGEHOG_2PATHWAY	0.04	0.04	0.03	0.03	0.51	0.13
BIOCARTA_ETS_PATHWAY	0.41	0.13	0.01	0.05	0.06	0.132
PID_FOXOPATHWAY	0.36	0.05	0.04	0.14	0.09	0.136
REACTOME_PRE_NOTCH_TRANSCRIPTION_AND_TRANSLATION	0.02	0.18	0.19	0.00	0.30	0.138
REACTOME_REGULATION_OF_RHEB_GTPASE_ACTIVITY_BY_AMPK	0.01	0.01	0.11	0.12	0.45	0.14
REACTOME_SIGNALING_BY_NOTCH	0.24	0.08	0.23	0.13	0.02	0.14
PID_PLK1_PATHWAY	0.15	0.02	0.00	0.00	0.56	0.146
REACTOME_ACTIVATION_OF_THE_PRE_REPLICATIVE_COMPLEX	0.23	0.14	0.00	0.02	0.34	0.146
REACTOME_TGF_BETA_RECEPTOR_SIGNALING_ACTIVATES_SMADS	0.02	0.02	0.20	0.06	0.43	0.146
PID_MYC_REPRESSPATHWAY	0.03	0.00	0.40	0.12	0.19	0.148
REACTOME_SMAD2_SMAD3_SMAD4_HETEROTRIMER_REGULATES_TRANSCRIPTION	0.04	0.14	0.13	0.09	0.36	0.152
PID_IL2_STAT5PATHWAY	0.02	0.29	0.02	0.31	0.13	0.154
REACTOME_G1_PHASE	0.03	0.48	0.02	0.01	0.23	0.154
REACTOME_KINESINS	0.33	0.19	0.01	0.04	0.21	0.156
REACTOME_HEMOSTASIS	0.13	0.53	0.01	0.10	0.02	0.158
REACTOME_PYRIMIDINE_METABOLISM	0.05	0.13	0.07	0.23	0.34	0.164
REACTOME_GRB2_EVENTS_IN_ERBB2_SIGNALING	0.23	0.00	0.09	0.06	0.46	0.168
REACTOME_G_ALPHA1213_SIGNALLING_EVENTS	0.00	0.15	0.10	0.37	0.23	0.17
REACTOME_NUCLEAR_SIGNALING_BY_ERBB4	0.10	0.00	0.37	0.08	0.31	0.172
PID_RB_1PATHWAY	0.30	0.47	0.00	0.00	0.11	0.176
PID_ATM_PATHWAY	0.18	0.09	0.02	0.01	0.60	0.18
SA_REG_CASCADE_OF_CYCLIN_EXPR	0.18	0.20	0.00	0.03	0.49	0.18
PID_CIRCADIANPATHWAY	0.11	0.26	0.03	0.01	0.49	0.18
PID_P73PATHWAY	0.36	0.24	0.00	0.01	0.32	0.186
PID_CDC42_REG_PATHWAY	0.01	0.41	0.05	0.10	0.36	0.186
BIOCARTA_CASPASE_PATHWAY	0.37	0.23	0.05	0.09	0.20	0.188
PID_DELTANP63PATHWAY	0.23	0.01	0.00	0.00	0.71	0.19
PID_RAC1_REG_PATHWAY	0.18	0.34	0.03	0.31	0.10	0.192
PID_ILK_PATHWAY	0.19	0.74	0.03	0.00	0.01	0.194
REACTOME_ABACAVIR_TRANSPORT_AND_METABOLISM	0.39	0.24	0.12	0.13	0.09	0.194
REACTOME_METABOLISM_OF_NUCLEOTIDES	0.01	0.17	0.00	0.20	0.60	0.196
KEGG_GLYCOSYLPHOSPHATIDYLINOSITOL_GPI_ANCHOR_BIOSYNTHESIS	0.31	0.14	0.07	0.10	0.36	0.196
REACTOME_YAP1_AND_WWTR1_TAZ_STIMULATED_GENE_EXPRESSION	0.04	0.00	0.09	0.29	0.57	0.198
KEGG_COLORECTAL_CANCER	0.22	0.11	0.24	0.20	0.22	0.198
REACTOME_E2F_ENABLED_INHIBITION_OF_PRE_REPLICATION_COMPLEX_FORMATION	0.26	0.13	0.00	0.01	0.60	0.2
BIOCARTA_P27_PATHWAY	0.28	0.36	0.01	0.02	0.34	0.202
PID_TELOMERASEPATHWAY	0.17	0.01	0.02	0.33	0.49	0.204
REACTOME_ACTIVATION_OF_BH3_ONLY_PROTEINS	0.31	0.01	0.09	0.11	0.50	0.204
REACTOME_DOWNREGULATION_OF_TGF_BETA_RECEPTOR_SIGNALING	0.05	0.14	0.32	0.09	0.43	0.206
REACTOME_SIGNALING_BY_BMP	0.12	0.13	0.39	0.28	0.12	0.208
REACTOME_MITOTIC_G2_G2_M_PHASES	0.08	0.48	0.00	0.00	0.48	0.208
BIOCARTA_G1_PATHWAY	0.20	0.01	0.00	0.15	0.68	0.208
SIG_PIP3_SIGNALING_IN_CARDIAC_MYOCTES	0.16	0.13	0.05	0.01	0.70	0.21
BIOCARTA_HIVNEF_PATHWAY	0.41	0.22	0.10	0.12	0.20	0.21
PID_ERA_GENOMIC_PATHWAY	0.12	0.00	0.10	0.20	0.63	0.21
REACTOME_PECAM1_INTERACTIONS	0.00	0.64	0.22	0.19	0.01	0.212
PID_RHOA_REG_PATHWAY	0.07	0.22	0.11	0.63	0.04	0.214
REACTOME_SHC1_EVENTS_IN_ERBB4_SIGNALING	0.28	0.20	0.11	0.06	0.43	0.216
REACTOME_G0_AND_EARLY_G1	0.41	0.07	0.00	0.11	0.49	0.216
REACTOME_INHIBITION_OF_THE_PROTEOLYTIC_ACTIVITY_OF_APC_C_REQUIRED_FOR_THE_ONSET_OF_ANAPHASE_BY_MITOTIC_SPINDLE_CHECKPOINT_COMPONENTS	0.25	0.09	0.00	0.07	0.67	0.216
REACTOME_REGULATION_OF_THE_FANCONI_ANEMIA_PATHWAY	0.22	0.71	0.04	0.03	0.08	0.216
REACTOME_IRAK1_RECRUITS_IKK_COMPLEX	0.01	0.21	0.11	0.09	0.66	0.216
PID_FOXM1PATHWAY	0.18	0.14	0.00	0.00	0.77	0.218
REACTOME_APOPTOTIC_CLEAVAGE_OF_CELLULAR_PROTEINS	0.07	0.49	0.19	0.09	0.27	0.222
PID_IL2_PI3KPATHWAY	0.26	0.34	0.15	0.31	0.05	0.222
KEGG_PROXIMAL_TUBULE_BICARBONATE_RECLAMATION	0.12	0.54	0.21	0.09	0.15	0.222
REACTOME_SIGNALING_BY_ROBO_RECEPTOR	0.02	0.48	0.03	0.15	0.43	0.222
BIOCARTA_SKP2E2F_PATHWAY	0.01	0.10	0.01	0.00	1.00	0.224
KEGG_GLUTATHIONE_METABOLISM	0.12	0.02	0.15	0.14	0.69	0.224
REACTOME_CTLA4_INHIBITORY_SIGNALING	0.02	0.08	0.35	0.11	0.57	0.226
BIOCARTA_IL2RB_PATHWAY	0.77	0.26	0.05	0.05	0.00	0.226
BIOCARTA_PTDINS_PATHWAY	0.34	0.09	0.10	0.39	0.22	0.228
REACTOME_MITOTIC_G1_G1_S_PHASES	0.25	0.14	0.01	0.05	0.70	0.23
KEGG_PATHWAYS_IN_CANCER	0.36	0.00	0.27	0.48	0.05	0.232
BIOCARTA_EPHA4_PATHWAY	0.01	0.21	0.67	0.16	0.11	0.232
KEGG_SMALL_CELL_LUNG_CANCER	0.28	0.22	0.15	0.12	0.39	0.232
KEGG_OOCYTE_MEIOSIS	0.17	0.01	0.03	0.00	0.97	0.236
SA_FAS_SIGNALING	0.41	0.00	0.13	0.41	0.23	0.236
BIOCARTA_IL6_PATHWAY	0.12	0.20	0.32	0.43	0.11	0.236
KEGG_PROSTATE_CANCER	0.08	0.01	0.37	0.34	0.39	0.238
KEGG_TGF_BETA_SIGNALING_PATHWAY	0.18	0.21	0.56	0.15	0.09	0.238
PID_HEDGEHOG_GLIPATHWAY	0.26	0.21	0.24	0.25	0.23	0.238
PID_BARD1PATHWAY	0.18	0.39	0.13	0.14	0.36	0.24
REACTOME_MEMBRANE_BINDING_AND_TARGETTING_OF_GAG_PROTEINS	0.01	0.00	0.61	0.37	0.22	0.242
BIOCARTA_PTC1_PATHWAY	0.42	0.52	0.00	0.06	0.22	0.244
REACTOME_REGULATION_OF_HYPOXIA_INDUCIBLE_FACTOR_HIF_BY_OXYGEN	0.12	0.06	0.77	0.28	0.00	0.246
PID_PRLSIGNALINGEVENTSPATHWAY	0.32	0.37	0.03	0.06	0.46	0.248
PID_SMAD2_3NUCLEARPATHWAY	0.30	0.01	0.19	0.70	0.04	0.248
BIOCARTA_GLEEVEC_PATHWAY	0.50	0.04	0.13	0.53	0.05	0.25
BIOCARTA_TPO_PATHWAY	0.43	0.26	0.22	0.28	0.06	0.25
BIOCARTA_CARM_ER_PATHWAY	0.23	0.05	0.32	0.14	0.51	0.25
KEGG_NON_SMALL_CELL_LUNG_CANCER	0.33	0.17	0.29	0.35	0.11	0.25
REACTOME_PHOSPHORYLATION_OF_THE_APC_C	0.68	0.14	0.01	0.11	0.32	0.252
BIOCARTA_IL10_PATHWAY	0.16	0.14	0.31	0.53	0.12	0.252
REACTOME_ACTIVATION_OF_ATR_IN_RESPONSE_TO_REPLICATION_STRESS	0.36	0.22	0.00	0.00	0.69	0.254
SA_G2_AND_M_PHASES	0.36	0.36	0.01	0.06	0.48	0.254
REACTOME_FACTORS_INVOLVED_IN_MEGAKARYOCYTE_DEVELOPMENT_AND_PLATELET_PRODUCTION	0.82	0.13	0.01	0.05	0.27	0.256
PID_CERAMIDE_PATHWAY	0.12	0.06	0.25	0.18	0.67	0.256
REACTOME_IL_6_SIGNALING	0.32	0.10	0.13	0.27	0.46	0.256
BIOCARTA_BCELLSURVIVAL_PATHWAY	0.67	0.14	0.07	0.33	0.08	0.258
REACTOME_SYNTHESIS_AND_INTERCONVERSION_OF_NUCLEOTIDE_DI_AND_TRIPHOSPHATES	0.45	0.09	0.03	0.06	0.67	0.26
BIOCARTA_MCM_PATHWAY	0.12	0.36	0.01	0.09	0.72	0.26
KEGG_DILATED_CARDIOMYOPATHY	0.19	0.02	0.68	0.28	0.14	0.262
PID_IL2_1PATHWAY	0.81	0.34	0.05	0.02	0.10	0.264
KEGG_PROGESTERONE_MEDIATED_OOCYTE_MATURATION	0.80	0.21	0.04	0.12	0.16	0.266
KEGG_P53_SIGNALING_PATHWAY	0.71	0.20	0.00	0.00	0.42	0.266
PID_CASPASE_PATHWAY	0.15	0.26	0.07	0.07	0.79	0.268
PID_RAS_PATHWAY	0.22	0.55	0.37	0.15	0.07	0.272
PID_P53REGULATIONPATHWAY	0.46	0.65	0.16	0.00	0.09	0.272
REACTOME_RECRUITMENT_OF_MITOTIC_CENTROSOME_PROTEINS_AND_COMPLEXES	0.66	0.48	0.00	0.01	0.21	0.272
PID_P53DOWNSTREAMPATHWAY	0.45	0.09	0.19	0.00	0.63	0.272
