Gene Set	Class1	Class2	Class3	Average p-value
Signal1	0.00	0.00	0.00	0.0
Signal10	0.00	0.01	0.00	0.00333333333333
Mixed50	0.00	0.02	0.00	0.00666666666667
Signal2	0.00	0.01	0.01	0.00666666666667
Mixed2	0.02	0.03	0.00	0.0166666666667
Mixed10	0.00	0.06	0.00	0.02
Mixed100	0.02	0.05	0.00	0.0233333333333
Random2	0.47	0.05	0.68	0.4
Random10	0.13	0.25	0.99	0.456666666667
Random1	0.83	0.06	0.66	0.516666666667
Random50	0.91	0.76	0.47	0.713333333333
Random100	0.80	0.70	0.67	0.723333333333
Random990	1.00	1.00	1.00	1.0
Mixed990	1.00	1.00	1.00	1.0
