Gene Set	Basal	Her2	LumA	LumB	Average AUC
REACTOME_CLASS_A1_RHODOPSIN_LIKE_RECEPTORS	0.97929293	0.92909091	0.86934732	0.79650673	0.8935594725
KEGG_NEUROACTIVE_LIGAND_RECEPTOR_INTERACTION	0.98215488	0.91166667	0.87028620	0.80904882	0.8932891425
REACTOME_GPCR_LIGAND_BINDING	0.97744108	0.91984848	0.86814297	0.80613840	0.8928927325
REACTOME_SIGNALING_BY_GPCR	0.97855219	0.91424242	0.86072909	0.80253928	0.889015745
REACTOME_GPCR_DOWNSTREAM_SIGNALING	0.97905724	0.91500000	0.86384356	0.79733446	0.888808815
KEGG_CALCIUM_SIGNALING_PATHWAY	0.97488215	0.90156566	0.86498316	0.81024130	0.8879180675
REACTOME_G_ALPHA_Q_SIGNALLING_EVENTS	0.97437710	0.91015152	0.85127263	0.80406846	0.8849674275
REACTOME_GASTRIN_CREB_SIGNALLING_PATHWAY_VIA_PKC_AND_MAPK	0.97841751	0.90964646	0.84625745	0.80128176	0.883900795
REACTOME_G_ALPHA_I_SIGNALLING_EVENTS	0.97858586	0.89808081	0.85863118	0.79715080	0.8831121625
REACTOME_AXON_GUIDANCE	0.97929293	0.92550505	0.85861823	0.76419753	0.881903435
KEGG_BLADDER_CANCER	0.96848485	0.90661616	0.83833204	0.81185976	0.8813232025
REACTOME_DEVELOPMENTAL_BIOLOGY	0.97629630	0.91868687	0.85839161	0.76794205	0.8803292075
KEGG_NON_SMALL_CELL_LUNG_CANCER	0.95717172	0.90944444	0.84007382	0.81393098	0.88015524
REACTOME_PEPTIDE_LIGAND_BINDING_RECEPTORS	0.97690236	0.89025253	0.86092334	0.79179293	0.87996779
KEGG_PATHWAYS_IN_CANCER	0.97707071	0.88065657	0.85685703	0.79835859	0.878235725
KEGG_CYTOKINE_CYTOKINE_RECEPTOR_INTERACTION	0.97713805	0.90424242	0.85977078	0.77160494	0.8781890475
KEGG_CELL_ADHESION_MOLECULES_CAMS	0.96707071	0.88045455	0.87652163	0.78828563	0.87808313
REACTOME_HEMOSTASIS	0.97468013	0.88904040	0.85364007	0.79263468	0.87749882
REACTOME_TRANSMEMBRANE_TRANSPORT_OF_SMALL_MOLECULES	0.96875421	0.87853535	0.86290469	0.79354658	0.8759352075
REACTOME_ADAPTIVE_IMMUNE_SYSTEM	0.97562290	0.85883838	0.85372960	0.81200898	0.875049965
REACTOME_IMMUNE_SYSTEM	0.97777778	0.86207071	0.84880212	0.80437710	0.8732569275
REACTOME_METABOLISM_OF_LIPIDS_AND_LIPOPROTEINS	0.96888889	0.87166667	0.84733877	0.80130471	0.87229976
KEGG_FOCAL_ADHESION	0.97717172	0.88732323	0.82115385	0.79900705	0.8711639625
KEGG_VIRAL_MYOCARDITIS	0.97414141	0.86121212	0.84957265	0.79361672	0.869635725
REACTOME_G_ALPHA_S_SIGNALLING_EVENTS	0.97515152	0.86383838	0.84838772	0.78493266	0.86807757
REACTOME_NEURONAL_SYSTEM	0.96942761	0.83696970	0.86107874	0.80469978	0.8680439575
KEGG_DRUG_METABOLISM_CYTOCHROME_P450	0.97508418	0.86747475	0.85187128	0.77695006	0.8678450675
REACTOME_BIOLOGICAL_OXIDATIONS	0.97595960	0.85267677	0.86165501	0.78065248	0.867735965
REACTOME_SEMAPHORIN_INTERACTIONS	0.96326599	0.93494949	0.80645558	0.75744949	0.8655301375
REACTOME_SIGNALING_BY_PDGF	0.96986532	0.88424242	0.81052836	0.79386925	0.8646263375
KEGG_PROSTATE_CANCER	0.96101010	0.86257576	0.83671329	0.79551066	0.8639524525
REACTOME_METABOLISM_OF_AMINO_ACIDS_AND_DERIVATIVES	0.97023569	0.88272727	0.83056851	0.77208703	0.863904625
