Gene Set	Basal	Her2	LumA	LumB	Normal	Average AUC
KEGG_PATHWAYS_IN_CANCER	0.99393939	0.96767677	0.95309338	0.91908936	0.98686869	0.964133518
PID_P53DOWNSTREAMPATHWAY	0.99363636	0.95327518	0.95310459	0.93327739	0.97912458	0.96248362
PID_DELTANP63PATHWAY	0.99257310	0.93795531	0.96398210	0.93705051	0.97912458	0.96213712
KEGG_OOCYTE_MEIOSIS	0.99382775	0.96408020	0.96572568	0.91708159	0.96599327	0.961341698
REACTOME_HEMOSTASIS	0.99404040	0.95540251	0.95339970	0.91042735	0.98619529	0.95989305
KEGG_PROSTATE_CANCER	0.99333333	0.97021732	0.93628897	0.90774825	0.98922559	0.959362692
KEGG_PANCREATIC_CANCER	0.99291334	0.96300888	0.94016016	0.91037451	0.98989899	0.959271176
KEGG_PURINE_METABOLISM	0.99414141	0.95769819	0.95347275	0.90514761	0.98484848	0.959061688
REACTOME_AXON_GUIDANCE	0.99383838	0.96026936	0.94606721	0.90280031	0.98989899	0.95857485
PID_P73PATHWAY	0.99381712	0.93617998	0.96222820	0.92109713	0.97407407	0.9574793
KEGG_REGULATION_OF_ACTIN_CYTOSKELETON	0.99404040	0.96711050	0.93558247	0.90128671	0.98653199	0.956910414
REACTOME_CELL_CYCLE	0.99276449	0.94716866	0.95979406	0.90984714	0.97138047	0.956190964
REACTOME_DEVELOPMENTAL_BIOLOGY	0.99404040	0.96100398	0.94020875	0.89797980	0.98585859	0.955818304
KEGG_PROGESTERONE_MEDIATED_OOCYTE_MATURATION	0.99140351	0.94204163	0.95458844	0.90926807	0.97878788	0.955217906
REACTOME_IMMUNE_SYSTEM	0.99373737	0.94464340	0.94948467	0.90366744	0.98350168	0.955006912
PID_TAP63PATHWAY	0.99262626	0.95878482	0.93112625	0.90966589	0.97811448	0.95406354
REACTOME_CELL_CYCLE_MITOTIC	0.99308878	0.93639425	0.95780936	0.90743124	0.97508418	0.953961562
REACTOME_ADAPTIVE_IMMUNE_SYSTEM	0.99424242	0.94277625	0.95137779	0.89878477	0.98249158	0.953934562
KEGG_FOCAL_ADHESION	0.99322701	0.95965718	0.93050673	0.89356333	0.99090909	0.953572668
REACTOME_METABOLISM_OF_AMINO_ACIDS_AND_DERIVATIVES	0.99392876	0.96958984	0.92658967	0.89033100	0.98619529	0.953326912
KEGG_MAPK_SIGNALING_PATHWAY	0.99414141	0.96302418	0.93322214	0.89110053	0.98383838	0.953065328
REACTOME_MITOTIC_G1_G1_S_PHASES	0.99371611	0.94473523	0.95405863	0.89706605	0.97441077	0.952797358
REACTOME_METABOLISM_OF_CARBOHYDRATES	0.99444444	0.93917968	0.94313056	0.90017716	0.98686869	0.952760106
KEGG_SMALL_CELL_LUNG_CANCER	0.99311536	0.92865014	0.94889412	0.90097902	0.99057239	0.952442206
REACTOME_METABOLISM_OF_LIPIDS_AND_LIPOPROTEINS	0.99434343	0.96328436	0.93213542	0.88469930	0.98383838	0.951660178
REACTOME_TRANSMEMBRANE_TRANSPORT_OF_SMALL_MOLECULES	0.99383838	0.97011019	0.93091133	0.88435120	0.97878788	0.951599796
REACTOME_APOPTOSIS	0.99381712	0.95074992	0.94157112	0.88651748	0.98080808	0.950692744
PID_FOXM1PATHWAY	0.99181818	0.90653505	0.95881292	0.93230148	0.96363636	0.950620798
KEGG_CELL_CYCLE	0.99279107	0.94055709	0.95713565	0.89686930	0.96531987	0.950534596
REACTOME_NEURONAL_SYSTEM	0.99281765	0.95342822	0.92607481	0.89894328	0.97878788	0.950010368
REACTOME_SIGNALLING_BY_NGF	0.99393939	0.95979492	0.93363889	0.88012743	0.98148148	0.949796422
KEGG_P53_SIGNALING_PATHWAY	0.99138224	0.92381390	0.95329241	0.91551826	0.96430976	0.949663314
KEGG_UBIQUITIN_MEDIATED_PROTEOLYSIS	0.99081340	0.92907867	0.95236453	0.89589433	0.97912458	0.949455102
REACTOME_CELL_CYCLE_CHECKPOINTS	0.99338650	0.94064891	0.95527056	0.89595027	0.96060606	0.94917246
KEGG_NON_SMALL_CELL_LUNG_CANCER	0.99130781	0.94520967	0.93135518	0.89230458	0.98484848	0.949005144
REACTOME_SIGNALING_BY_RHO_GTPASES	0.99353535	0.93229262	0.95146469	0.88925563	0.97710438	0.948730534
REACTOME_ANTIGEN_PROCESSING_UBIQUITINATION_PROTEASOME_DEGRADATION	0.99331207	0.94363330	0.94009475	0.88727461	0.97777778	0.948418502
KEGG_GLIOMA	0.99202020	0.94501071	0.93410516	0.89147446	0.97777778	0.948077662
KEGG_CHRONIC_MYELOID_LEUKEMIA	0.99272727	0.94752066	0.92943294	0.88067133	0.98888889	0.947848218
KEGG_NEUROTROPHIN_SIGNALING_PATHWAY	0.99382243	0.95038261	0.92961997	0.88160062	0.98350168	0.947785462
REACTOME_SLC_MEDIATED_TRANSMEMBRANE_TRANSPORT	0.99372674	0.95067340	0.92907801	0.88264491	0.98249158	0.947722928
KEGG_COLORECTAL_CANCER	0.99108985	0.93292011	0.93535447	0.89233877	0.98653199	0.947647038
REACTOME_CLASS_I_MHC_MEDIATED_ANTIGEN_PROCESSING_PRESENTATION	0.99372142	0.94115396	0.93911268	0.88450350	0.97878788	0.947455888
REACTOME_DNA_REPLICATION	0.99228070	0.92436486	0.95322046	0.89408858	0.97070707	0.946932334
KEGG_DILATED_CARDIOMYOPATHY	0.99382243	0.94214876	0.92178118	0.89421911	0.98249158	0.946892612
PID_ATF2_PATHWAY	0.99151515	0.93610346	0.93263626	0.90140482	0.96969697	0.946271332
PID_MYC_REPRESSPATHWAY	0.99272196	0.95172942	0.92593901	0.87809169	0.98181818	0.946060052
REACTOME_G1_S_TRANSITION	0.99371611	0.93484848	0.94820172	0.88906294	0.96363636	0.945893122
