Gene Set	p-value
BIOCARTA_NEUROTRANSMITTERS_PATHWAY	0.82
REACTOME_IRAK2_MEDIATED_ACTIVATION_OF_TAK1_COMPLEX_UPON_TLR7_8_OR_9_STIMULATION	0.82
REACTOME_APOBEC3G_MEDIATED_RESISTANCE_TO_HIV1_INFECTION	0.82
REACTOME_BINDING_AND_ENTRY_OF_HIV_VIRION	0.82
REACTOME_OPSINS	0.82
REACTOME_DIGESTION_OF_DIETARY_CARBOHYDRATE	0.82
REACTOME_REGULATION_OF_THE_FANCONI_ANEMIA_PATHWAY	0.82
REACTOME_P75NTR_RECRUITS_SIGNALLING_COMPLEXES	0.95
PID_RANBP2PATHWAY	0.95
REACTOME_GLYCOPROTEIN_HORMONES	0.95
REACTOME_E2F_ENABLED_INHIBITION_OF_PRE_REPLICATION_COMPLEX_FORMATION	0.95
BIOCARTA_KREB_PATHWAY	0.95
REACTOME_ORGANIC_CATION_ANION_ZWITTERION_TRANSPORT	0.95
REACTOME_CDC6_ASSOCIATION_WITH_THE_ORC_ORIGIN_COMPLEX	0.95
REACTOME_SIGNALING_BY_NOTCH3	0.95
KEGG_FOLATE_BIOSYNTHESIS	0.95
ST_PAC1_RECEPTOR_PATHWAY	0.95
REACTOME_REGULATED_PROTEOLYSIS_OF_P75NTR	0.95
ST_INTERLEUKIN_13_PATHWAY	0.95
BIOCARTA_LYM_PATHWAY	0.95
REACTOME_GLUCURONIDATION	0.95
REACTOME_RECRUITMENT_OF_NUMA_TO_MITOTIC_CENTROSOMES	0.95
REACTOME_SYNTHESIS_OF_PE	0.95
MODULE_560	0.95
KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_BIOSYNTHESIS	0.95
REACTOME_REGULATION_OF_INSULIN_SECRETION_BY_ACETYLCHOLINE	0.95
KEGG_LIMONENE_AND_PINENE_DEGRADATION	0.95
REACTOME_TANDEM_PORE_DOMAIN_POTASSIUM_CHANNELS	0.95
PID_P38GAMMADELTAPATHWAY	0.95
MODULE_514	0.95
REACTOME_INTEGRATION_OF_PROVIRUS	0.95
REACTOME_COPI_MEDIATED_TRANSPORT	0.95
REACTOME_HIGHLY_CALCIUM_PERMEABLE_POSTSYNAPTIC_NICOTINIC_ACETYLCHOLINE_RECEPTORS	0.95
BIOCARTA_EIF2_PATHWAY	0.95
MODULE_540	0.95
BIOCARTA_DNAFRAGMENT_PATHWAY	0.95
SA_PROGRAMMED_CELL_DEATH	0.95
MODULE_89	0.95
REACTOME_PYRIMIDINE_CATABOLISM	0.95
MODULE_377	0.95
REACTOME_SIGNALING_BY_NOTCH4	0.95
REACTOME_NFKB_ACTIVATION_THROUGH_FADD_RIP1_PATHWAY_MEDIATED_BY_CASPASE_8_AND10	0.95
MODULE_293	0.95
REACTOME_FACILITATIVE_NA_INDEPENDENT_GLUCOSE_TRANSPORTERS	0.95
