Gene Set	Basal	Her2	LumA	LumB	Normal	Average p-value
REACTOME_PI_METABOLISM	0.01	0.15	0.02	0.06	0.02	0.052
PID_TRAIL_PATHWAY	0.01	0.18	0.01	0.10	0.01	0.062
KEGG_PHOSPHATIDYLINOSITOL_SIGNALING_SYSTEM	0.00	0.30	0.00	0.03	0.00	0.066
BIOCARTA_HER2_PATHWAY	0.00	0.00	0.00	0.00	0.34	0.068
PID_EPHRINBREVPATHWAY	0.01	0.31	0.02	0.00	0.02	0.072
BIOCARTA_IGF1_PATHWAY	0.00	0.03	0.00	0.00	0.34	0.074
ST_INTERLEUKIN_4_PATHWAY	0.01	0.14	0.02	0.24	0.01	0.084
BIOCARTA_PDGF_PATHWAY	0.01	0.13	0.01	0.30	0.01	0.092
REACTOME_IL_3_5_AND_GM_CSF_SIGNALING	0.01	0.01	0.02	0.00	0.45	0.098
PID_NFKAPPABATYPICALPATHWAY	0.00	0.15	0.00	0.00	0.34	0.098
PID_IL2_STAT5PATHWAY	0.01	0.05	0.01	0.00	0.44	0.102
SA_PTEN_PATHWAY	0.00	0.05	0.00	0.48	0.00	0.106
BIOCARTA_TPO_PATHWAY	0.00	0.22	0.00	0.00	0.34	0.112
PID_TRKRPATHWAY	0.01	0.01	0.01	0.00	0.53	0.112
BIOCARTA_CXCR4_PATHWAY	0.00	0.06	0.00	0.51	0.00	0.114
KEGG_CELL_CYCLE	0.00	0.00	0.00	0.38	0.20	0.116
REACTOME_TIE2_SIGNALING	0.00	0.24	0.00	0.00	0.34	0.116
REACTOME_GASTRIN_CREB_SIGNALLING_PATHWAY_VIA_PKC_AND_MAPK	0.02	0.38	0.02	0.11	0.07	0.12
BIOCARTA_COMP_PATHWAY	0.40	0.13	0.05	0.02	0.02	0.124
REACTOME_ABC_FAMILY_PROTEINS_MEDIATED_TRANSPORT	0.23	0.22	0.09	0.06	0.03	0.126
KEGG_NEUROTROPHIN_SIGNALING_PATHWAY	0.00	0.00	0.00	0.20	0.44	0.128
SIG_CD40PATHWAYMAP	0.01	0.16	0.01	0.33	0.14	0.13
PID_IL1PATHWAY	0.01	0.18	0.02	0.00	0.45	0.132
PID_RET_PATHWAY	0.01	0.03	0.02	0.16	0.44	0.132
PID_NEPHRIN_NEPH1_PATHWAY	0.01	0.34	0.01	0.29	0.02	0.134
REACTOME_CELL_CYCLE	0.01	0.01	0.02	0.06	0.59	0.138
BIOCARTA_LAIR_PATHWAY	0.15	0.42	0.02	0.09	0.02	0.14
BIOCARTA_EGF_PATHWAY	0.01	0.21	0.01	0.47	0.01	0.142
REACTOME_PI3K_CASCADE	0.01	0.12	0.01	0.06	0.53	0.146
ST_JNK_MAPK_PATHWAY	0.00	0.00	0.00	0.37	0.37	0.148
PID_ER_NONGENOMIC_PATHWAY	0.01	0.27	0.01	0.01	0.45	0.15
