Gene Set	Basal	Her2	LumA	LumB	Normal	Average p-value
KEGG_PANCREATIC_CANCER	0.22	0.00	0.15	0.04	0.00	0.082
BIOCARTA_PTC1_PATHWAY	0.08	0.18	0.00	0.00	0.17	0.086
BIOCARTA_CELLCYCLE_PATHWAY	0.27	0.19	0.00	0.00	0.14	0.12
REACTOME_ASSOCIATION_OF_LICENSING_FACTORS_WITH_THE_PRE_REPLICATIVE_COMPLEX	0.09	0.04	0.00	0.09	0.39	0.122
PID_DELTANP63PATHWAY	0.16	0.05	0.00	0.00	0.40	0.122
BIOCARTA_SKP2E2F_PATHWAY	0.35	0.10	0.03	0.02	0.17	0.134
BIOCARTA_RANMS_PATHWAY	0.32	0.14	0.00	0.06	0.19	0.142
REACTOME_CDC6_ASSOCIATION_WITH_THE_ORC_ORIGIN_COMPLEX	0.06	0.00	0.00	0.00	0.70	0.152
ST_INTERFERON_GAMMA_PATHWAY	0.44	0.07	0.13	0.08	0.11	0.166
REACTOME_APC_CDC20_MEDIATED_DEGRADATION_OF_NEK2A	0.49	0.19	0.00	0.10	0.08	0.172
KEGG_PROSTATE_CANCER	0.38	0.00	0.38	0.08	0.03	0.174
PID_HEDGEHOG_2PATHWAY	0.18	0.18	0.16	0.11	0.24	0.174
REACTOME_GROWTH_HORMONE_RECEPTOR_SIGNALING	0.15	0.05	0.25	0.26	0.19	0.18
SIG_CHEMOTAXIS	0.28	0.44	0.04	0.15	0.00	0.182
REACTOME_IL_6_SIGNALING	0.16	0.04	0.13	0.20	0.38	0.182
BIOCARTA_P35ALZHEIMERS_PATHWAY	0.14	0.01	0.23	0.40	0.19	0.194
REACTOME_GRB2_EVENTS_IN_ERBB2_SIGNALING	0.08	0.05	0.54	0.20	0.12	0.198
ST_ADRENERGIC	0.03	0.10	0.63	0.26	0.01	0.206
BIOCARTA_LEPTIN_PATHWAY	0.32	0.01	0.41	0.14	0.20	0.216
ST_MYOCYTE_AD_PATHWAY	0.03	0.11	0.25	0.12	0.58	0.218
REACTOME_KINESINS	0.42	0.49	0.00	0.07	0.11	0.218
PID_MYC_REPRESSPATHWAY	0.25	0.03	0.60	0.20	0.04	0.224
REACTOME_INHIBITION_OF_THE_PROTEOLYTIC_ACTIVITY_OF_APC_C_REQUIRED_FOR_THE_ONSET_OF_ANAPHASE_BY_MITOTIC_SPINDLE_CHECKPOINT_COMPONENTS	0.65	0.24	0.01	0.08	0.17	0.23
PID_ERA_GENOMIC_PATHWAY	0.02	0.14	0.23	0.17	0.60	0.232
KEGG_BLADDER_CANCER	0.70	0.00	0.27	0.24	0.01	0.244
REACTOME_G0_AND_EARLY_G1	0.74	0.19	0.00	0.11	0.20	0.248
PID_ERBB_NETWORK_PATHWAY	0.07	0.05	0.87	0.20	0.07	0.252
PID_FOXM1PATHWAY	0.67	0.19	0.00	0.00	0.40	0.252
PID_ECADHERIN_STABILIZATION_PATHWAY	0.03	0.01	0.58	0.28	0.38	0.256
PID_P73PATHWAY	0.22	0.32	0.00	0.01	0.75	0.26
REACTOME_INTEGRATION_OF_PROVIRUS	0.19	0.59	0.21	0.26	0.05	0.26
REACTOME_G2_M_DNA_DAMAGE_CHECKPOINT	0.17	0.42	0.02	0.01	0.70	0.264
REACTOME_E2F_MEDIATED_REGULATION_OF_DNA_REPLICATION	0.42	0.19	0.00	0.01	0.70	0.264
KEGG_SELENOAMINO_ACID_METABOLISM	0.51	0.12	0.47	0.01	0.22	0.266
REACTOME_KERATAN_SULFATE_BIOSYNTHESIS	0.19	0.26	0.43	0.32	0.14	0.268
REACTOME_REGULATION_OF_MITOTIC_CELL_CYCLE	0.90	0.16	0.07	0.17	0.04	0.268
PID_HES_HEYPATHWAY	0.05	0.00	0.35	0.19	0.76	0.27
REACTOME_PYRIMIDINE_METABOLISM	0.49	0.31	0.06	0.35	0.15	0.272
REACTOME_FANCONI_ANEMIA_PATHWAY	0.51	0.60	0.01	0.07	0.17	0.272
PID_TAP63PATHWAY	0.79	0.01	0.11	0.00	0.46	0.274
KEGG_GLIOMA	0.64	0.18	0.33	0.21	0.02	0.276
BIOCARTA_ETS_PATHWAY	0.65	0.17	0.06	0.33	0.17	0.276
KEGG_PROGESTERONE_MEDIATED_OOCYTE_MATURATION	0.94	0.25	0.00	0.08	0.13	0.28
REACTOME_G1_S_SPECIFIC_TRANSCRIPTION	0.90	0.24	0.00	0.07	0.19	0.28
KEGG_PURINE_METABOLISM	0.78	0.17	0.05	0.39	0.02	0.282
PID_ATF2_PATHWAY	0.65	0.13	0.33	0.05	0.25	0.282
