Gene Set	p-value
REACTOME_APOBEC3G_MEDIATED_RESISTANCE_TO_HIV1_INFECTION	0.47
PID_RANBP2PATHWAY	0.58
REACTOME_E2F_ENABLED_INHIBITION_OF_PRE_REPLICATION_COMPLEX_FORMATION	0.58
BIOCARTA_KREB_PATHWAY	0.58
REACTOME_REGULATED_PROTEOLYSIS_OF_P75NTR	0.58
BIOCARTA_LYM_PATHWAY	0.58
REACTOME_RECRUITMENT_OF_NUMA_TO_MITOTIC_CENTROSOMES	0.58
REACTOME_SYNTHESIS_OF_PE	0.58
REACTOME_ETHANOL_OXIDATION	0.58
REACTOME_INTEGRATION_OF_PROVIRUS	0.58
REACTOME_COPI_MEDIATED_TRANSPORT	0.58
REACTOME_HIGHLY_CALCIUM_PERMEABLE_POSTSYNAPTIC_NICOTINIC_ACETYLCHOLINE_RECEPTORS	0.58
MODULE_540	0.58
BIOCARTA_DNAFRAGMENT_PATHWAY	0.58
SA_PROGRAMMED_CELL_DEATH	0.58
MODULE_377	0.58
REACTOME_BASE_FREE_SUGAR_PHOSPHATE_REMOVAL_VIA_THE_SINGLE_NUCLEOTIDE_REPLACEMENT_PATHWAY	0.58
REACTOME_ACTIVATION_OF_CHAPERONE_GENES_BY_ATF6_ALPHA	0.58
BIOCARTA_SKP2E2F_PATHWAY	0.58
REACTOME_IRAK2_MEDIATED_ACTIVATION_OF_TAK1_COMPLEX_UPON_TLR7_8_OR_9_STIMULATION	0.58
REACTOME_REGULATION_OF_RHEB_GTPASE_ACTIVITY_BY_AMPK	0.58
REACTOME_SYNTHESIS_OF_BILE_ACIDS_AND_BILE_SALTS_VIA_24_HYDROXYCHOLESTEROL	0.58
BIOCARTA_RNA_PATHWAY	0.58
REACTOME_ACTIVATION_OF_THE_AP1_FAMILY_OF_TRANSCRIPTION_FACTORS	0.58
MODULE_264	0.58
REACTOME_ADENYLATE_CYCLASE_ACTIVATING_PATHWAY	0.58
REACTOME_HORMONE_LIGAND_BINDING_RECEPTORS	0.58
REACTOME_APOPTOTIC_CLEAVAGE_OF_CELL_ADHESION_PROTEINS	0.58
REACTOME_G2_M_DNA_DAMAGE_CHECKPOINT	0.58
REACTOME_REMOVAL_OF_THE_FLAP_INTERMEDIATE_FROM_THE_C_STRAND	0.58
ST_INTERFERON_GAMMA_PATHWAY	0.58
BIOCARTA_RANMS_PATHWAY	0.58
BIOCARTA_GLYCOLYSIS_PATHWAY	0.58
