Gene Set	Basal	Her2	LumA	LumB	Average AUC
REACTOME_CELL_CYCLE	0.97469136	0.94855219	0.94743283	0.89030692	0.940245825
REACTOME_CELL_CYCLE_MITOTIC	0.97838384	0.94676768	0.94802571	0.88666031	0.939959385
REACTOME_HEMOSTASIS	0.98545455	0.95424242	0.93954366	0.88034188	0.9398956275
KEGG_PATHWAYS_IN_CANCER	0.98043771	0.96471380	0.93353695	0.87243590	0.93778109
REACTOME_MITOTIC_G1_G1_S_PHASES	0.98056117	0.94400673	0.94312493	0.87731158	0.9362511025
KEGG_PURINE_METABOLISM	0.98177329	0.94454545	0.94236835	0.87597047	0.93616439
REACTOME_MITOTIC_M_M_G1_PHASES	0.97622896	0.94090909	0.94189324	0.88423983	0.93581778
KEGG_OOCYTE_MEIOSIS	0.98358025	0.94316498	0.93527768	0.87999223	0.935503785
REACTOME_IMMUNE_SYSTEM	0.98181818	0.94814815	0.93163253	0.87675473	0.9345883975
REACTOME_DNA_REPLICATION	0.97283951	0.93787879	0.94173753	0.88485810	0.9343284825
PID_P53DOWNSTREAMPATHWAY	0.98031425	0.93727273	0.92843720	0.89063067	0.9341637125
REACTOME_DEVELOPMENTAL_BIOLOGY	0.98213244	0.94808081	0.93594243	0.86937969	0.9338838425
PID_DELTANP63PATHWAY	0.97447811	0.92265993	0.93897074	0.89826391	0.9335931725
REACTOME_AXON_GUIDANCE	0.98177329	0.94720539	0.93623787	0.86869334	0.9334774725
REACTOME_G1_S_TRANSITION	0.97928171	0.93265993	0.94123049	0.87643098	0.9324007775
REACTOME_SIGNALING_BY_RHO_GTPASES	0.98326599	0.93205387	0.94100291	0.87308987	0.93235316
REACTOME_ADAPTIVE_IMMUNE_SYSTEM	0.98215488	0.94397306	0.92700523	0.87595183	0.93227125
REACTOME_CELL_CYCLE_CHECKPOINTS	0.97602694	0.93872054	0.94216872	0.86921782	0.931533505
REACTOME_SIGNALLING_BY_NGF	0.98241302	0.95212121	0.91702799	0.86777389	0.9298340275
REACTOME_S_PHASE	0.97430976	0.92841751	0.93620993	0.87684538	0.928945645
REACTOME_FACTORS_INVOLVED_IN_MEGAKARYOCYTE_DEVELOPMENT_AND_PLATELET_PRODUCTION	0.97607183	0.92969697	0.93954965	0.87038980	0.9289270625
PID_P73PATHWAY	0.97861953	0.90993266	0.94283148	0.88191531	0.928324745
REACTOME_APOPTOSIS	0.97976431	0.93723906	0.92923504	0.86289174	0.9272825375
PID_PLK1_PATHWAY	0.97679012	0.91858586	0.94412305	0.86528749	0.92619663
KEGG_CELL_CYCLE	0.97841751	0.92538721	0.94291532	0.85668221	0.9258505625
REACTOME_TRANSMEMBRANE_TRANSPORT_OF_SMALL_MOLECULES	0.98017957	0.95191919	0.91114704	0.85934991	0.9256489275
KEGG_PANCREATIC_CANCER	0.97750842	0.94774411	0.92412864	0.85181300	0.9252985425
PID_ATR_PATHWAY	0.97543210	0.91959596	0.94828522	0.85784123	0.9252886275
KEGG_P53_SIGNALING_PATHWAY	0.97378227	0.90208754	0.94296922	0.88223906	0.9252695225
PID_TAP63PATHWAY	0.97677890	0.93134680	0.91165010	0.87775835	0.9243835375
REACTOME_SIGNALING_BY_NOTCH	0.98380471	0.92713805	0.92010021	0.86647889	0.924380465
REACTOME_METABOLISM_OF_LIPIDS_AND_LIPOPROTEINS	0.98343434	0.95276094	0.91145247	0.84846542	0.9240282925
SIG_CHEMOTAXIS	0.97964085	0.90457912	0.92700944	0.88169516	0.9232311425
REACTOME_GENERIC_TRANSCRIPTION_PATHWAY	0.98646465	0.94323232	0.91553679	0.84706682	0.923075145
REACTOME_METABOLISM_OF_CARBOHYDRATES	0.97680135	0.93148148	0.92054537	0.86281404	0.92291056
KEGG_UBIQUITIN_MEDIATED_PROTEOLYSIS	0.97961841	0.93161616	0.92574161	0.85327635	0.9225631325
REACTOME_SIGNALING_BY_FGFR_IN_DISEASE	0.97483726	0.95774411	0.91297161	0.84367961	0.9223081475
REACTOME_METABOLISM_OF_PROTEINS	0.98051627	0.92818182	0.92944065	0.84941725	0.9218889975
KEGG_PROSTATE_CANCER	0.98351291	0.94228956	0.91894638	0.84267029	0.921854785
KEGG_PYRIMIDINE_METABOLISM	0.98070707	0.91178451	0.93344113	0.86092249	0.9217138
KEGG_REGULATION_OF_ACTIN_CYTOSKELETON	0.97975309	0.93986532	0.92299677	0.84349262	0.92152695
REACTOME_SYNTHESIS_OF_DNA	0.97134680	0.92003367	0.92964427	0.86409138	0.92127903
KEGG_MAPK_SIGNALING_PATHWAY	0.98127946	0.94390572	0.91252246	0.84729266	0.921250075
PID_RB_1PATHWAY	0.98258137	0.90309764	0.92727273	0.87145091	0.9211006625
REACTOME_HIV_INFECTION	0.98193042	0.93451178	0.91834351	0.84923595	0.921005415
REACTOME_M_G1_TRANSITION	0.97319865	0.91437710	0.92957640	0.86508029	0.92055811
REACTOME_REGULATION_OF_MITOTIC_CELL_CYCLE	0.97883277	0.92569024	0.92825488	0.84877622	0.9203885275
KEGG_CHEMOKINE_SIGNALING_PATHWAY	0.98148148	0.93774411	0.90773346	0.85455840	0.9203793625
PID_TELOMERASEPATHWAY	0.97905724	0.93124579	0.93219747	0.83638954	0.91972251
REACTOME_SIGNALING_BY_GPCR	0.98117845	0.94343434	0.91249850	0.84145829	0.919642395
REACTOME_PHOSPHOLIPID_METABOLISM	0.98188552	0.93424242	0.91541103	0.84675602	0.9195737475
REACTOME_SIGNALING_BY_FGFR	0.97663300	0.94787879	0.91072406	0.84246420	0.9194250125
REACTOME_ANTIGEN_PROCESSING_UBIQUITINATION_PROTEASOME_DEGRADATION	0.97861953	0.94023569	0.91505969	0.84335664	0.9193178875
REACTOME_MITOTIC_PROMETAPHASE	0.96699214	0.90791246	0.93796463	0.86402486	0.9192235225
KEGG_ENDOCYTOSIS	0.98024691	0.94299663	0.90675131	0.84679762	0.9191981175
REACTOME_MITOTIC_G2_G2_M_PHASES	0.97885522	0.89023569	0.93500818	0.87152685	0.918906485
REACTOME_METABOLISM_OF_RNA	0.98203143	0.90693603	0.91831557	0.86828542	0.9188921125
KEGG_SMALL_CELL_LUNG_CANCER	0.97867565	0.91838384	0.92366950	0.85475265	0.91887041
KEGG_PROGESTERONE_MEDIATED_OOCYTE_MATURATION	0.97656566	0.91952862	0.93023117	0.84813520	0.9186151625
PID_ERA_GENOMIC_PATHWAY	0.98384961	0.93659933	0.91836148	0.83488714	0.91842439
REACTOME_NGF_SIGNALLING_VIA_TRKA_FROM_THE_PLASMA_MEMBRANE	0.97612795	0.94424242	0.90428395	0.84892515	0.9183948675
PID_E2F_PATHWAY	0.97301908	0.90797980	0.94113666	0.85034318	0.91811968
PID_FOXM1PATHWAY	0.97626263	0.89639731	0.93912844	0.85977078	0.91788979
REACTOME_METABOLISM_OF_AMINO_ACIDS_AND_DERIVATIVES	0.97690236	0.95292929	0.90106400	0.84057161	0.917866815
REACTOME_APC_C_CDC20_MEDIATED_DEGRADATION_OF_MITOTIC_PROTEINS	0.97924804	0.91858586	0.92416856	0.84866615	0.9176671525
PID_MYC_REPRESSPATHWAY	0.98421998	0.94676768	0.89891205	0.83933566	0.9173088425
KEGG_INSULIN_SIGNALING_PATHWAY	0.97922559	0.93252525	0.90092692	0.85516058	0.916959585
KEGG_FOCAL_ADHESION	0.97950617	0.93575758	0.91000918	0.84178969	0.916765655
REACTOME_SIGNALING_BY_ERBB4	0.97647587	0.93912458	0.91070787	0.83993784	0.91656154
KEGG_DILATED_CARDIOMYOPATHY	0.97951728	0.94471380	0.89504931	0.84691790	0.9165495725
REACTOME_DOWNSTREAM_SIGNAL_TRANSDUCTION	0.97535354	0.94084175	0.91022478	0.83956229	0.91649559
REACTOME_TOLL_RECEPTOR_CASCADES	0.98257015	0.91915825	0.91334292	0.85003885	0.9162775425
PID_FANCONI_PATHWAY	0.97327722	0.90228956	0.94096698	0.84845247	0.9162465575
REACTOME_CLASS_I_MHC_MEDIATED_ANTIGEN_PROCESSING_PRESENTATION	0.98162738	0.93202020	0.91366830	0.83659674	0.915978155
REACTOME_ACTIVATION_OF_ATR_IN_RESPONSE_TO_REPLICATION_STRESS	0.97023569	0.90387205	0.94774624	0.84064362	0.9156244
REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM	0.98002245	0.91962963	0.91857708	0.84398354	0.915553175
PID_HES_HEYPATHWAY	0.98000000	0.91993266	0.90319200	0.85903263	0.9155393225
