Gene Set	Basal	Her2	LumA	LumB	Normal	Average AUC
REACTOME_HEMOSTASIS	0.98585994	0.94495639	0.93443549	0.86329028	0.85353535	0.91641549
KEGG_PURINE_METABOLISM	0.98126765	0.93188217	0.92902769	0.85292921	0.88103255	0.915227854
PID_P73PATHWAY	0.98107758	0.89250202	0.92972560	0.87121310	0.86139169	0.907181998
REACTOME_ADAPTIVE_IMMUNE_SYSTEM	0.98448192	0.94665958	0.92400135	0.86920893	0.80976431	0.906823218
KEGG_PATHWAYS_IN_CANCER	0.98255743	0.96156497	0.92323382	0.85343990	0.81144781	0.906448786
PID_MYC_ACTIVPATHWAY	0.98025959	0.88713647	0.92244359	0.84361133	0.89337823	0.905365842
REACTOME_CELL_SURFACE_INTERACTIONS_AT_THE_VASCULAR_WALL	0.97914291	0.92297241	0.87648800	0.80776405	0.93602694	0.904478862
KEGG_PYRIMIDINE_METABOLISM	0.98217389	0.89343730	0.93034123	0.85851387	0.85578002	0.904049262
KEGG_RENAL_CELL_CARCINOMA	0.98118619	0.92297241	0.85754665	0.79931526	0.95791246	0.903786594
KEGG_TGF_BETA_SIGNALING_PATHWAY	0.98321929	0.91838463	0.89185979	0.82459765	0.89898990	0.903410252
KEGG_ENDOCYTOSIS	0.98108097	0.93908874	0.88878647	0.82605380	0.88159371	0.903320738
REACTOME_SIGNALING_BY_NOTCH	0.98464484	0.90267194	0.90604873	0.84138716	0.87766554	0.902483642
PID_P53REGULATIONPATHWAY	0.97848105	0.88862307	0.91647104	0.84964131	0.87822671	0.902288636
PID_FOXOPATHWAY	0.97223096	0.90276055	0.91181121	0.84271533	0.87710438	0.901324486
PID_E2F_PATHWAY	0.97384463	0.90248847	0.93759076	0.84491645	0.84231201	0.900230464
KEGG_FOCAL_ADHESION	0.98194309	0.92053084	0.89703195	0.82562364	0.87429854	0.899885612
BIOCARTA_IL2RB_PATHWAY	0.97042671	0.89552803	0.90786948	0.80950621	0.91526375	0.899718836
PID_SMAD2_3NUCLEARPATHWAY	0.98118619	0.93351645	0.91099592	0.81310797	0.85970819	0.899702944
REACTOME_PRE_NOTCH_EXPRESSION_AND_PROCESSING	0.98942720	0.89179318	0.90232813	0.81167854	0.90123457	0.899292324
REACTOME_HIV_INFECTION	0.98221462	0.91400358	0.90633149	0.82584858	0.86700337	0.899080328
REACTOME_HIV_LIFE_CYCLE	0.98076871	0.89026719	0.90979030	0.82063179	0.89337823	0.898967244
PID_ERBB1_DOWNSTREAM_PATHWAY	0.98360962	0.89188178	0.88862365	0.83288948	0.89730640	0.898862186
PID_CMYB_PATHWAY	0.97876955	0.88486227	0.90137074	0.83991104	0.88496072	0.897974864
REACTOME_METABOLISM_OF_LIPIDS_AND_LIPOPROTEINS	0.98497067	0.95135566	0.90275473	0.83189424	0.81593715	0.89738249
REACTOME_PHOSPHOLIPID_METABOLISM	0.98487903	0.93428168	0.90100596	0.82130835	0.84343434	0.896981872
PID_IL2_1PATHWAY	0.97461850	0.88694942	0.90666889	0.83018345	0.87934905	0.895553862
PID_FAK_PATHWAY	0.97959772	0.90781105	0.87555341	0.81231987	0.90235690	0.89552779
KEGG_TIGHT_JUNCTION	0.98675261	0.91310769	0.87623188	0.82685351	0.87429854	0.895448846
REACTOME_SIGNALING_BY_RHO_GTPASES	0.98597195	0.90851005	0.91818734	0.85284318	0.80976431	0.895055366
REACTOME_SIGNALING_BY_ILS	0.97749674	0.88755981	0.89140460	0.78065596	0.93602694	0.89462881
REACTOME_SIGNALING_BY_THE_B_CELL_RECEPTOR_BCR	0.98160707	0.93192155	0.88636018	0.82515078	0.84792368	0.894592652
KEGG_INOSITOL_PHOSPHATE_METABOLISM	0.98042929	0.89688306	0.88376877	0.81262685	0.89450056	0.893641706
PID_MTOR_4PATHWAY	0.97948572	0.92629019	0.87503078	0.83809641	0.84792368	0.893365356
KEGG_PROSTATE_CANCER	0.98652180	0.94020123	0.90757336	0.83506181	0.79685746	0.893243132
PID_PDGFRBPATHWAY	0.98259476	0.92171225	0.88704486	0.81493227	0.85746352	0.892749532
PID_RB_1PATHWAY	0.97921758	0.88023510	0.92389778	0.86136432	0.81818182	0.89257932
KEGG_CYTOKINE_CYTOKINE_RECEPTOR_INTERACTION	0.98118280	0.91804900	0.86336825	0.82540032	0.87485971	0.892572016
PID_AP1_PATHWAY	0.98399655	0.89804746	0.88525895	0.79240332	0.90123457	0.89218817
PID_ILK_PATHWAY	0.97694349	0.81298364	0.91729381	0.83502922	0.91694725	0.891839482
PID_MYC_REPRESSPATHWAY	0.98766903	0.93383149	0.90136786	0.84223966	0.79236813	0.891495234
REACTOME_CELL_DEATH_SIGNALLING_VIA_NRAGE_NRIF_AND_NADE	0.97971313	0.88519700	0.90233561	0.82638344	0.86363636	0.891453108
REACTOME_G1_PHASE	0.98185484	0.85225550	0.92880771	0.84996927	0.84231201	0.891039866
PID_HES_HEYPATHWAY	0.97737455	0.90392226	0.89566950	0.83515667	0.84062851	0.890550298
REACTOME_NRAGE_SIGNALS_DEATH_THROUGH_JNK	0.97859984	0.86693445	0.90947410	0.80120211	0.89281706	0.889805512
PID_HDAC_CLASSII_PATHWAY	0.97922776	0.88276527	0.87665521	0.83358948	0.87373737	0.889195018
KEGG_P53_SIGNALING_PATHWAY	0.97474069	0.88470475	0.92119007	0.87648846	0.78843996	0.889112786
KEGG_FC_GAMMA_R_MEDIATED_PHAGOCYTOSIS	0.97819254	0.89901943	0.89510220	0.81717485	0.85409652	0.888717108
REACTOME_SIGNALLING_BY_NGF	0.98226553	0.94883533	0.90546282	0.86142298	0.74523008	0.888643348
PID_FANCONI_PATHWAY	0.97228332	0.88071751	0.93813390	0.83321406	0.81762065	0.888393888
KEGG_NON_SMALL_CELL_LUNG_CANCER	0.97897659	0.90837222	0.90053244	0.79567060	0.85746352	0.888203074
REACTOME_GASTRIN_CREB_SIGNALLING_PATHWAY_VIA_PKC_AND_MAPK	0.98545943	0.90646228	0.89071796	0.81058162	0.84680135	0.888004528
KEGG_MTOR_SIGNALING_PATHWAY	0.96655059	0.91029200	0.86945877	0.81603296	0.87654321	0.887775506
ST_INTEGRIN_SIGNALING_PATHWAY	0.98171907	0.92246047	0.88039158	0.80397666	0.85016835	0.887743226
REACTOME_HOST_INTERACTIONS_OF_HIV_FACTORS	0.98292400	0.88050092	0.90166532	0.81946010	0.84904602	0.886719272
REACTOME_APOPTOTIC_EXECUTION_PHASE	0.98252009	0.87699608	0.90267452	0.82799945	0.84287318	0.886612664
PID_CXCR4_PATHWAY	0.97881367	0.91176876	0.88978472	0.83110431	0.82098765	0.886491822
REACTOME_P75_NTR_RECEPTOR_MEDIATED_SIGNALLING	0.97793119	0.88336582	0.89730467	0.83173782	0.84062851	0.886193602
PID_INSULIN_PATHWAY	0.97265328	0.88591569	0.87003826	0.81790008	0.88439955	0.886181372
KEGG_T_CELL_RECEPTOR_SIGNALING_PATHWAY	0.97989302	0.89066100	0.87946278	0.78581792	0.89057239	0.885281422
REACTOME_FANCONI_ANEMIA_PATHWAY	0.95663286	0.83169906	0.92228377	0.83547062	0.87710438	0.884638138
PID_FRA_PATHWAY	0.96391333	0.86272078	0.89105684	0.80295600	0.90179574	0.884488538
PID_TCR_PATHWAY	0.97107839	0.89740485	0.85846193	0.79824791	0.89562290	0.884163196
PID_AR_PATHWAY	0.98078229	0.88452754	0.87043283	0.80871628	0.87542088	0.883975964
KEGG_CHRONIC_MYELOID_LEUKEMIA	0.97687901	0.92612283	0.90301166	0.81553240	0.79741863	0.883792906
KEGG_GAP_JUNCTION	0.98104381	0.93086814	0.90601849	0.80909560	0.79180696	0.8837666
WNT_SIGNALING	0.98741107	0.92541398	0.89070587	0.82473203	0.78675645	0.88300388
SIG_BCR_SIGNALING_PATHWAY	0.98231984	0.88771733	0.87786558	0.79494910	0.87093154	0.882756678
REACTOME_GPCR_LIGAND_BINDING	0.98559859	0.89564259	0.88064802	0.81927103	0.83108866	0.882449778
BIOCARTA_ATRBRCA_PATHWAY	0.96109278	0.83872841	0.92336813	0.81254103	0.87542088	0.882230246
PID_FCER1PATHWAY	0.97673306	0.88198752	0.87333225	0.77818910	0.89674523	0.881397432
PID_ALPHASYNUCLEIN_PATHWAY	0.98207546	0.86798787	0.87023876	0.79170919	0.89337823	0.881077902
REACTOME_PYRIMIDINE_METABOLISM	0.97388536	0.81848701	0.89405472	0.78635953	0.93209877	0.880977078
PID_BCR_5PATHWAY	0.98043948	0.87187666	0.88846312	0.80007006	0.86251403	0.88067267
REACTOME_ACTIVATED_TLR4_SIGNALLING	0.98655575	0.88087503	0.90151285	0.84035281	0.79349046	0.88055738
REACTOME_NFKB_AND_MAP_KINASES_ACTIVATION_MEDIATED_BY_TLR4_SIGNALING_REPERTOIRE	0.98322947	0.86022014	0.90328758	0.83027135	0.82435466	0.88027264
SIG_PIP3_SIGNALING_IN_CARDIAC_MYOCTES	0.98261852	0.90327249	0.90938722	0.85997802	0.74579125	0.8802095
KEGG_FC_EPSILON_RI_SIGNALING_PATHWAY	0.97245642	0.88184969	0.86679624	0.78137355	0.89842873	0.880180926
KEGG_LEUKOCYTE_TRANSENDOTHELIAL_MIGRATION	0.97840977	0.88311970	0.87421454	0.79915297	0.86307520	0.879594436
REACTOME_TOLL_RECEPTOR_CASCADES	0.98479078	0.89438242	0.90792095	0.83671799	0.77384961	0.87953235
PID_ARF6_TRAFFICKINGPATHWAY	0.97727612	0.86681631	0.86826398	0.79150584	0.89113356	0.878999162
REACTOME_MEMBRANE_TRAFFICKING	0.97910557	0.88435928	0.88818695	0.79413570	0.84848485	0.87885447
SIG_CHEMOTAXIS	0.98039875	0.90376474	0.91191477	0.86749023	0.73007856	0.87872941
PID_TRKRPATHWAY	0.97514799	0.89780849	0.87475116	0.80285628	0.83950617	0.878014018
REACTOME_INTEGRIN_CELL_SURFACE_INTERACTIONS	0.97826382	0.87231969	0.88020729	0.76934072	0.88945006	0.877916316
REACTOME_G_ALPHA_Q_SIGNALLING_EVENTS	0.98341132	0.89103511	0.87081512	0.78988296	0.85241302	0.877511506
PID_RHOA_REG_PATHWAY	0.98060579	0.87220155	0.90091774	0.76567064	0.86756453	0.87739205
PID_RAC1_REG_PATHWAY	0.97778864	0.85159588	0.90646152	0.79710507	0.85297419	0.87718506
BIOCARTA_ETS_PATHWAY	0.95386662	0.85129068	0.90646727	0.82178346	0.85241302	0.87716421
REACTOME_TRAF6_MEDIATED_INDUCTION_OF_NFKB_AND_MAP_KINASES_UPON_TLR7_8_OR_9_ACTIVATION	0.98487224	0.84814027	0.89774802	0.82771580	0.82379349	0.876453964
REACTOME_TRNA_AMINOACYLATION	0.96712420	0.81337744	0.89295150	0.79993127	0.90852974	0.87638283
REACTOME_SIGNALING_BY_EGFR_IN_CANCER	0.98045305	0.93598756	0.88783713	0.82558258	0.75084175	0.876140414
BIOCARTA_MAPK_PATHWAY	0.97354934	0.90570422	0.88416410	0.80563125	0.81144781	0.876099344
REACTOME_NUCLEAR_SIGNALING_BY_ERBB4	0.97769360	0.92449840	0.88282000	0.82234853	0.77272727	0.87601756
KEGG_SELENOAMINO_ACID_METABOLISM	0.96527778	0.88709709	0.86599035	0.80916404	0.85185185	0.875876222
REACTOME_SIGNALING_BY_ERBB4	0.97472066	0.94503515	0.90407320	0.83610413	0.71829405	0.875645438
PID_ECADHERIN_STABILIZATION_PATHWAY	0.98070083	0.84813043	0.87386645	0.77170578	0.90235690	0.875352078
REACTOME_MYD88_MAL_CASCADE_INITIATED_ON_PLASMA_MEMBRANE	0.98549677	0.85574064	0.89738292	0.83139187	0.80639731	0.875281902
REACTOME_RESPONSE_TO_ELEVATED_PLATELET_CYTOSOLIC_CA2_	0.97508350	0.90189419	0.86414019	0.79251851	0.84118967	0.874965212
REACTOME_MAP_KINASE_ACTIVATION_IN_TLR_CASCADE	0.97839959	0.84455668	0.88533374	0.81525671	0.85016835	0.874743014
BIOCARTA_KERATINOCYTE_PATHWAY	0.97259219	0.87619684	0.87683396	0.79028575	0.85746352	0.874674452
PID_ALK1PATHWAY	0.94998371	0.90349893	0.85117293	0.74730499	0.92087542	0.874567196
PID_HIF2PATHWAY	0.98526257	0.90092937	0.85696392	0.76779237	0.85914703	0.874019052
KEGG_NOD_LIKE_RECEPTOR_SIGNALING_PATHWAY	0.96561932	0.84291256	0.84711549	0.75250765	0.96015713	0.87366243
REACTOME_PRE_NOTCH_TRANSCRIPTION_AND_TRANSLATION	0.98275090	0.84575151	0.89056721	0.81971085	0.82884400	0.873524894
REACTOME_REGULATION_OF_HYPOXIA_INDUCIBLE_FACTOR_HIF_BY_OXYGEN	0.96710383	0.87992990	0.81838518	0.78143025	0.92031425	0.873432682
REACTOME_SIGNALING_BY_NOTCH1	0.97923116	0.87158131	0.86752234	0.81001459	0.83838384	0.873346648
KEGG_VASCULAR_SMOOTH_MUSCLE_CONTRACTION	0.97966561	0.92316305	0.88962075	0.82063375	0.75308642	0.873233916
SA_REG_CASCADE_OF_CYCLIN_EXPR	0.96111654	0.82374427	0.92200025	0.83226984	0.82603816	0.873033812
KEGG_TOLL_LIKE_RECEPTOR_SIGNALING_PATHWAY	0.96854635	0.90523165	0.86894246	0.80515961	0.81705948	0.87298791
KEGG_ADHERENS_JUNCTION	0.98234360	0.91624825	0.85985280	0.78742211	0.81425365	0.872024082
PID_TNFPATHWAY	0.97581324	0.83599149	0.85582528	0.80752369	0.88439955	0.87191065
ST_T_CELL_SIGNAL_TRANSDUCTION	0.97391930	0.81360388	0.87241462	0.74199272	0.95735129	0.871856362
PID_AR_TF_PATHWAY	0.97609156	0.84740189	0.87921524	0.79349242	0.86251403	0.871743028
REACTOME_TRANSCRIPTIONAL_ACTIVITY_OF_SMAD2_SMAD3_SMAD4_HETEROTRIMER	0.96575296	0.87296946	0.87198483	0.82862696	0.81930415	0.871727672
KEGG_ACUTE_MYELOID_LEUKEMIA	0.97222562	0.88087503	0.88708801	0.80447354	0.81200898	0.871334236
PID_RAC1_PATHWAY	0.97434696	0.85308248	0.90633097	0.82654653	0.79629630	0.871320648
REACTOME_NUCLEOTIDE_BINDING_DOMAIN_LEUCINE_RICH_REPEAT_CONTAINING_RECEPTOR_NLR_SIGNALING_PATHWAYS	0.97218149	0.85514009	0.86369160	0.72544062	0.93322110	0.86993498
PID_A6B1_A6B4_INTEGRIN_PATHWAY	0.97517514	0.90705299	0.85687129	0.76567862	0.84343434	0.869642476
KEGG_AMINOACYL_TRNA_BIOSYNTHESIS	0.96821372	0.80882903	0.88309387	0.78615423	0.90067340	0.86939285
KEGG_ARACHIDONIC_ACID_METABOLISM	0.97290105	0.89197039	0.86091549	0.74631350	0.87485971	0.869392028
PID_TAP63PATHWAY	0.97722860	0.90952409	0.88684234	0.87298915	0.70033670	0.869384176
KEGG_ALZHEIMERS_DISEASE	0.98189896	0.91763640	0.89949379	0.79095264	0.75645342	0.869287042
REACTOME_TGF_BETA_RECEPTOR_SIGNALING_ACTIVATES_SMADS	0.97379032	0.85874338	0.86490440	0.80144757	0.84680135	0.869137404
KEGG_ETHER_LIPID_METABOLISM	0.95791585	0.83527281	0.84937761	0.78615614	0.91694725	0.869133932
REACTOME_SIGNALING_BY_FGFR_MUTANTS	0.95736260	0.92586686	0.87578220	0.77797917	0.80864198	0.869126562
SIG_IL4RECEPTOR_IN_B_LYPHOCYTES	0.95880173	0.90017130	0.87900472	0.77635451	0.82884400	0.868635252
PID_CD8TCRPATHWAY	0.96180556	0.88611259	0.84975524	0.77051985	0.87429854	0.868498356
PID_PS1PATHWAY	0.96917766	0.89911788	0.88769905	0.77764482	0.80695847	0.868119576
REACTOME_SEMA4D_INDUCED_CELL_MIGRATION_AND_GROWTH_CONE_COLLAPSE	0.97834528	0.87535196	0.84408635	0.76907284	0.86980920	0.867333126
REACTOME_GROWTH_HORMONE_RECEPTOR_SIGNALING	0.97421459	0.90864788	0.86673640	0.76139260	0.82267116	0.866732526
