Gene Set	Basal	Her2	LumA	LumB	Average p-value
KEGG_NON_SMALL_CELL_LUNG_CANCER	0.01	0.03	0.01	0.00	0.0125
PID_FAK_PATHWAY	0.12	0.03	0.01	0.04	0.05
KEGG_ENDOMETRIAL_CANCER	0.16	0.01	0.00	0.04	0.0525
PID_RET_PATHWAY	0.27	0.01	0.00	0.04	0.08
REACTOME_OPIOID_SIGNALLING	0.31	0.02	0.01	0.00	0.085
PID_AR_PATHWAY	0.01	0.12	0.05	0.19	0.0925
REACTOME_DARPP_32_EVENTS	0.42	0.01	0.01	0.01	0.1125
REACTOME_RECRUITMENT_OF_NUMA_TO_MITOTIC_CENTROSOMES	0.32	0.01	0.07	0.12	0.13
KEGG_ERBB_SIGNALING_PATHWAY	0.19	0.04	0.18	0.12	0.1325
PID_IL27PATHWAY	0.11	0.22	0.09	0.14	0.14
REACTOME_SIGNALING_BY_SCF_KIT	0.38	0.03	0.14	0.02	0.1425
KEGG_GLYOXYLATE_AND_DICARBOXYLATE_METABOLISM	0.10	0.22	0.15	0.11	0.145
PID_RB_1PATHWAY	0.20	0.11	0.09	0.19	0.1475
REACTOME_SIGNALING_BY_ERBB2	0.51	0.02	0.06	0.00	0.1475
REACTOME_IL_6_SIGNALING	0.24	0.04	0.08	0.23	0.1475
BIOCARTA_G2_PATHWAY	0.29	0.14	0.15	0.01	0.1475
KEGG_PROSTATE_CANCER	0.30	0.04	0.06	0.23	0.1575
REACTOME_DOWNSTREAM_SIGNAL_TRANSDUCTION	0.41	0.05	0.17	0.00	0.1575
BIOCARTA_EIF4_PATHWAY	0.09	0.11	0.39	0.06	0.1625
PID_FOXM1PATHWAY	0.10	0.14	0.42	0.00	0.165
BIOCARTA_ATM_PATHWAY	0.35	0.08	0.20	0.04	0.1675
REACTOME_INHIBITION_OF_INSULIN_SECRETION_BY_ADRENALINE_NORADRENALINE	0.07	0.51	0.05	0.05	0.17
REACTOME_LYSOSOME_VESICLE_BIOGENESIS	0.00	0.47	0.21	0.00	0.17
REACTOME_GABA_RECEPTOR_ACTIVATION	0.45	0.15	0.02	0.06	0.17
PID_CXCR4_PATHWAY	0.11	0.24	0.33	0.01	0.1725
REACTOME_NUCLEAR_EVENTS_KINASE_AND_TRANSCRIPTION_FACTOR_ACTIVATION	0.25	0.13	0.20	0.11	0.1725
KEGG_CARDIAC_MUSCLE_CONTRACTION	0.10	0.52	0.01	0.07	0.175
PID_MYC_REPRESSPATHWAY	0.06	0.00	0.37	0.27	0.175
PID_FGF_PATHWAY	0.45	0.18	0.05	0.02	0.175
BIOCARTA_WNT_PATHWAY	0.25	0.24	0.11	0.10	0.175
REACTOME_MITOTIC_G1_G1_S_PHASES	0.11	0.07	0.10	0.43	0.1775
KEGG_BLADDER_CANCER	0.14	0.01	0.53	0.03	0.1775
PID_E2F_PATHWAY	0.00	0.09	0.07	0.58	0.185
