Gene Set	Basal	Her2	LumA	LumB	Normal	Average p-value
BIOCARTA_CELLCYCLE_PATHWAY	0.09	0.09	0.00	0.04	0.12	0.068
PID_HES_HEYPATHWAY	0.05	0.05	0.10	0.02	0.20	0.084
PID_DELTANP63PATHWAY	0.39	0.00	0.01	0.00	0.02	0.084
PID_P73PATHWAY	0.25	0.04	0.02	0.00	0.12	0.086
REACTOME_APOBEC3G_MEDIATED_RESISTANCE_TO_HIV1_INFECTION	0.01	0.29	0.06	0.06	0.01	0.086
REACTOME_NRAGE_SIGNALS_DEATH_THROUGH_JNK	0.05	0.05	0.06	0.29	0.05	0.1
PID_CASPASE_PATHWAY	0.18	0.15	0.04	0.10	0.04	0.102
REACTOME_G1_PHASE	0.07	0.35	0.03	0.08	0.02	0.11
REACTOME_SIGNALING_BY_ROBO_RECEPTOR	0.02	0.19	0.05	0.29	0.02	0.114
PID_P53DOWNSTREAMPATHWAY	0.23	0.15	0.08	0.01	0.16	0.126
REACTOME_FANCONI_ANEMIA_PATHWAY	0.17	0.16	0.00	0.03	0.27	0.126
REACTOME_ACTIVATION_OF_BH3_ONLY_PROTEINS	0.24	0.01	0.08	0.09	0.21	0.126
REACTOME_CELL_DEATH_SIGNALLING_VIA_NRAGE_NRIF_AND_NADE	0.15	0.10	0.10	0.16	0.15	0.132
PID_FOXOPATHWAY	0.30	0.03	0.05	0.00	0.29	0.134
REACTOME_TGF_BETA_RECEPTOR_SIGNALING_ACTIVATES_SMADS	0.14	0.05	0.36	0.05	0.08	0.136
REACTOME_APOPTOSIS	0.43	0.04	0.06	0.13	0.03	0.138
KEGG_PYRIMIDINE_METABOLISM	0.31	0.30	0.00	0.09	0.00	0.14
BIOCARTA_SKP2E2F_PATHWAY	0.01	0.12	0.00	0.01	0.61	0.15
PID_FANCONI_PATHWAY	0.54	0.05	0.00	0.00	0.17	0.152
REACTOME_SIGNALING_BY_RHO_GTPASES	0.00	0.14	0.00	0.08	0.55	0.154
REACTOME_CDC6_ASSOCIATION_WITH_THE_ORC_ORIGIN_COMPLEX	0.02	0.02	0.00	0.01	0.72	0.154
PID_HEDGEHOG_GLIPATHWAY	0.14	0.15	0.21	0.13	0.14	0.154
BIOCARTA_ETS_PATHWAY	0.56	0.09	0.04	0.04	0.05	0.156
REACTOME_GRB2_EVENTS_IN_ERBB2_SIGNALING	0.25	0.03	0.08	0.12	0.30	0.156
PID_FOXM1PATHWAY	0.09	0.06	0.00	0.00	0.63	0.156
KEGG_CELL_CYCLE	0.57	0.09	0.00	0.13	0.01	0.16
KEGG_OOCYTE_MEIOSIS	0.21	0.04	0.00	0.00	0.55	0.16
KEGG_P53_SIGNALING_PATHWAY	0.64	0.15	0.00	0.00	0.02	0.162
PID_PLK1_PATHWAY	0.18	0.00	0.00	0.00	0.66	0.168
SA_FAS_SIGNALING	0.38	0.00	0.09	0.34	0.04	0.17
REACTOME_PRE_NOTCH_EXPRESSION_AND_PROCESSING	0.01	0.06	0.46	0.13	0.20	0.172
PID_ATR_PATHWAY	0.22	0.05	0.00	0.00	0.59	0.172
PID_ERA_GENOMIC_PATHWAY	0.42	0.00	0.27	0.12	0.05	0.172
PID_RAC1_REG_PATHWAY	0.05	0.32	0.06	0.45	0.00	0.176
REACTOME_DOWNREGULATION_OF_TGF_BETA_RECEPTOR_SIGNALING	0.21	0.11	0.45	0.04	0.08	0.178
KEGG_PANCREATIC_CANCER	0.29	0.00	0.01	0.10	0.50	0.18
REACTOME_ADENYLATE_CYCLASE_ACTIVATING_PATHWAY	0.04	0.01	0.26	0.10	0.49	0.18
REACTOME_MITOTIC_G1_G1_S_PHASES	0.63	0.06	0.00	0.20	0.01	0.18
REACTOME_AXON_GUIDANCE	0.39	0.04	0.03	0.06	0.40	0.184
PID_NFAT_3PATHWAY	0.14	0.36	0.24	0.10	0.08	0.184
PID_CERAMIDE_PATHWAY	0.10	0.21	0.28	0.14	0.20	0.186
