Gene Set	Basal	Her2	LumA	LumB	Average p-value
REACTOME_CDC6_ASSOCIATION_WITH_THE_ORC_ORIGIN_COMPLEX	0.09	0.03	0.00	0.00	0.03
PID_DELTANP63PATHWAY	0.11	0.05	0.00	0.00	0.04
REACTOME_ASSOCIATION_OF_LICENSING_FACTORS_WITH_THE_PRE_REPLICATIVE_COMPLEX	0.14	0.03	0.01	0.08	0.065
BIOCARTA_PTC1_PATHWAY	0.14	0.11	0.01	0.00	0.065
REACTOME_IL_6_SIGNALING	0.21	0.03	0.09	0.16	0.1225
REACTOME_GROWTH_HORMONE_RECEPTOR_SIGNALING	0.11	0.08	0.12	0.20	0.1275
REACTOME_APOBEC3G_MEDIATED_RESISTANCE_TO_HIV1_INFECTION	0.06	0.33	0.02	0.11	0.13
PID_HEDGEHOG_2PATHWAY	0.26	0.15	0.08	0.05	0.135
PID_HES_HEYPATHWAY	0.11	0.00	0.33	0.13	0.1425
PID_P73PATHWAY	0.48	0.10	0.00	0.00	0.145
KEGG_PANCREATIC_CANCER	0.36	0.00	0.19	0.03	0.145
REACTOME_G2_M_DNA_DAMAGE_CHECKPOINT	0.32	0.19	0.02	0.05	0.145
REACTOME_APC_CDC20_MEDIATED_DEGRADATION_OF_NEK2A	0.42	0.10	0.01	0.05	0.145
KEGG_HOMOLOGOUS_RECOMBINATION	0.26	0.25	0.01	0.07	0.1475
BIOCARTA_RANMS_PATHWAY	0.37	0.16	0.01	0.05	0.1475
BIOCARTA_CELLCYCLE_PATHWAY	0.29	0.25	0.01	0.04	0.1475
KEGG_OOCYTE_MEIOSIS	0.53	0.05	0.00	0.01	0.1475
REACTOME_E2F_MEDIATED_REGULATION_OF_DNA_REPLICATION	0.32	0.23	0.00	0.04	0.1475
KEGG_GLIOMA	0.27	0.02	0.18	0.13	0.15
BIOCARTA_SKP2E2F_PATHWAY	0.45	0.10	0.04	0.05	0.16
REACTOME_PRE_NOTCH_TRANSCRIPTION_AND_TRANSLATION	0.15	0.23	0.20	0.12	0.175
BIOCARTA_HER2_PATHWAY	0.29	0.10	0.28	0.07	0.185
PID_P53DOWNSTREAMPATHWAY	0.57	0.18	0.01	0.00	0.19
REACTOME_REMOVAL_OF_THE_FLAP_INTERMEDIATE_FROM_THE_C_STRAND	0.21	0.42	0.06	0.07	0.19
REACTOME_THE_ACTIVATION_OF_ARYLSULFATASES	0.05	0.14	0.14	0.43	0.19
ST_MYOCYTE_AD_PATHWAY	0.07	0.20	0.28	0.22	0.1925
PID_ERA_GENOMIC_PATHWAY	0.16	0.10	0.22	0.29	0.1925
BIOCARTA_SRCRPTP_PATHWAY	0.41	0.33	0.04	0.01	0.1975
BIOCARTA_LEPTIN_PATHWAY	0.36	0.03	0.22	0.18	0.1975
BIOCARTA_BAD_PATHWAY	0.11	0.02	0.30	0.36	0.1975
REACTOME_INHIBITION_OF_THE_PROTEOLYTIC_ACTIVITY_OF_APC_C_REQUIRED_FOR_THE_ONSET_OF_ANAPHASE_BY_MITOTIC_SPINDLE_CHECKPOINT_COMPONENTS	0.63	0.10	0.01	0.06	0.2
ST_INTERFERON_GAMMA_PATHWAY	0.45	0.02	0.09	0.24	0.2
REACTOME_UNWINDING_OF_DNA	0.37	0.29	0.05	0.09	0.2
BIOCARTA_P35ALZHEIMERS_PATHWAY	0.21	0.01	0.18	0.43	0.2075
REACTOME_BASE_FREE_SUGAR_PHOSPHATE_REMOVAL_VIA_THE_SINGLE_NUCLEOTIDE_REPLACEMENT_PATHWAY	0.27	0.21	0.16	0.20	0.21
PID_HNF3APATHWAY	0.02	0.12	0.57	0.23	0.235
PID_ECADHERIN_STABILIZATION_PATHWAY	0.05	0.01	0.52	0.36	0.235
REACTOME_GRB2_EVENTS_IN_ERBB2_SIGNALING	0.11	0.09	0.60	0.15	0.2375
REACTOME_ACTIVATION_OF_THE_PRE_REPLICATIVE_COMPLEX	0.36	0.43	0.01	0.15	0.2375
KEGG_NON_SMALL_CELL_LUNG_CANCER	0.66	0.00	0.25	0.06	0.2425
PID_TAP63PATHWAY	0.75	0.00	0.23	0.00	0.245
REACTOME_APC_C_CDC20_MEDIATED_DEGRADATION_OF_CYCLIN_B	0.61	0.12	0.05	0.20	0.245
PID_FOXM1PATHWAY	0.61	0.37	0.00	0.00	0.245
BIOCARTA_FEEDER_PATHWAY	0.32	0.20	0.14	0.32	0.245
REACTOME_G0_AND_EARLY_G1	0.79	0.13	0.00	0.07	0.2475
KEGG_PROSTATE_CANCER	0.69	0.00	0.29	0.01	0.2475
BIOCARTA_ETS_PATHWAY	0.62	0.21	0.04	0.12	0.2475
KEGG_BLADDER_CANCER	0.48	0.01	0.32	0.18	0.2475
KEGG_MISMATCH_REPAIR	0.36	0.48	0.02	0.15	0.2525
BIOCARTA_MCM_PATHWAY	0.41	0.34	0.04	0.22	0.2525
ST_ADRENERGIC	0.08	0.19	0.50	0.25	0.255
REACTOME_E2F_ENABLED_INHIBITION_OF_PRE_REPLICATION_COMPLEX_FORMATION	0.56	0.35	0.01	0.11	0.2575
BIOCARTA_ATRBRCA_PATHWAY	0.49	0.44	0.05	0.05	0.2575
REACTOME_KERATAN_SULFATE_BIOSYNTHESIS	0.17	0.27	0.36	0.25	0.2625
PID_PRLSIGNALINGEVENTSPATHWAY	0.35	0.63	0.01	0.06	0.2625
KEGG_P53_SIGNALING_PATHWAY	0.82	0.22	0.01	0.00	0.2625
REACTOME_KINESINS	0.42	0.54	0.01	0.09	0.265
PID_TELOMERASEPATHWAY	0.78	0.20	0.04	0.06	0.27
REACTOME_REGULATION_OF_RHEB_GTPASE_ACTIVITY_BY_AMPK	0.35	0.03	0.45	0.25	0.27
BIOCARTA_MTA3_PATHWAY	0.53	0.16	0.30	0.11	0.275
REACTOME_FANCONI_ANEMIA_PATHWAY	0.39	0.58	0.01	0.12	0.275
REACTOME_PTM_GAMMA_CARBOXYLATION_HYPUSINE_FORMATION_AND_ARYLSULFATASE_ACTIVATION	0.17	0.34	0.28	0.32	0.2775
REACTOME_BASIGIN_INTERACTIONS	0.11	0.36	0.38	0.26	0.2775
REACTOME_METABOLISM_OF_VITAMINS_AND_COFACTORS	0.04	0.35	0.34	0.39	0.28
KEGG_CHRONIC_MYELOID_LEUKEMIA	0.66	0.00	0.28	0.18	0.28
BIOCARTA_DNAFRAGMENT_PATHWAY	0.45	0.41	0.05	0.21	0.28
KEGG_SELENOAMINO_ACID_METABOLISM	0.59	0.12	0.32	0.09	0.28
PID_ATF2_PATHWAY	0.65	0.27	0.18	0.02	0.28
REACTOME_INTEGRATION_OF_PROVIRUS	0.25	0.37	0.10	0.41	0.2825
REACTOME_ADENYLATE_CYCLASE_ACTIVATING_PATHWAY	0.14	0.12	0.50	0.38	0.285
KEGG_NICOTINATE_AND_NICOTINAMIDE_METABOLISM	0.21	0.08	0.47	0.39	0.2875
REACTOME_G2_M_CHECKPOINTS	0.80	0.24	0.02	0.10	0.29
REACTOME_BASE_EXCISION_REPAIR	0.36	0.66	0.11	0.05	0.295
KEGG_PURINE_METABOLISM	0.53	0.12	0.17	0.37	0.2975
KEGG_ONE_CARBON_POOL_BY_FOLATE	0.39	0.47	0.09	0.24	0.2975
REACTOME_REGULATION_OF_MITOTIC_CELL_CYCLE	0.78	0.17	0.10	0.15	0.3
REACTOME_ACTIVATION_OF_BH3_ONLY_PROTEINS	0.78	0.07	0.18	0.17	0.3
PID_ATR_PATHWAY	0.88	0.22	0.05	0.07	0.305
SIG_CHEMOTAXIS	0.52	0.41	0.12	0.17	0.305
REACTOME_APOPTOSIS	0.33	0.14	0.28	0.48	0.3075
BIOCARTA_TEL_PATHWAY	0.23	0.01	0.57	0.43	0.31
REACTOME_ACTIVATION_OF_ATR_IN_RESPONSE_TO_REPLICATION_STRESS	0.85	0.26	0.03	0.10	0.31
PID_FANCONI_PATHWAY	0.83	0.31	0.03	0.07	0.31
REACTOME_G1_S_SPECIFIC_TRANSCRIPTION	0.86	0.26	0.00	0.14	0.315
PID_VEGFR1_PATHWAY	0.33	0.25	0.43	0.26	0.3175
REACTOME_APOPTOTIC_EXECUTION_PHASE	0.17	0.70	0.27	0.13	0.3175
REACTOME_ACTIVATION_OF_CHAPERONE_GENES_BY_ATF6_ALPHA	0.01	0.23	0.53	0.51	0.32
BIOCARTA_WNT_PATHWAY	0.23	0.07	0.56	0.42	0.32
REACTOME_SULFUR_AMINO_ACID_METABOLISM	0.33	0.23	0.40	0.33	0.3225
PID_ERBB_NETWORK_PATHWAY	0.10	0.07	0.87	0.25	0.3225
REACTOME_REGULATION_OF_AMPK_ACTIVITY_VIA_LKB1	0.38	0.05	0.58	0.28	0.3225
SA_REG_CASCADE_OF_CYCLIN_EXPR	0.78	0.48	0.01	0.04	0.3275
REACTOME_SYNTHESIS_AND_INTERCONVERSION_OF_NUCLEOTIDE_DI_AND_TRIPHOSPHATES	0.89	0.13	0.09	0.20	0.3275
PID_A6B1_A6B4_INTEGRIN_PATHWAY	0.37	0.13	0.53	0.28	0.3275
REACTOME_RECRUITMENT_OF_NUMA_TO_MITOTIC_CENTROSOMES	0.67	0.42	0.09	0.14	0.33
REACTOME_CONVERSION_FROM_APC_C_CDC20_TO_APC_C_CDH1_IN_LATE_ANAPHASE	0.86	0.13	0.08	0.25	0.33
REACTOME_SIGNALING_BY_RHO_GTPASES	0.51	0.64	0.01	0.17	0.3325
REACTOME_G_ALPHA1213_SIGNALLING_EVENTS	0.07	0.29	0.41	0.56	0.3325
PID_ERBB4_PATHWAY	0.19	0.02	0.63	0.50	0.335
KEGG_BIOSYNTHESIS_OF_UNSATURATED_FATTY_ACIDS	0.29	0.08	0.55	0.43	0.3375
REACTOME_NRAGE_SIGNALS_DEATH_THROUGH_JNK	0.65	0.24	0.19	0.27	0.3375
REACTOME_PYRIMIDINE_METABOLISM	0.59	0.48	0.05	0.25	0.3425
KEGG_PATHWAYS_IN_CANCER	0.98	0.02	0.34	0.03	0.3425
REACTOME_MITOTIC_G1_G1_S_PHASES	0.69	0.26	0.07	0.35	0.3425
KEGG_COLORECTAL_CANCER	0.62	0.33	0.27	0.15	0.3425
REACTOME_PHOSPHORYLATION_OF_THE_APC_C	0.97	0.15	0.06	0.20	0.345
SA_G2_AND_M_PHASES	0.45	0.47	0.05	0.41	0.345
PID_PLK1_PATHWAY	0.81	0.41	0.05	0.12	0.3475
