Gene Set	Basal	Her2	LumA	LumB	Normal	Average p-value
REACTOME_REGULATED_PROTEOLYSIS_OF_P75NTR	0.10	0.12	0.08	0.07	0.00	0.074
REACTOME_ASSOCIATION_OF_LICENSING_FACTORS_WITH_THE_PRE_REPLICATIVE_COMPLEX	0.09	0.11	0.00	0.01	0.25	0.092
REACTOME_CDC6_ASSOCIATION_WITH_THE_ORC_ORIGIN_COMPLEX	0.04	0.02	0.01	0.00	0.42	0.098
BIOCARTA_RANMS_PATHWAY	0.15	0.11	0.00	0.01	0.22	0.098
PID_FOXOPATHWAY	0.33	0.02	0.04	0.08	0.03	0.1
REACTOME_PRE_NOTCH_EXPRESSION_AND_PROCESSING	0.04	0.02	0.25	0.19	0.02	0.104
REACTOME_ADENYLATE_CYCLASE_ACTIVATING_PATHWAY	0.09	0.00	0.31	0.06	0.06	0.104
BIOCARTA_ATRBRCA_PATHWAY	0.19	0.19	0.00	0.06	0.09	0.106
REACTOME_APC_CDC20_MEDIATED_DEGRADATION_OF_NEK2A	0.23	0.18	0.00	0.02	0.10	0.106
REACTOME_IRAK1_RECRUITS_IKK_COMPLEX	0.00	0.33	0.10	0.04	0.06	0.106
PID_HES_HEYPATHWAY	0.12	0.03	0.25	0.03	0.15	0.116
REACTOME_CELL_DEATH_SIGNALLING_VIA_NRAGE_NRIF_AND_NADE	0.01	0.13	0.06	0.36	0.03	0.118
PID_HEDGEHOG_2PATHWAY	0.07	0.03	0.00	0.02	0.47	0.118
REACTOME_FANCONI_ANEMIA_PATHWAY	0.50	0.03	0.00	0.02	0.05	0.12
REACTOME_TGF_BETA_RECEPTOR_SIGNALING_ACTIVATES_SMADS	0.18	0.03	0.24	0.06	0.09	0.12
REACTOME_NRAGE_SIGNALS_DEATH_THROUGH_JNK	0.00	0.08	0.03	0.41	0.10	0.124
REACTOME_SIGNALING_BY_NOTCH	0.11	0.12	0.27	0.08	0.08	0.132
REACTOME_G2_M_DNA_DAMAGE_CHECKPOINT	0.21	0.04	0.00	0.01	0.43	0.138
REACTOME_APC_C_CDC20_MEDIATED_DEGRADATION_OF_CYCLIN_B	0.27	0.19	0.02	0.06	0.19	0.146
BIOCARTA_CELLCYCLE_PATHWAY	0.11	0.17	0.00	0.02	0.44	0.148
PID_PLK1_PATHWAY	0.18	0.02	0.00	0.00	0.55	0.15
KEGG_PYRIMIDINE_METABOLISM	0.19	0.32	0.03	0.03	0.18	0.15
REACTOME_PYRIMIDINE_METABOLISM	0.09	0.24	0.09	0.29	0.05	0.152
REACTOME_GRB2_EVENTS_IN_ERBB2_SIGNALING	0.31	0.00	0.14	0.08	0.23	0.152
REACTOME_ACTIVATION_OF_BH3_ONLY_PROTEINS	0.36	0.00	0.11	0.11	0.18	0.152
REACTOME_E2F_ENABLED_INHIBITION_OF_PRE_REPLICATION_COMPLEX_FORMATION	0.26	0.12	0.02	0.04	0.33	0.154
REACTOME_G0_AND_EARLY_G1	0.30	0.13	0.02	0.10	0.26	0.162
KEGG_PANCREATIC_CANCER	0.53	0.01	0.02	0.11	0.16	0.166
REACTOME_GROWTH_HORMONE_RECEPTOR_SIGNALING	0.04	0.00	0.20	0.36	0.26	0.172
PID_FOXM1PATHWAY	0.13	0.37	0.00	0.00	0.37	0.174
REACTOME_SIGNALING_BY_RHO_GTPASES	0.02	0.25	0.00	0.03	0.58	0.176
REACTOME_RECRUITMENT_OF_NUMA_TO_MITOTIC_CENTROSOMES	0.32	0.20	0.03	0.02	0.32	0.178
REACTOME_REGULATION_OF_RHEB_GTPASE_ACTIVITY_BY_AMPK	0.04	0.03	0.28	0.18	0.36	0.178
REACTOME_APOBEC3G_MEDIATED_RESISTANCE_TO_HIV1_INFECTION	0.02	0.22	0.09	0.30	0.26	0.178
PID_MYC_PATHWAY	0.09	0.47	0.15	0.09	0.09	0.178
PID_FANCONI_PATHWAY	0.42	0.06	0.00	0.04	0.37	0.178
PID_ATM_PATHWAY	0.32	0.04	0.03	0.08	0.43	0.18
REACTOME_INHIBITION_OF_THE_PROTEOLYTIC_ACTIVITY_OF_APC_C_REQUIRED_FOR_THE_ONSET_OF_ANAPHASE_BY_MITOTIC_SPINDLE_CHECKPOINT_COMPONENTS	0.34	0.21	0.00	0.10	0.26	0.182
