Gene Set	Basal	Her2	LumA	LumB	Average AUC
KEGG_PANCREATIC_CANCER	0.80407410	0.79218708	0.75238848	0.52170702	0.71758917
ST_JNK_MAPK_PATHWAY	0.79590786	0.71893439	0.74632706	0.56377773	0.70623676
KEGG_APOPTOSIS	0.79897407	0.73304612	0.74913210	0.52465784	0.7014525325
KEGG_COLORECTAL_CANCER	0.79598817	0.74361527	0.72329439	0.50248003	0.691344465
KEGG_NON_SMALL_CELL_LUNG_CANCER	0.82023990	0.74998249	0.69681392	0.49775288	0.6911972975
BIOCARTA_ARF_PATHWAY	0.80918605	0.77284555	0.75643368	0.42109375	0.6898897575
PID_P53REGULATIONPATHWAY	0.76283422	0.73052410	0.73910866	0.52408758	0.68913864
KEGG_MELANOMA	0.80922766	0.72364558	0.75232560	0.46856628	0.68844128
PID_MYC_ACTIVPATHWAY	0.78312179	0.70665004	0.74620651	0.51672786	0.68817655
KEGG_NEUROTROPHIN_SIGNALING_PATHWAY	0.77468524	0.72946810	0.73021077	0.51500899	0.687343275
KEGG_SMALL_CELL_LUNG_CANCER	0.82182473	0.72161102	0.71948666	0.48506638	0.6869971975
PID_P75NTRPATHWAY	0.80567103	0.75021360	0.75620057	0.43464161	0.6866817025
KEGG_CELL_CYCLE	0.76416284	0.70920266	0.72693093	0.54567049	0.68649173
PID_P53DOWNSTREAMPATHWAY	0.76279053	0.72630225	0.75642295	0.49796247	0.68586955
KEGG_CHRONIC_MYELOID_LEUKEMIA	0.79187041	0.71626885	0.72277726	0.51128408	0.68555015
KEGG_PROSTATE_CANCER	0.81215046	0.69513722	0.73393658	0.49136231	0.6831466425
BIOCARTA_ATRBRCA_PATHWAY	0.76804574	0.73643067	0.73496712	0.48803098	0.6818686275
PID_AP1_PATHWAY	0.76653759	0.70070833	0.72718718	0.53090942	0.68133563
BIOCARTA_P53_PATHWAY	0.76769909	0.71009775	0.73199744	0.51246313	0.6805643525
KEGG_GLIOMA	0.80405704	0.73582771	0.70313964	0.47542666	0.6796127625
ST_FAS_SIGNALING_PATHWAY	0.77866737	0.71625464	0.74669109	0.46714891	0.6771905025
KEGG_ENDOMETRIAL_CANCER	0.80885090	0.72697557	0.68395346	0.48816429	0.676986055
PID_HDAC_CLASSIII_PATHWAY	0.77684474	0.71312416	0.72785445	0.48289028	0.6751784075
PID_REG_GR_PATHWAY	0.76676010	0.73006193	0.74598146	0.45737798	0.6750453675
BIOCARTA_G2_PATHWAY	0.77231707	0.72434418	0.73233116	0.46359213	0.673146135
KEGG_P53_SIGNALING_PATHWAY	0.77250375	0.71142736	0.72163468	0.48638742	0.6729883025
BIOCARTA_RB_PATHWAY	0.77315690	0.70289486	0.72918836	0.48667712	0.67297931
BIOCARTA_CTCF_PATHWAY	0.80606986	0.71092529	0.73551755	0.43887579	0.6728471225
REACTOME_CELL_CYCLE_CHECKPOINTS	0.75856541	0.70812183	0.72397691	0.49997780	0.6726604875
KEGG_BASAL_CELL_CARCINOMA	0.75997315	0.70517016	0.72130397	0.50202714	0.672118605
BIOCARTA_RNA_PATHWAY	0.76881932	0.70749645	0.72132928	0.48906735	0.6716781
BIOCARTA_G1_PATHWAY	0.76349222	0.70249889	0.72316751	0.49632888	0.671371875
BIOCARTA_P53HYPOXIA_PATHWAY	0.76511945	0.72789597	0.72476507	0.46693447	0.67117874
PID_HIF1APATHWAY	0.76856584	0.70619920	0.72513248	0.48394473	0.6709605625
BIOCARTA_TEL_PATHWAY	0.77806444	0.71968616	0.73276590	0.45287997	0.6708491175
KEGG_HUNTINGTONS_DISEASE	0.76763482	0.72462723	0.73582429	0.45246744	0.670138445
REACTOME_APOPTOSIS	0.78419393	0.68721458	0.74050783	0.46558588	0.669375555
BIOCARTA_PML_PATHWAY	0.77122640	0.70955180	0.72331169	0.47166495	0.66893871
KEGG_PATHWAYS_IN_CANCER	0.76070322	0.64943118	0.75939510	0.50571677	0.6688115675
BIOCARTA_TID_PATHWAY	0.76790452	0.70674441	0.73288623	0.46675835	0.6685733775
REACTOME_SIGNALING_BY_NOTCH	0.75943669	0.72631254	0.72804774	0.45826649	0.668015865
PID_AURORA_A_PATHWAY	0.77497851	0.70575684	0.73057642	0.45885811	0.66754247
