Gene Set	Basal	Her2	LumA	LumB	Normal	Average AUC
PID_INTEGRIN2_PATHWAY	0.96860712	0.80822511	0.81148887	0.77501742	0.98484848	0.8696374
BIOCARTA_AMI_PATHWAY	0.95506823	0.82791406	0.77961557	0.77578697	0.98148148	0.863973262
KEGG_GRAFT_VERSUS_HOST_DISEASE	0.98101187	0.83059163	0.82183625	0.79003438	0.83670034	0.852034894
REACTOME_REGULATION_OF_GENE_EXPRESSION_IN_BETA_CELLS	0.96318448	0.82826679	0.82643508	0.75644006	0.78619529	0.83210434
KEGG_MATURITY_ONSET_DIABETES_OF_THE_YOUNG	0.96720716	0.81872695	0.80662874	0.76324978	0.77609428	0.826381382
KEGG_TYPE_I_DIABETES_MELLITUS	0.97740564	0.83670034	0.81124251	0.76966312	0.73569024	0.82614037
KEGG_ALLOGRAFT_REJECTION	0.96681730	0.81439795	0.81116038	0.74728639	0.78956229	0.825844862
KEGG_INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION	0.98009038	0.85851282	0.83674264	0.77690040	0.64814815	0.820078878
REACTOME_REGULATION_OF_BETA_CELL_DEVELOPMENT	0.96952862	0.80067340	0.82551930	0.74896206	0.74915825	0.818768326
REACTOME_INHIBITION_OF_VOLTAGE_GATED_CA2_CHANNELS_VIA_GBETA_GAMMA_SUBUNITS	0.95253411	0.80125060	0.79177958	0.76705325	0.76262626	0.81504876
REACTOME_INWARDLY_RECTIFYING_K_CHANNELS	0.95355307	0.82289562	0.80672579	0.76564588	0.67171717	0.804107506
KEGG_VIRAL_MYOCARDITIS	0.97423356	0.87309604	0.84105280	0.80890218	0.50673401	0.800803718
KEGG_ASTHMA	0.96356548	0.64672118	0.78833170	0.74657510	0.85690236	0.800419164
REACTOME_NCAM1_INTERACTIONS	0.94674818	0.81677088	0.82824177	0.74728976	0.62794613	0.793399344
PID_SYNDECAN_3_PATHWAY	0.87847776	0.77298381	0.75433194	0.73174870	0.81313131	0.790134704
PID_DELTANP63PATHWAY	0.97433103	0.76766073	0.81076388	0.77146449	0.60437710	0.785719446
KEGG_VIBRIO_CHOLERAE_INFECTION	0.92682084	0.82340869	0.80672579	0.71763459	0.64141414	0.78320081
KEGG_ARRHYTHMOGENIC_RIGHT_VENTRICULAR_CARDIOMYOPATHY_ARVC	0.95824916	0.79259259	0.82906299	0.78934649	0.54377104	0.782604454
REACTOME_HDL_MEDIATED_LIPID_TRANSPORT	0.95968456	0.66219336	0.77998512	0.76786351	0.73905724	0.781756758
BIOCARTA_EXTRINSIC_PATHWAY	0.95376573	0.78098445	0.76615751	0.74934530	0.65488215	0.781027028
PID_IL12_STAT4PATHWAY	0.94336346	0.78728555	0.77625852	0.77307466	0.62457912	0.780912262
REACTOME_FGFR_LIGAND_BINDING_AND_ACTIVATION	0.94104200	0.74024371	0.79005502	0.76626917	0.66498316	0.780518612
REACTOME_GASTRIN_CREB_SIGNALLING_PATHWAY_VIA_PKC_AND_MAPK	0.97604997	0.88108065	0.84384495	0.81209360	0.38888889	0.780391612
REACTOME_G_ALPHA_Q_SIGNALLING_EVENTS	0.97422470	0.89589546	0.84712983	0.80934247	0.37205387	0.779729266
REACTOME_INHIBITION_OF_INSULIN_SECRETION_BY_ADRENALINE_NORADRENALINE	0.88717881	0.77372134	0.67363460	0.72814565	0.82659933	0.777855946
REACTOME_SYNTHESIS_OF_BILE_ACIDS_AND_BILE_SALTS	0.87126528	0.77123617	0.71146424	0.74278054	0.78956229	0.777261704
BIOCARTA_INTRINSIC_PATHWAY	0.95657452	0.74636845	0.76348647	0.77423263	0.64141414	0.776415242
REACTOME_CA_DEPENDENT_EVENTS	0.91457558	0.77463524	0.74973310	0.78781644	0.64814815	0.774981702
REACTOME_CLASS_A1_RHODOPSIN_LIKE_RECEPTORS	0.97845118	0.89628026	0.86043360	0.82335703	0.31481481	0.774667376
KEGG_AUTOIMMUNE_THYROID_DISEASE	0.96413255	0.80625301	0.80475072	0.77674618	0.52020202	0.774416896
PID_VEGF_VEGFR_PATHWAY	0.90360624	0.63998717	0.65711770	0.75045873	0.90740741	0.77171545
REACTOME_PEPTIDE_HORMONE_BIOSYNTHESIS	0.92745531	0.68887286	0.75892386	0.69953058	0.77272727	0.769501976
REACTOME_PEPTIDE_LIGAND_BINDING_RECEPTORS	0.97931951	0.86818983	0.85493143	0.81310666	0.32491582	0.76809265
KEGG_NEUROACTIVE_LIGAND_RECEPTOR_INTERACTION	0.98023215	0.87447491	0.85739509	0.81917909	0.29797980	0.765852208
REACTOME_BILE_ACID_AND_BILE_SALT_METABOLISM	0.89165875	0.79089306	0.73645920	0.74742130	0.65824916	0.764936294
KEGG_LEUKOCYTE_TRANSENDOTHELIAL_MIGRATION	0.97396775	0.84263268	0.82060442	0.81878496	0.36868687	0.764935336
REACTOME_LIPOPROTEIN_METABOLISM	0.96876661	0.67368927	0.78545038	0.76550781	0.62794613	0.76427204
PID_BARD1PATHWAY	0.91148325	0.68837582	0.75211464	0.65880142	0.80639731	0.763434488
KEGG_PENTOSE_PHOSPHATE_PATHWAY	0.76607301	0.81556838	0.72025129	0.68432562	0.82996633	0.763236926
KEGG_LEISHMANIA_INFECTION	0.97778664	0.79530223	0.80990118	0.78344924	0.44276094	0.761840046
BIOCARTA_MONOCYTE_PATHWAY	0.94291157	0.77835498	0.73516080	0.77760408	0.57407407	0.7616211
BIOCARTA_TCYTOTOXIC_PATHWAY	0.97021088	0.82348886	0.79301141	0.75416422	0.45959596	0.760094266
REACTOME_CHEMOKINE_RECEPTORS_BIND_CHEMOKINES	0.97169945	0.83363797	0.81698524	0.77542177	0.40235690	0.760020266
BIOCARTA_THELPER_PATHWAY	0.96261740	0.79288119	0.79251868	0.74576007	0.50000000	0.758755468
KEGG_CELL_ADHESION_MOLECULES_CAMS	0.96979444	0.90083373	0.87233383	0.83674042	0.21043771	0.758028026
REACTOME_ACTIVATION_OF_KAINATE_RECEPTORS_UPON_GLUTAMATE_BINDING	0.93092327	0.76604137	0.71583163	0.76328541	0.60774411	0.756765158
REACTOME_BILE_SALT_AND_ORGANIC_ANION_SLC_TRANSPORTERS	0.92703349	0.75371172	0.78457649	0.70870076	0.60437710	0.755679912
REACTOME_GLYCEROPHOSPHOLIPID_BIOSYNTHESIS	0.91030480	0.78136925	0.80483699	0.74380489	0.53703704	0.755470594
REACTOME_GABA_B_RECEPTOR_ACTIVATION	0.95222399	0.83466410	0.78898744	0.79862559	0.40235690	0.755371604
REACTOME_COMMON_PATHWAY	0.94813929	0.73328523	0.74756060	0.70620669	0.63804714	0.75464779
REACTOME_NUCLEAR_SIGNALING_BY_ERBB4	0.96755272	0.74874138	0.82364293	0.74451830	0.48316498	0.753524062
KEGG_GLYCEROPHOSPHOLIPID_METABOLISM	0.95919724	0.77078724	0.79207074	0.75046080	0.49326599	0.753156402
REACTOME_GABA_RECEPTOR_ACTIVATION	0.95452773	0.82429052	0.82536750	0.79456826	0.36195286	0.752141374
REACTOME_XENOBIOTICS	0.86117313	0.72485169	0.69494361	0.75079721	0.71885522	0.750124172
REACTOME_GPCR_LIGAND_BINDING	0.97830055	0.89342633	0.85560251	0.82119252	0.19360269	0.74842492
REACTOME_SYNTHESIS_OF_BILE_ACIDS_AND_BILE_SALTS_VIA_7ALPHA_HYDROXYCHOLESTEROL	0.84271664	0.74553471	0.71103869	0.70411344	0.73569024	0.747818744
REACTOME_GLYCOPROTEIN_HORMONES	0.86531100	0.69283309	0.74249973	0.66208380	0.77609428	0.74776438
BIOCARTA_FEEDER_PATHWAY	0.91010987	0.71175245	0.52998698	0.77523894	0.80976431	0.74737051
KEGG_LINOLEIC_ACID_METABOLISM	0.89957469	0.73168190	0.74135666	0.74856591	0.61447811	0.747131454
KEGG_PRIMARY_BILE_ACID_BIOSYNTHESIS	0.84141414	0.73456790	0.68370699	0.73137459	0.74242424	0.746697572
REACTOME_DIGESTION_OF_DIETARY_CARBOHYDRATE	0.94127237	0.71725188	0.74521639	0.76316516	0.56397306	0.746175772
REACTOME_GLUTATHIONE_CONJUGATION	0.92454234	0.72621453	0.81321344	0.76684145	0.49663300	0.745488952
BIOCARTA_PLATELETAPP_PATHWAY	0.89471026	0.74314574	0.71617505	0.76330323	0.60774411	0.745015678
BIOCARTA_LYM_PATHWAY	0.95575935	0.73605900	0.72846350	0.77882885	0.52356902	0.744535944
BIOCARTA_TOB1_PATHWAY	0.95326954	0.81768478	0.74988988	0.73785213	0.46296296	0.744331858
REACTOME_L1CAM_INTERACTIONS	0.96702109	0.79567100	0.84811530	0.76880945	0.33838384	0.743600136
BIOCARTA_COMP_PATHWAY	0.94576466	0.71627385	0.74772319	0.72652005	0.58080808	0.743417966
REACTOME_AMINE_LIGAND_BINDING_RECEPTORS	0.95203792	0.75388809	0.80182709	0.77105898	0.43265993	0.742294402
REACTOME_INTEGRIN_CELL_SURFACE_INTERACTIONS	0.96965267	0.79448453	0.83202685	0.76547992	0.34848485	0.742025764
KEGG_COMPLEMENT_AND_COAGULATION_CASCADES	0.96711855	0.82708033	0.82028284	0.77875566	0.31481481	0.741610438
BIOCARTA_BAD_PATHWAY	0.88585859	0.68475228	0.76369385	0.70809506	0.66498316	0.741476588
REACTOME_INTERFERON_ALPHA_BETA_SIGNALING	0.96246677	0.72462722	0.80109670	0.79824702	0.41919192	0.741125926
REACTOME_DEFENSINS	0.95606947	0.70532307	0.77883417	0.78329480	0.47979798	0.740663898
REACTOME_FORMATION_OF_FIBRIN_CLOT_CLOTTING_CASCADE	0.95868332	0.82166105	0.80569222	0.76959632	0.34511785	0.740150152
KEGG_MELANOGENESIS	0.96454900	0.77184544	0.82372506	0.82784394	0.31144781	0.73988225
KEGG_SYSTEMIC_LUPUS_ERYTHEMATOSUS	0.97685628	0.78284432	0.82717418	0.78480056	0.32154882	0.738644832
REACTOME_CYTOCHROME_P450_ARRANGED_BY_SUBSTRATE_TYPE	0.97026404	0.79777136	0.82237377	0.78325584	0.31818182	0.738369366
PID_IL8CXCR1_PATHWAY	0.90588340	0.72209396	0.68951940	0.71034418	0.66161616	0.73789142
REACTOME_METABOLISM_OF_STEROID_HORMONES_AND_VITAMINS_A_AND_D	0.95904661	0.74514991	0.79719964	0.76899507	0.41582492	0.73724323
REACTOME_PTM_GAMMA_CARBOXYLATION_HYPUSINE_FORMATION_AND_ARYLSULFATASE_ACTIVATION	0.94114833	0.63350970	0.77409763	0.76953842	0.56397306	0.736453428
KEGG_TASTE_TRANSDUCTION	0.95275563	0.82077922	0.82865238	0.78772736	0.29124579	0.736232076
KEGG_ALDOSTERONE_REGULATED_SODIUM_REABSORPTION	0.95739855	0.72914863	0.78422436	0.77928758	0.42929293	0.73587041
REACTOME_NCAM_SIGNALING_FOR_NEURITE_OUT_GROWTH	0.95785043	0.80748757	0.84473668	0.76108703	0.30808081	0.735848504
BIOCARTA_PITX2_PATHWAY	0.91589580	0.68726952	0.75337468	0.69375857	0.62794613	0.73564894
REACTOME_INTERACTION_BETWEEN_L1_AND_ANKYRINS	0.92070707	0.78803912	0.84836167	0.72476691	0.39562290	0.735499534
KEGG_METABOLISM_OF_XENOBIOTICS_BY_CYTOCHROME_P450	0.97511962	0.83958634	0.84499466	0.76741566	0.24747475	0.734918206
