Gene Set	Basal	Her2	LumA	LumB	Normal	Average p-value
KEGG_NON_SMALL_CELL_LUNG_CANCER	0.03	0.03	0.21	0.00	0.03	0.06
REACTOME_PI3K_EVENTS_IN_ERBB2_SIGNALING	0.27	0.00	0.11	0.02	0.00	0.08
REACTOME_SIGNALING_BY_ERBB2	0.18	0.01	0.04	0.00	0.22	0.09
REACTOME_OPIOID_SIGNALLING	0.38	0.03	0.03	0.00	0.09	0.106
REACTOME_GABA_RECEPTOR_ACTIVATION	0.55	0.08	0.01	0.02	0.02	0.136
KEGG_MTOR_SIGNALING_PATHWAY	0.11	0.15	0.21	0.01	0.22	0.14
REACTOME_IL_6_SIGNALING	0.27	0.08	0.05	0.22	0.09	0.142
PID_IL27PATHWAY	0.03	0.16	0.06	0.08	0.43	0.152
PID_MYC_REPRESSPATHWAY	0.04	0.00	0.44	0.17	0.12	0.154
BIOCARTA_G2_PATHWAY	0.26	0.07	0.07	0.12	0.30	0.164
KEGG_PROSTATE_CANCER	0.10	0.01	0.06	0.11	0.57	0.17
REACTOME_PERK_REGULATED_GENE_EXPRESSION	0.24	0.12	0.09	0.38	0.02	0.17
REACTOME_SIGNALING_BY_SCF_KIT	0.20	0.02	0.16	0.05	0.43	0.172
KEGG_ERBB_SIGNALING_PATHWAY	0.12	0.01	0.20	0.05	0.50	0.176
PID_AR_PATHWAY	0.01	0.05	0.11	0.25	0.47	0.178
KEGG_CARDIAC_MUSCLE_CONTRACTION	0.11	0.42	0.05	0.28	0.03	0.178
REACTOME_DOWNSTREAM_SIGNAL_TRANSDUCTION	0.34	0.01	0.20	0.00	0.35	0.18
REACTOME_NUCLEAR_RECEPTOR_TRANSCRIPTION_PATHWAY	0.44	0.03	0.25	0.04	0.16	0.184
REACTOME_DARPP_32_EVENTS	0.49	0.00	0.01	0.01	0.43	0.188
BIOCARTA_AKT_PATHWAY	0.29	0.19	0.23	0.07	0.16	0.188
REACTOME_INHIBITION_OF_INSULIN_SECRETION_BY_ADRENALINE_NORADRENALINE	0.09	0.51	0.25	0.10	0.00	0.19
PID_FAK_PATHWAY	0.09	0.03	0.06	0.05	0.73	0.192
REACTOME_MITOCHONDRIAL_PROTEIN_IMPORT	0.03	0.08	0.25	0.62	0.03	0.202
PID_RB_1PATHWAY	0.05	0.25	0.13	0.33	0.26	0.204
PID_PRLSIGNALINGEVENTSPATHWAY	0.09	0.39	0.25	0.29	0.01	0.206
REACTOME_SIGNALING_BY_ERBB4	0.61	0.10	0.08	0.00	0.24	0.206
REACTOME_COSTIMULATION_BY_THE_CD28_FAMILY	0.40	0.09	0.23	0.28	0.03	0.206
REACTOME_MYOGENESIS	0.20	0.19	0.01	0.02	0.63	0.21
BIOCARTA_PPARA_PATHWAY	0.51	0.10	0.01	0.04	0.39	0.21
REACTOME_MITOTIC_G1_G1_S_PHASES	0.00	0.07	0.28	0.32	0.39	0.212
KEGG_JAK_STAT_SIGNALING_PATHWAY	0.77	0.18	0.12	0.00	0.00	0.214
REACTOME_CELL_SURFACE_INTERACTIONS_AT_THE_VASCULAR_WALL	0.27	0.11	0.20	0.49	0.02	0.218
PID_FOXM1PATHWAY	0.08	0.22	0.68	0.09	0.03	0.22
REACTOME_PROCESSING_OF_CAPPED_INTRON_CONTAINING_PRE_MRNA	0.10	0.14	0.02	0.39	0.45	0.22
REACTOME_MTORC1_MEDIATED_SIGNALLING	0.01	0.16	0.48	0.30	0.15	0.22
REACTOME_DOWNREGULATION_OF_ERBB2_ERBB3_SIGNALING	0.50	0.00	0.25	0.36	0.03	0.228
REACTOME_NUCLEAR_EVENTS_KINASE_AND_TRANSCRIPTION_FACTOR_ACTIVATION	0.22	0.18	0.07	0.12	0.55	0.228
REACTOME_RIG_I_MDA5_MEDIATED_INDUCTION_OF_IFN_ALPHA_BETA_PATHWAYS	0.40	0.18	0.35	0.10	0.11	0.228
PID_CXCR4_PATHWAY	0.10	0.33	0.25	0.00	0.48	0.232
PID_ERBB4_PATHWAY	0.59	0.02	0.06	0.12	0.37	0.232
BIOCARTA_CHREBP2_PATHWAY	0.36	0.14	0.08	0.20	0.39	0.234
KEGG_ENDOMETRIAL_CANCER	0.23	0.03	0.06	0.13	0.75	0.24
KEGG_ARGININE_AND_PROLINE_METABOLISM	0.20	0.15	0.15	0.56	0.15	0.242
REACTOME_REGULATORY_RNA_PATHWAYS	0.23	0.39	0.16	0.09	0.35	0.244
BIOCARTA_EIF4_PATHWAY	0.14	0.05	0.25	0.49	0.30	0.246
PID_RET_PATHWAY	0.34	0.03	0.01	0.07	0.78	0.246
ST_INTERLEUKIN_4_PATHWAY	0.02	0.53	0.25	0.13	0.31	0.248
PID_TELOMERASEPATHWAY	0.38	0.36	0.41	0.00	0.12	0.254
REACTOME_MRNA_SPLICING	0.18	0.30	0.09	0.49	0.22	0.256
BIOCARTA_WNT_PATHWAY	0.21	0.12	0.02	0.13	0.81	0.258
REACTOME_L1CAM_INTERACTIONS	0.14	0.74	0.01	0.09	0.33	0.262
REACTOME_BASIGIN_INTERACTIONS	0.59	0.10	0.10	0.49	0.03	0.262
BIOCARTA_CDK5_PATHWAY	0.28	0.01	0.41	0.15	0.47	0.264
REACTOME_NEGATIVE_REGULATORS_OF_RIG_I_MDA5_SIGNALING	0.39	0.34	0.16	0.13	0.30	0.264
PID_FGF_PATHWAY	0.40	0.14	0.06	0.05	0.67	0.264
REACTOME_ACTIVATION_OF_GENES_BY_ATF4	0.23	0.19	0.25	0.63	0.03	0.266
BIOCARTA_IL4_PATHWAY	0.12	0.64	0.24	0.08	0.25	0.266
REACTOME_GOLGI_ASSOCIATED_VESICLE_BIOGENESIS	0.18	0.59	0.25	0.17	0.15	0.268
BIOCARTA_TOB1_PATHWAY	0.57	0.04	0.29	0.37	0.10	0.274
KEGG_CHEMOKINE_SIGNALING_PATHWAY	0.06	0.64	0.41	0.16	0.11	0.276
ST_TYPE_I_INTERFERON_PATHWAY	0.23	0.54	0.36	0.15	0.11	0.278
ST_INTERLEUKIN_13_PATHWAY	0.16	0.82	0.17	0.20	0.05	0.28
ST_IL_13_PATHWAY	0.16	0.82	0.17	0.20	0.05	0.28
PID_SMAD2_3PATHWAY	0.27	0.04	0.36	0.33	0.43	0.286
BIOCARTA_ATM_PATHWAY	0.48	0.02	0.36	0.04	0.54	0.288
REACTOME_INFLUENZA_VIRAL_RNA_TRANSCRIPTION_AND_REPLICATION	0.02	0.10	0.40	0.39	0.54	0.29
KEGG_LEUKOCYTE_TRANSENDOTHELIAL_MIGRATION	0.03	0.96	0.23	0.22	0.02	0.292
REACTOME_MRNA_PROCESSING	0.17	0.26	0.01	0.45	0.57	0.292
REACTOME_CD28_DEPENDENT_PI3K_AKT_SIGNALING	0.35	0.04	0.50	0.50	0.08	0.294
KEGG_OXIDATIVE_PHOSPHORYLATION	0.10	0.11	0.01	0.82	0.43	0.294
KEGG_BLADDER_CANCER	0.15	0.03	0.76	0.04	0.49	0.294
PID_ERBB2ERBB3PATHWAY	0.58	0.00	0.25	0.04	0.61	0.296
REACTOME_GABA_B_RECEPTOR_ACTIVATION	0.59	0.51	0.36	0.02	0.00	0.296
KEGG_PATHWAYS_IN_CANCER	0.36	0.04	0.08	0.08	0.93	0.298
BIOCARTA_TPO_PATHWAY	0.26	0.19	0.27	0.16	0.63	0.302
REACTOME_BIOSYNTHESIS_OF_THE_N_GLYCAN_PRECURSOR_DOLICHOL_LIPID_LINKED_OLIGOSACCHARIDE_LLO_AND_TRANSFER_TO_A_NASCENT_PROTEIN	0.49	0.35	0.16	0.43	0.08	0.302
REACTOME_PYRIMIDINE_METABOLISM	0.33	0.48	0.29	0.36	0.06	0.304
BIOCARTA_IL7_PATHWAY	0.45	0.04	0.25	0.41	0.37	0.304
REACTOME_MUSCLE_CONTRACTION	0.44	0.03	0.11	0.66	0.28	0.304
REACTOME_CTLA4_INHIBITORY_SIGNALING	0.29	0.62	0.01	0.13	0.48	0.306
REACTOME_PI3K_EVENTS_IN_ERBB4_SIGNALING	0.55	0.42	0.50	0.04	0.02	0.306
BIOCARTA_IGF1MTOR_PATHWAY	0.15	0.30	0.10	0.41	0.58	0.308
REACTOME_SIGNALING_BY_PDGF	0.55	0.01	0.16	0.06	0.76	0.308
KEGG_GLYCOSPHINGOLIPID_BIOSYNTHESIS_GANGLIO_SERIES	0.40	0.19	0.34	0.36	0.27	0.312
BIOCARTA_ERK_PATHWAY	0.55	0.06	0.23	0.15	0.58	0.314
REACTOME_REGULATION_OF_RHEB_GTPASE_ACTIVITY_BY_AMPK	0.08	0.33	0.39	0.56	0.22	0.316
PID_ERBB_NETWORK_PATHWAY	0.76	0.00	0.02	0.28	0.52	0.316
BIOCARTA_MTOR_PATHWAY	0.00	0.09	0.74	0.74	0.02	0.318
REACTOME_LYSOSOME_VESICLE_BIOGENESIS	0.00	0.69	0.35	0.00	0.55	0.318
PID_CXCR3PATHWAY	0.37	0.24	0.73	0.18	0.08	0.32
BIOCARTA_HER2_PATHWAY	0.26	0.12	0.29	0.40	0.54	0.322
KEGG_GLYOXYLATE_AND_DICARBOXYLATE_METABOLISM	0.14	0.35	0.18	0.42	0.52	0.322
KEGG_TAURINE_AND_HYPOTAURINE_METABOLISM	0.35	0.25	0.39	0.40	0.23	0.324
REACTOME_SULFUR_AMINO_ACID_METABOLISM	0.62	0.14	0.10	0.52	0.24	0.324
PID_PTP1BPATHWAY	0.61	0.11	0.43	0.26	0.22	0.326
REACTOME_ADHERENS_JUNCTIONS_INTERACTIONS	0.17	0.14	0.47	0.36	0.49	0.326
