Gene Set	Basal	Her2	LumA	LumB	Average p-value
ST_JNK_MAPK_PATHWAY	0.00	0.00	0.00	0.01	0.0025
REACTOME_IL_3_5_AND_GM_CSF_SIGNALING	0.02	0.01	0.01	0.00	0.01
SA_PTEN_PATHWAY	0.00	0.00	0.00	0.04	0.01
KEGG_CELL_CYCLE	0.00	0.00	0.00	0.09	0.0225
PID_FCER1PATHWAY	0.00	0.11	0.00	0.00	0.0275
PID_TRKRPATHWAY	0.01	0.08	0.00	0.04	0.0325
PID_AP1_PATHWAY	0.00	0.00	0.00	0.14	0.035
KEGG_APOPTOSIS	0.00	0.00	0.00	0.19	0.0475
BIOCARTA_P53_PATHWAY	0.00	0.00	0.00	0.19	0.0475
PID_P53REGULATIONPATHWAY	0.00	0.00	0.00	0.21	0.0525
KEGG_DILATED_CARDIOMYOPATHY	0.00	0.01	0.13	0.10	0.06
BIOCARTA_HER2_PATHWAY	0.00	0.02	0.00	0.22	0.06
KEGG_PANCREATIC_CANCER	0.00	0.00	0.00	0.24	0.06
KEGG_RENAL_CELL_CARCINOMA	0.01	0.01	0.00	0.22	0.06
PID_MYC_ACTIVPATHWAY	0.00	0.00	0.00	0.26	0.065
REACTOME_TIE2_SIGNALING	0.00	0.29	0.00	0.00	0.0725
KEGG_NEUROTROPHIN_SIGNALING_PATHWAY	0.00	0.00	0.00	0.30	0.075
KEGG_CHRONIC_MYELOID_LEUKEMIA	0.00	0.00	0.00	0.33	0.0825
PID_PDGFRBPATHWAY	0.00	0.30	0.00	0.05	0.0875
PID_ER_NONGENOMIC_PATHWAY	0.01	0.32	0.01	0.01	0.0875
PID_REELINPATHWAY	0.01	0.33	0.01	0.00	0.0875
REACTOME_TCR_SIGNALING	0.00	0.31	0.01	0.04	0.09
PID_FANCONI_PATHWAY	0.04	0.15	0.03	0.14	0.09
KEGG_ALDOSTERONE_REGULATED_SODIUM_REABSORPTION	0.02	0.32	0.02	0.01	0.0925
REACTOME_CELL_CYCLE_CHECKPOINTS	0.00	0.00	0.00	0.39	0.0975
REACTOME_DOWNSTREAM_SIGNAL_TRANSDUCTION	0.00	0.18	0.00	0.21	0.0975
KEGG_COLORECTAL_CANCER	0.00	0.00	0.00	0.39	0.0975
KEGG_BASAL_CELL_CARCINOMA	0.00	0.00	0.00	0.41	0.1025
PID_P53DOWNSTREAMPATHWAY	0.00	0.00	0.00	0.41	0.1025
KEGG_PATHWAYS_IN_CANCER	0.00	0.05	0.00	0.38	0.1075
REACTOME_CELL_CYCLE	0.00	0.01	0.03	0.39	0.1075
PID_INSULIN_PATHWAY	0.01	0.32	0.01	0.09	0.1075
REACTOME_SIGNALING_BY_PDGF	0.01	0.06	0.00	0.36	0.1075
KEGG_NON_SMALL_CELL_LUNG_CANCER	0.00	0.00	0.00	0.46	0.115
KEGG_VASCULAR_SMOOTH_MUSCLE_CONTRACTION	0.11	0.06	0.04	0.26	0.1175
PID_IL2_STAT5PATHWAY	0.02	0.01	0.02	0.43	0.12
REACTOME_TRANSCRIPTIONAL_ACTIVITY_OF_SMAD2_SMAD3_SMAD4_HETEROTRIMER	0.14	0.18	0.09	0.07	0.12
KEGG_PHOSPHATIDYLINOSITOL_SIGNALING_SYSTEM	0.00	0.39	0.00	0.10	0.1225
BIOCARTA_RANMS_PATHWAY	0.09	0.26	0.05	0.09	0.1225
KEGG_NATURAL_KILLER_CELL_MEDIATED_CYTOTOXICITY	0.00	0.35	0.01	0.13	0.1225
SIG_PIP3_SIGNALING_IN_B_LYMPHOCYTES	0.01	0.46	0.01	0.01	0.1225
REACTOME_APOPTOTIC_CLEAVAGE_OF_CELL_ADHESION_PROTEINS	0.00	0.09	0.05	0.36	0.125
BIOCARTA_G1_PATHWAY	0.01	0.00	0.01	0.48	0.125
PID_PTP1BPATHWAY	0.01	0.45	0.01	0.04	0.1275
REACTOME_GOLGI_ASSOCIATED_VESICLE_BIOGENESIS	0.17	0.11	0.12	0.13	0.1325
KEGG_ENDOMETRIAL_CANCER	0.00	0.00	0.00	0.54	0.135
REACTOME_SIGNALING_BY_EGFR_IN_CANCER	0.01	0.01	0.00	0.53	0.1375
KEGG_PROSTATE_CANCER	0.00	0.00	0.00	0.55	0.1375
REACTOME_FORMATION_OF_THE_HIV1_EARLY_ELONGATION_COMPLEX	0.12	0.14	0.19	0.10	0.1375
PID_ERBB4_PATHWAY	0.02	0.42	0.01	0.11	0.14
KEGG_HEMATOPOIETIC_CELL_LINEAGE	0.26	0.03	0.25	0.02	0.14
REACTOME_FORMATION_OF_INCISION_COMPLEX_IN_GG_NER	0.08	0.31	0.11	0.06	0.14
REACTOME_NA_CL_DEPENDENT_NEUROTRANSMITTER_TRANSPORTERS	0.05	0.18	0.23	0.11	0.1425
PID_P73PATHWAY	0.09	0.38	0.04	0.07	0.145
KEGG_P53_SIGNALING_PATHWAY	0.00	0.00	0.00	0.59	0.1475
REACTOME_CELL_CELL_COMMUNICATION	0.00	0.04	0.00	0.56	0.15
REACTOME_SIGNALING_BY_ERBB2	0.00	0.03	0.00	0.57	0.15
KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_HEPARAN_SULFATE	0.12	0.08	0.11	0.31	0.155
