Gene Set	Basal	Her2	LumA	LumB	Normal	Average p-value
REACTOME_CELL_CYCLE	0.00	0.03	0.00	0.00	0.39	0.084
REACTOME_TERMINATION_OF_O_GLYCAN_BIOSYNTHESIS	0.48	0.00	0.00	0.00	0.00	0.096
REACTOME_SIGNALING_BY_FGFR_MUTANTS	0.00	0.47	0.00	0.04	0.00	0.102
PID_IL2_1PATHWAY	0.01	0.05	0.01	0.48	0.00	0.11
PID_INTEGRIN1_PATHWAY	0.01	0.46	0.04	0.04	0.01	0.112
PID_FANCONI_PATHWAY	0.04	0.01	0.02	0.06	0.50	0.126
KEGG_CELL_CYCLE	0.01	0.01	0.01	0.28	0.35	0.132
SIG_PIP3_SIGNALING_IN_B_LYMPHOCYTES	0.00	0.53	0.00	0.21	0.03	0.154
KEGG_WNT_SIGNALING_PATHWAY	0.00	0.00	0.00	0.23	0.54	0.154
REACTOME_NGF_SIGNALLING_VIA_TRKA_FROM_THE_PLASMA_MEMBRANE	0.00	0.08	0.00	0.21	0.52	0.162
PID_HEDGEHOG_2PATHWAY	0.00	0.00	0.00	0.55	0.27	0.164
REACTOME_L1CAM_INTERACTIONS	0.08	0.70	0.05	0.00	0.01	0.168
SIG_CHEMOTAXIS	0.00	0.01	0.00	0.73	0.14	0.176
PID_INTEGRIN3_PATHWAY	0.36	0.30	0.05	0.05	0.14	0.18
BIOCARTA_BLYMPHOCYTE_PATHWAY	0.19	0.32	0.17	0.19	0.04	0.182
PID_ERB_GENOMIC_PATHWAY	0.10	0.00	0.30	0.37	0.14	0.182
KEGG_PHOSPHATIDYLINOSITOL_SIGNALING_SYSTEM	0.01	0.31	0.01	0.31	0.29	0.186
BIOCARTA_DC_PATHWAY	0.33	0.11	0.11	0.40	0.00	0.19
REACTOME_FACTORS_INVOLVED_IN_MEGAKARYOCYTE_DEVELOPMENT_AND_PLATELET_PRODUCTION	0.01	0.01	0.01	0.51	0.41	0.19
ST_JNK_MAPK_PATHWAY	0.00	0.00	0.00	0.50	0.50	0.2
PID_HEDGEHOG_GLIPATHWAY	0.00	0.15	0.37	0.09	0.39	0.2
REACTOME_G_ALPHA_Q_SIGNALLING_EVENTS	0.00	0.58	0.00	0.20	0.23	0.202
REACTOME_VITAMIN_B5_PANTOTHENATE_METABOLISM	0.29	0.20	0.08	0.09	0.36	0.204
REACTOME_O_LINKED_GLYCOSYLATION_OF_MUCINS	0.03	0.64	0.01	0.35	0.00	0.206
REACTOME_IL_3_5_AND_GM_CSF_SIGNALING	0.00	0.01	0.00	0.08	0.95	0.208
PID_MYC_ACTIVPATHWAY	0.00	0.01	0.00	0.49	0.55	0.21
SA_PTEN_PATHWAY	0.00	0.66	0.00	0.40	0.00	0.212
PID_FCER1PATHWAY	0.01	0.32	0.01	0.08	0.66	0.216
PID_ECADHERIN_NASCENTAJ_PATHWAY	0.00	0.09	0.00	1.00	0.00	0.218
ST_ADRENERGIC	0.00	0.10	0.00	0.90	0.09	0.218
BIOCARTA_FCER1_PATHWAY	0.00	0.07	0.00	0.53	0.50	0.22
PID_P53DOWNSTREAMPATHWAY	0.00	0.00	0.00	0.29	0.82	0.222
REACTOME_NA_CL_DEPENDENT_NEUROTRANSMITTER_TRANSPORTERS	0.25	0.05	0.31	0.09	0.42	0.224
KEGG_FOCAL_ADHESION	0.00	0.31	0.00	0.47	0.34	0.224
