Gene Set	Basal	Her2	LumA	LumB	Average AUC
REACTOME_SIGNALING_BY_ERBB2	0.95480359	0.93767677	0.84398132	0.74392644	0.87009703
KEGG_NON_SMALL_CELL_LUNG_CANCER	0.96592593	0.91020202	0.84368343	0.75361305	0.8683561075
KEGG_PATHWAYS_IN_CANCER	0.95736251	0.92447811	0.85225975	0.72783520	0.8654838925
REACTOME_OPIOID_SIGNALLING	0.95473625	0.91872054	0.84652453	0.74131702	0.865324585
REACTOME_SIGNALING_BY_PDGF	0.95289562	0.92814815	0.84293528	0.72915695	0.863284
KEGG_PROSTATE_CANCER	0.95875421	0.93053872	0.84397732	0.71413631	0.86185164
REACTOME_DOWNSTREAM_SIGNAL_TRANSDUCTION	0.95606061	0.91515152	0.83906855	0.73657967	0.8617150875
KEGG_ERBB_SIGNALING_PATHWAY	0.96101010	0.92912458	0.83832794	0.71757317	0.8615089475
PID_ERBB2ERBB3PATHWAY	0.93696970	0.93057239	0.83500818	0.74250109	0.86126284
REACTOME_PI3K_EVENTS_IN_ERBB2_SIGNALING	0.94291807	0.94181818	0.82533504	0.73304726	0.8607796375
PID_FAK_PATHWAY	0.96060606	0.91175084	0.84248661	0.72696840	0.8604529775
REACTOME_METABOLISM_OF_AMINO_ACIDS_AND_DERIVATIVES	0.95462402	0.94659933	0.84516110	0.69291634	0.8598251975
PID_MYC_REPRESSPATHWAY	0.96252525	0.94070707	0.82967022	0.70365190	0.85913861
REACTOME_DEVELOPMENTAL_BIOLOGY	0.95620651	0.92090909	0.84420290	0.71467884	0.858999335
REACTOME_AXON_GUIDANCE	0.95584736	0.91336700	0.84880824	0.71647242	0.858623755
REACTOME_SIGNALING_BY_SCF_KIT	0.95346801	0.90562290	0.83540544	0.73735549	0.85796296
PID_RET_PATHWAY	0.94826038	0.91016835	0.84263292	0.72955840	0.8576550125
KEGG_CALCIUM_SIGNALING_PATHWAY	0.95806958	0.91383838	0.84115463	0.71408314	0.8567864325
KEGG_FOCAL_ADHESION	0.95567901	0.91740741	0.83872931	0.71366874	0.8563711175
PID_IL2_1PATHWAY	0.94463524	0.91622896	0.84023236	0.72274022	0.855959195
KEGG_ENDOMETRIAL_CANCER	0.95160494	0.89760943	0.84221464	0.72918462	0.8551534075
REACTOME_METABOLISM_OF_RNA	0.96063973	0.90767677	0.84391943	0.70714841	0.854846085
KEGG_JAK_STAT_SIGNALING_PATHWAY	0.95240180	0.87804714	0.84254202	0.74583010	0.854705265
REACTOME_CELL_CYCLE	0.96251403	0.88569024	0.84608536	0.72316090	0.8543626325
REACTOME_IMMUNE_SYSTEM	0.96017957	0.89107744	0.84652254	0.71794872	0.8539320675
REACTOME_SEMAPHORIN_INTERACTIONS	0.94199776	0.91720539	0.84261389	0.71169386	0.853377725
ST_INTEGRIN_SIGNALING_PATHWAY	0.95950617	0.93276094	0.84001278	0.68014116	0.8531052625
REACTOME_ADAPTIVE_IMMUNE_SYSTEM	0.96031425	0.89171717	0.84573602	0.71349391	0.8528153375
REACTOME_MITOTIC_G1_G1_S_PHASES	0.96303030	0.89973064	0.84101489	0.70466475	0.852110145
KEGG_ADHERENS_JUNCTION	0.95603816	0.92124579	0.84048988	0.68848096	0.8515636975
KEGG_BLADDER_CANCER	0.95303030	0.90309764	0.81706592	0.73269878	0.85147316
REACTOME_CELL_CYCLE_MITOTIC	0.96180696	0.88491582	0.84518505	0.71326729	0.85129378
REACTOME_HEMOSTASIS	0.96118967	0.89494949	0.83717012	0.71152551	0.8512086975
REACTOME_METABOLISM_OF_LIPIDS_AND_LIPOPROTEINS	0.95751964	0.89841751	0.84119655	0.70663041	0.8509410275
REACTOME_METABOLISM_OF_MRNA	0.96004489	0.90437710	0.83826207	0.70073168	0.850853935
REACTOME_HIV_INFECTION	0.95300786	0.90303030	0.84104683	0.70555556	0.8506601375
REACTOME_HOST_INTERACTIONS_OF_HIV_FACTORS	0.95216611	0.89457912	0.83855751	0.71688034	0.85054577
REACTOME_INFLUENZA_LIFE_CYCLE	0.96632997	0.88707071	0.83727991	0.70845636	0.8497842375
PID_ERBB4_PATHWAY	0.93996633	0.90835017	0.83294806	0.71722999	0.8496236375
REACTOME_S_PHASE	0.95239057	0.90158249	0.82713099	0.71702279	0.84953171
REACTOME_CLASS_I_MHC_MEDIATED_ANTIGEN_PROCESSING_PRESENTATION	0.95709315	0.91545455	0.83528167	0.68975889	0.849397065
KEGG_MAPK_SIGNALING_PATHWAY	0.95197531	0.86370370	0.84628099	0.73528231	0.8493105775
REACTOME_ANTIGEN_PROCESSING_UBIQUITINATION_PROTEASOME_DEGRADATION	0.95766554	0.91535354	0.83620702	0.68370888	0.848233745
REACTOME_TRANSMEMBRANE_TRANSPORT_OF_SMALL_MOLECULES	0.96352413	0.88060606	0.84090510	0.70666926	0.8479261375
REACTOME_APOPTOSIS	0.94873176	0.90360269	0.82872400	0.70807433	0.847283195
REACTOME_PROCESSING_OF_CAPPED_INTRON_CONTAINING_PRE_MRNA	0.95443322	0.87316498	0.84613127	0.71475634	0.8471214525
REACTOME_CELL_SURFACE_INTERACTIONS_AT_THE_VASCULAR_WALL	0.95560045	0.89202020	0.83075618	0.70876716	0.8467859975
REACTOME_CELL_CYCLE_CHECKPOINTS	0.94613917	0.90208754	0.83059448	0.70789303	0.846678555
KEGG_PANCREATIC_CANCER	0.93409652	0.91602694	0.82282309	0.71301476	0.8464903275
REACTOME_MRNA_PROCESSING	0.95886644	0.87121212	0.84834511	0.70673401	0.84628942
REACTOME_SIGNALING_BY_ERBB4	0.95139169	0.87929293	0.84109873	0.71272339	0.846126685
REACTOME_SIGNALLING_BY_NGF	0.95497194	0.87113356	0.83309378	0.72446905	0.8459170825
REACTOME_NGF_SIGNALLING_VIA_TRKA_FROM_THE_PLASMA_MEMBRANE	0.95693603	0.86757576	0.83295205	0.72601010	0.845868485
PID_CXCR4_PATHWAY	0.96212121	0.85356902	0.83533158	0.73165631	0.84566953
