Gene Set	Basal	Her2	LumA	LumB	Average p-value
KEGG_GRAFT_VERSUS_HOST_DISEASE	0.00	0.07	0.01	0.15	0.0575
BIOCARTA_TCYTOTOXIC_PATHWAY	0.00	0.03	0.06	0.28	0.0925
KEGG_RENIN_ANGIOTENSIN_SYSTEM	0.16	0.06	0.07	0.09	0.095
REACTOME_DIGESTION_OF_DIETARY_CARBOHYDRATE	0.00	0.14	0.29	0.01	0.11
KEGG_NEUROACTIVE_LIGAND_RECEPTOR_INTERACTION	0.02	0.10	0.07	0.29	0.12
KEGG_DRUG_METABOLISM_CYTOCHROME_P450	0.06	0.07	0.20	0.18	0.1275
KEGG_VIRAL_MYOCARDITIS	0.14	0.05	0.15	0.20	0.135
REACTOME_FGFR4_LIGAND_BINDING_AND_ACTIVATION	0.16	0.20	0.06	0.13	0.1375
REACTOME_G_ALPHA_I_SIGNALLING_EVENTS	0.01	0.07	0.30	0.21	0.1475
REACTOME_NUCLEOTIDE_LIKE_PURINERGIC_RECEPTORS	0.16	0.03	0.15	0.25	0.1475
KEGG_ALLOGRAFT_REJECTION	0.03	0.06	0.04	0.47	0.15
PID_INTEGRIN2_PATHWAY	0.01	0.18	0.18	0.25	0.155
BIOCARTA_MONOCYTE_PATHWAY	0.16	0.10	0.25	0.11	0.155
PID_INTEGRIN4_PATHWAY	0.22	0.06	0.34	0.01	0.1575
REACTOME_G_ALPHA_Q_SIGNALLING_EVENTS	0.12	0.00	0.37	0.15	0.16
KEGG_ECM_RECEPTOR_INTERACTION	0.03	0.30	0.28	0.03	0.16
KEGG_INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION	0.01	0.06	0.17	0.41	0.1625
BIOCARTA_GRANULOCYTES_PATHWAY	0.02	0.14	0.47	0.09	0.18
REACTOME_LIPID_DIGESTION_MOBILIZATION_AND_TRANSPORT	0.06	0.51	0.15	0.02	0.185
KEGG_METABOLISM_OF_XENOBIOTICS_BY_CYTOCHROME_P450	0.05	0.17	0.15	0.40	0.1925
KEGG_MATURITY_ONSET_DIABETES_OF_THE_YOUNG	0.01	0.11	0.29	0.37	0.195
REACTOME_GASTRIN_CREB_SIGNALLING_PATHWAY_VIA_PKC_AND_MAPK	0.03	0.00	0.62	0.17	0.205
REACTOME_EICOSANOID_LIGAND_BINDING_RECEPTORS	0.02	0.23	0.27	0.30	0.205
REACTOME_FGFR2C_LIGAND_BINDING_AND_ACTIVATION	0.33	0.38	0.06	0.05	0.205
BIOCARTA_THELPER_PATHWAY	0.01	0.05	0.06	0.72	0.21
KEGG_TYPE_I_DIABETES_MELLITUS	0.01	0.13	0.17	0.53	0.21
REACTOME_BETA_DEFENSINS	0.00	0.42	0.25	0.17	0.21
REACTOME_CLASS_A1_RHODOPSIN_LIKE_RECEPTORS	0.06	0.04	0.28	0.50	0.22
REACTOME_SIGNALING_BY_FGFR3_MUTANTS	0.30	0.28	0.04	0.27	0.2225
BIOCARTA_LYM_PATHWAY	0.03	0.36	0.43	0.08	0.225
REACTOME_REGULATION_OF_GENE_EXPRESSION_IN_BETA_CELLS	0.07	0.23	0.06	0.55	0.2275
KEGG_CELL_ADHESION_MOLECULES_CAMS	0.39	0.05	0.01	0.46	0.2275
REACTOME_HDL_MEDIATED_LIPID_TRANSPORT	0.03	0.63	0.22	0.04	0.23
REACTOME_NA_CL_DEPENDENT_NEUROTRANSMITTER_TRANSPORTERS	0.00	0.43	0.27	0.23	0.2325
REACTOME_PASSIVE_TRANSPORT_BY_AQUAPORINS	0.17	0.14	0.12	0.50	0.2325
REACTOME_SIGNALING_BY_ACTIVATED_POINT_MUTANTS_OF_FGFR1	0.33	0.27	0.24	0.09	0.2325
REACTOME_REGULATION_OF_BETA_CELL_DEVELOPMENT	0.04	0.22	0.18	0.51	0.2375
KEGG_CALCIUM_SIGNALING_PATHWAY	0.24	0.06	0.20	0.45	0.2375
REACTOME_CELL_SURFACE_INTERACTIONS_AT_THE_VASCULAR_WALL	0.33	0.23	0.24	0.16	0.24
KEGG_COMPLEMENT_AND_COAGULATION_CASCADES	0.09	0.10	0.29	0.49	0.2425
PID_ATF2_PATHWAY	0.09	0.22	0.22	0.44	0.2425
