Gene Set	BLCA	BRCA	COAD	GBM	HNSC	KIRC	LAML	LUAD	LUSC	OV	READ	UCEC	Average AUC
REACTOME_METABOLISM_OF_PROTEINS	0.98000000	0.99476502	0.98962091	0.99494949	0.99364961	0.99477756	0.99489008	0.98999858	0.98549128	0.99494949	0.97905724	0.99485812	0.990583948333
REACTOME_IMMUNE_SYSTEM	0.98448166	0.99481429	0.98810780	0.99494949	0.99278854	0.99475607	0.99494949	0.99056765	0.98218549	0.99479703	0.97829726	0.99461462	0.990442449167
REACTOME_ADAPTIVE_IMMUNE_SYSTEM	0.98240829	0.99466647	0.98773975	0.99489008	0.99335486	0.99462712	0.99494949	0.98925879	0.98356290	0.99487326	0.97882636	0.99461371	0.990314256667
REACTOME_METABOLISM_OF_MRNA	0.97467836	0.99429789	0.98936327	0.99477124	0.99418612	0.99424028	0.99489008	0.98712477	0.98604224	0.99494949	0.98033670	0.99482797	0.989975700833
REACTOME_METABOLISM_OF_RNA	0.97529506	0.99432283	0.98952139	0.99489008	0.99405310	0.99426177	0.99489008	0.98755157	0.98553719	0.99494949	0.97959596	0.99473706	0.989967131667
REACTOME_GENERIC_TRANSCRIPTION_PATHWAY	0.97551302	0.99486342	0.98741804	0.99476584	0.99244301	0.99488502	0.99494949	0.99042538	0.98108356	0.99476103	0.97979798	0.99443234	0.989611510833
REACTOME_CELL_CYCLE	0.97402446	0.99464251	0.98795104	0.99489008	0.99348126	0.99406834	0.99494949	0.98994167	0.98076217	0.99491138	0.97966330	0.99488919	0.989514574167
REACTOME_HEMOSTASIS	0.98200957	0.99456808	0.98756799	0.99494949	0.99185406	0.99469160	0.99494949	0.98883198	0.97805326	0.99468550	0.97751804	0.99406731	0.989478864167
REACTOME_SIGNALLING_BY_NGF	0.97795853	0.99470358	0.98820186	0.99494949	0.99235304	0.99462712	0.99494949	0.98920188	0.98025712	0.99456832	0.97925926	0.99241807	0.98945398
REACTOME_CELL_CYCLE_MITOTIC	0.97368953	0.99458092	0.98857264	0.99489008	0.99324667	0.99378895	0.99494949	0.98931569	0.98122130	0.99483514	0.97935546	0.99473660	0.9894318725
REACTOME_METABOLISM_OF_CARBOHYDRATES	0.98136098	0.99450626	0.98757071	0.99488828	0.99119004	0.99471309	0.99489008	0.98817755	0.97502296	0.99442080	0.98178932	0.99461462	0.989428724167
REACTOME_METABOLISM_OF_LIPIDS_AND_LIPOPROTEINS	0.97538012	0.99466677	0.98811189	0.99482706	0.99214991	0.99484204	0.99494949	0.99005548	0.97878788	0.99449209	0.97914382	0.99443142	0.989319830833
REACTOME_TRANSLATION	0.98088251	0.99362270	0.98840360	0.99405103	0.99421869	0.99323017	0.99477124	0.97836108	0.98686869	0.99494949	0.97759500	0.99479782	0.989312668333
REACTOME_CLASS_I_MHC_MEDIATED_ANTIGEN_PROCESSING_PRESENTATION	0.97288145	0.99445691	0.98752028	0.99482706	0.99265386	0.99372448	0.99494949	0.98931569	0.98092588	0.99475962	0.98132756	0.99434142	0.989306975
REACTOME_ANTIGEN_PROCESSING_UBIQUITINATION_PROTEASOME_DEGRADATION	0.97228070	0.99445736	0.98773702	0.99488828	0.99245736	0.99359553	0.99494949	0.98905961	0.98067034	0.99479703	0.98161616	0.99422219	0.989227589167
REACTOME_APOPTOSIS	0.97362041	0.99422428	0.98756662	0.99464340	0.99321632	0.99479905	0.99494949	0.98766539	0.98131313	0.99487397	0.97890332	0.99416188	0.989161438333
REACTOME_MEMBRANE_TRAFFICKING	0.97613503	0.99374379	0.98877847	0.99476584	0.99268422	0.99490651	0.99494949	0.98584436	0.97947658	0.99472150	0.98011544	0.99349305	0.989134523333
REACTOME_DEVELOPMENTAL_BIOLOGY	0.97380649	0.99464199	0.98840906	0.99470462	0.99168626	0.99454116	0.99494949	0.98800683	0.97842057	0.99446033	0.98113516	0.99367259	0.9890362125
REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM	0.97572036	0.99458099	0.98794831	0.99477124	0.99135563	0.99479905	0.99494949	0.99105136	0.97961433	0.99472079	0.97502646	0.99382518	0.989030265833
KEGG_UBIQUITIN_MEDIATED_PROTEOLYSIS	0.97465178	0.99389109	0.98856855	0.99476584	0.99228404	0.99393939	0.99494949	0.98888889	0.97594123	0.99464668	0.98048100	0.99458401	0.988965999167
KEGG_OOCYTE_MEIOSIS	0.97560872	0.99454374	0.98752573	0.99488828	0.99295027	0.99436922	0.99494949	0.98974250	0.97396694	0.99468550	0.98021193	0.99403762	0.988956661667
