Gene Set	Basal	Her2	LumA	LumB	Normal	Average AUC
BIOCARTA_ARF_PATHWAY	0.81167662	0.73736323	0.74690944	0.47876686	0.54422688	0.663788606
KEGG_CELL_CYCLE	0.75662200	0.70493752	0.73027095	0.48960648	0.60613496	0.657514382
KEGG_GLIOMA	0.81416855	0.71628223	0.72948580	0.46431848	0.55482600	0.655816212
KEGG_NEUROTROPHIN_SIGNALING_PATHWAY	0.77960387	0.70895227	0.73659509	0.51306154	0.53298664	0.654239882
PID_MYC_ACTIVPATHWAY	0.76925602	0.69934223	0.74720273	0.51781136	0.53189734	0.653101936
ST_FAS_SIGNALING_PATHWAY	0.78090099	0.71378648	0.74517120	0.45189311	0.56794996	0.651940348
ST_JNK_MAPK_PATHWAY	0.79894309	0.70079612	0.73876533	0.43363292	0.58108862	0.650645216
PID_P75NTRPATHWAY	0.80296687	0.70425505	0.71304245	0.46240113	0.56688709	0.649910518
KEGG_SMALL_CELL_LUNG_CANCER	0.79835016	0.71836545	0.73129055	0.46190943	0.51424088	0.644831294
BIOCARTA_CTCF_PATHWAY	0.81538291	0.68887140	0.73048758	0.46596931	0.52274709	0.644691658
KEGG_BASAL_CELL_CARCINOMA	0.75698533	0.70206506	0.72142670	0.49848060	0.53948117	0.643687772
KEGG_PANCREATIC_CANCER	0.81082053	0.76486891	0.74456064	0.50598673	0.38989402	0.643226166
REACTOME_CELL_CYCLE	0.72119397	0.67018963	0.69615522	0.51086093	0.61459000	0.64259795
KEGG_AMYOTROPHIC_LATERAL_SCLEROSIS_ALS	0.76569904	0.69897920	0.73021368	0.47070085	0.54263080	0.641644714
PID_P53REGULATIONPATHWAY	0.75270187	0.71595141	0.73387892	0.47270374	0.53100817	0.641248822
KEGG_MAPK_SIGNALING_PATHWAY	0.70795349	0.61726728	0.72923693	0.54364524	0.60473143	0.640566874
BIOCARTA_G1_PATHWAY	0.76032656	0.69750377	0.72003185	0.50166808	0.51739597	0.639385246
PID_BARD1PATHWAY	0.77534608	0.69361434	0.71866249	0.48652614	0.51302368	0.637434546
REACTOME_PRE_NOTCH_EXPRESSION_AND_PROCESSING	0.75134695	0.71724834	0.72190502	0.47296026	0.52030051	0.636752216
REACTOME_PRE_NOTCH_TRANSCRIPTION_AND_TRANSLATION	0.75753564	0.70502651	0.72711723	0.46303636	0.52175076	0.6348933
KEGG_HUNTINGTONS_DISEASE	0.76612968	0.68889488	0.71766205	0.47445524	0.52678515	0.6347854
KEGG_APOPTOSIS	0.80450212	0.71256114	0.74608797	0.49692639	0.41291366	0.634598256
PID_AURORA_A_PATHWAY	0.76614539	0.70545636	0.73284253	0.45812616	0.50967071	0.63444823
KEGG_WNT_SIGNALING_PATHWAY	0.71881571	0.67696628	0.73022872	0.42492962	0.61831855	0.633851776
KEGG_CHRONIC_MYELOID_LEUKEMIA	0.76726262	0.69797014	0.73094117	0.48797263	0.47569429	0.63196817
KEGG_THYROID_CANCER	0.75367260	0.70736668	0.69678382	0.48148908	0.50670224	0.629202884
KEGG_COLORECTAL_CANCER	0.78646585	0.73444747	0.74595899	0.46944296	0.40328219	0.627919492
REACTOME_P53_DEPENDENT_G1_DNA_DAMAGE_RESPONSE	0.74905042	0.70415392	0.71247928	0.46219501	0.50986855	0.627549436
REACTOME_AUTODEGRADATION_OF_THE_E3_UBIQUITIN_LIGASE_COP1	0.75050239	0.70082298	0.70302170	0.46881576	0.50981307	0.62659518
PID_HDAC_CLASSIII_PATHWAY	0.77391935	0.71438672	0.72338005	0.46878914	0.45013623	0.626122298
KEGG_MELANOMA	0.81659902	0.73702515	0.73826024	0.44375327	0.39357448	0.625842432
KEGG_P53_SIGNALING_PATHWAY	0.76540015	0.72593639	0.72588172	0.47925910	0.42931549	0.62515857
KEGG_NON_SMALL_CELL_LUNG_CANCER	0.81927991	0.69087875	0.72122567	0.50648341	0.38020147	0.623613842
BIOCARTA_PML_PATHWAY	0.76433492	0.71329682	0.72631021	0.45591869	0.45784368	0.623540864
BIOCARTA_TID_PATHWAY	0.76029153	0.71439232	0.73100671	0.46005369	0.45114582	0.623378014
REACTOME_CELL_CYCLE_CHECKPOINTS	0.74450590	0.71735102	0.72247599	0.51245319	0.41053906	0.621465032
KEGG_BLADDER_CANCER	0.76772774	0.70611145	0.72989804	0.44750337	0.44813559	0.619875238
REACTOME_INTRINSIC_PATHWAY_FOR_APOPTOSIS	0.77312742	0.70152511	0.72376906	0.46481903	0.43407627	0.619463378
PID_AP1_PATHWAY	0.76577889	0.71236033	0.71736866	0.51908594	0.37953604	0.618825972
BIOCARTA_ATRBRCA_PATHWAY	0.76646490	0.69081350	0.73950272	0.50153223	0.39569005	0.61880068
PID_HIF1APATHWAY	0.74957009	0.71070120	0.72217837	0.45372359	0.45181138	0.617596926
REACTOME_SIGNALING_BY_NOTCH	0.74549735	0.63987463	0.72725286	0.46519342	0.50868844	0.61730134
BIOCARTA_RB_PATHWAY	0.76375175	0.70846614	0.72010350	0.50222376	0.38966930	0.61684289
BIOCARTA_G2_PATHWAY	0.76153200	0.71953418	0.72427034	0.48364411	0.39436390	0.616668906
BIOCARTA_P53HYPOXIA_PATHWAY	0.76331012	0.72483649	0.72451259	0.47233496	0.39825834	0.6166505
REACTOME_FACTORS_INVOLVED_IN_MEGAKARYOCYTE_DEVELOPMENT_AND_PLATELET_PRODUCTION	0.75864737	0.69104929	0.71922102	0.45959495	0.44837174	0.615376874
PID_P53DOWNSTREAMPATHWAY	0.75767393	0.72765707	0.76443430	0.48765839	0.32266164	0.612017066
SA_PTEN_PATHWAY	0.68043012	0.52972146	0.60363844	0.49611251	0.74859470	0.611699446
BIOCARTA_TEL_PATHWAY	0.77294304	0.70555349	0.72777862	0.50958450	0.33970141	0.611112212
PID_P38ALPHABETADOWNSTREAMPATHWAY	0.75019301	0.69742453	0.71692564	0.46485678	0.42537662	0.610955316
KEGG_ENDOMETRIAL_CANCER	0.79405704	0.68119703	0.70861910	0.47006979	0.39956282	0.610701156
BIOCARTA_ATM_PATHWAY	0.75370111	0.71223522	0.72011300	0.47530766	0.39201297	0.610673992
PID_LKB1_PATHWAY	0.76265429	0.69163236	0.72249627	0.46868187	0.40436672	0.609966302
REACTOME_APOPTOSIS	0.77675085	0.68435079	0.72584137	0.46701012	0.38889361	0.608569348
BIOCARTA_CHEMICAL_PATHWAY	0.76190042	0.69931714	0.71965584	0.46558865	0.39591850	0.60847611
BIOCARTA_P53_PATHWAY	0.75506314	0.71294948	0.72203762	0.46334635	0.38868055	0.608415428
BIOCARTA_RNA_PATHWAY	0.76466165	0.71021847	0.72031504	0.49048545	0.34573390	0.606282902
REACTOME_SIGNALING_BY_FGFR1_MUTANTS	0.65994630	0.51002709	0.59421248	0.51107175	0.75029419	0.605110362
SIG_CHEMOTAXIS	0.68968916	0.57221816	0.61014126	0.50274442	0.64624812	0.604208224
PID_REG_GR_PATHWAY	0.75394239	0.72424021	0.73083593	0.46158568	0.35007387	0.604135616
SIG_PIP3_SIGNALING_IN_B_LYMPHOCYTES	0.67020055	0.53029697	0.60437054	0.53717735	0.66677867	0.601764816
ST_INTERLEUKIN_4_PATHWAY	0.67722512	0.51211528	0.60040488	0.50494515	0.71060276	0.601058638
KEGG_PROSTATE_CANCER	0.81154038	0.69420052	0.75175805	0.43102733	0.31628155	0.600961566
SA_G1_AND_S_PHASES	0.76526105	0.70356925	0.72149323	0.47024962	0.34037553	0.600189736
BIOCARTA_CXCR4_PATHWAY	0.64976945	0.51417465	0.59844273	0.48874109	0.74651570	0.599528724
BIOCARTA_MET_PATHWAY	0.65615739	0.52568136	0.59564148	0.47400735	0.73909451	0.598116418
BIOCARTA_NKCELLS_PATHWAY	0.65451206	0.50382478	0.58849133	0.49054174	0.75098488	0.597670958
REACTOME_SIGNALING_BY_FGFR1_FUSION_MUTANTS	0.65172236	0.51490845	0.58999507	0.48231697	0.74716638	0.597221846
KEGG_PATHWAYS_IN_CANCER	0.72769189	0.63302350	0.73322650	0.50837181	0.38377161	0.597217062
REACTOME_ACTIVATION_OF_BH3_ONLY_PROTEINS	0.76823476	0.69696029	0.72668106	0.45904100	0.33301392	0.596786206
BIOCARTA_ACH_PATHWAY	0.66808028	0.51151949	0.60740205	0.48473168	0.71129863	0.596606426
REACTOME_METABOLISM_OF_PROTEINS	0.61353573	0.62656545	0.62114865	0.54208933	0.57719639	0.59610711
PID_FGF_PATHWAY	0.70372010	0.49890347	0.64340870	0.47332753	0.66107153	0.596086266
PID_VEGFR1_2_PATHWAY	0.65974621	0.47521150	0.60336803	0.52189129	0.71936145	0.595915696
BIOCARTA_IL7_PATHWAY	0.65329114	0.49399807	0.58789420	0.53090930	0.71304307	0.595827156
PID_ECADHERIN_NASCENTAJ_PATHWAY	0.69676604	0.53091072	0.62707628	0.45409248	0.66756134	0.595281372
PID_PI3KPLCTRKPATHWAY	0.66569504	0.45432558	0.60499933	0.49512782	0.75187848	0.59440525
REACTOME_SIGNALING_BY_FGFR_MUTANTS	0.65537130	0.46924276	0.59378704	0.49962740	0.74546943	0.592699586
SIG_CD40PATHWAYMAP	0.67780918	0.48113228	0.60246771	0.51907668	0.67710395	0.59151796
KEGG_CHEMOKINE_SIGNALING_PATHWAY	0.65662079	0.50942005	0.60411761	0.51419069	0.65571660	0.588013148
PID_TRAIL_PATHWAY	0.69604297	0.43364891	0.63006471	0.49287801	0.68266304	0.587059528
PID_AVB3_OPN_PATHWAY	0.67173480	0.40743028	0.60986781	0.47238337	0.77018454	0.58632016
REACTOME_GPCR_DOWNSTREAM_SIGNALING	0.66770922	0.62758188	0.67553245	0.50256045	0.45184656	0.585046112
KEGG_OLFACTORY_TRANSDUCTION	0.60963905	0.59567495	0.61342534	0.48079077	0.62337222	0.584580466
PID_LYMPHANGIOGENESIS_PATHWAY	0.68605644	0.49099949	0.60770492	0.49956628	0.63670891	0.584207208
BIOCARTA_EGF_PATHWAY	0.69613587	0.48246544	0.61984954	0.46956560	0.65194596	0.583992482
PID_HEDGEHOG_2PATHWAY	0.67403312	0.48813280	0.60765958	0.49473813	0.65473378	0.583859482
PID_CXCR4_PATHWAY	0.65919774	0.66411350	0.57973539	0.47927790	0.53616608	0.583698122
BIOCARTA_INSULIN_PATHWAY	0.65315123	0.55364675	0.59301177	0.50716993	0.61112095	0.583620126
PID_NEPHRIN_NEPH1_PATHWAY	0.67972536	0.52374314	0.60669406	0.48791081	0.61897131	0.583408936
PID_ERBB1_RECEPTOR_PROXIMAL_PATHWAY	0.66792682	0.53879913	0.58873390	0.53648038	0.58467779	0.583323604
REACTOME_CELL_CELL_COMMUNICATION	0.64779726	0.52527714	0.67274808	0.48316152	0.58650123	0.583097046
REACTOME_NEURONAL_SYSTEM	0.50283367	0.49346870	0.66247030	0.60384801	0.65209841	0.582943818
REACTOME_IL_2_SIGNALING	0.63085000	0.48764189	0.59123965	0.47341836	0.73072822	0.582775624
PID_NFKAPPABATYPICALPATHWAY	0.65870663	0.55430973	0.59422551	0.48165810	0.61981137	0.581742268
ST_DIFFERENTIATION_PATHWAY_IN_PC12_CELLS	0.66614418	0.51872789	0.60465178	0.49316664	0.62526383	0.581590864
