Gene Set	Basal	Her2	LumA	LumB	Average AUC
KEGG_NEUROACTIVE_LIGAND_RECEPTOR_INTERACTION	0.98296602	0.89424804	0.86648822	0.80102496	0.88618181
REACTOME_GPCR_DOWNSTREAM_SIGNALING	0.98351699	0.90342312	0.86226936	0.79282531	0.885508695
REACTOME_G_ALPHA_Q_SIGNALLING_EVENTS	0.97849709	0.91069024	0.85056566	0.80228015	0.885508285
REACTOME_GPCR_LIGAND_BINDING	0.98171105	0.90670595	0.85808418	0.79497853	0.8853699275
REACTOME_CLASS_A1_RHODOPSIN_LIKE_RECEPTORS	0.98195592	0.90207632	0.86147475	0.79495692	0.8851159775
REACTOME_GASTRIN_CREB_SIGNALLING_PATHWAY_VIA_PKC_AND_MAPK	0.98088460	0.91254209	0.84511111	0.80181156	0.88508734
REACTOME_SIGNALING_BY_GPCR	0.98120600	0.90325477	0.85751852	0.79780154	0.8849452075
KEGG_BLADDER_CANCER	0.96767677	0.91186869	0.83123569	0.81952614	0.8825768225
KEGG_PATHWAYS_IN_CANCER	0.97947658	0.89830374	0.84275421	0.80939542	0.8824824875
REACTOME_AXON_GUIDANCE	0.97762473	0.92856341	0.85276094	0.76974491	0.8821734975
REACTOME_G_ALPHA_I_SIGNALLING_EVENTS	0.98265993	0.89118967	0.85359933	0.79973127	0.88179505
REACTOME_DEVELOPMENTAL_BIOLOGY	0.97702785	0.92025814	0.85293786	0.77344029	0.880916035
KEGG_NON_SMALL_CELL_LUNG_CANCER	0.95503520	0.91299102	0.82423814	0.82992424	0.88054715
KEGG_CALCIUM_SIGNALING_PATHWAY	0.97603306	0.89570707	0.85621212	0.78880651	0.87918969
KEGG_CELL_ADHESION_MOLECULES_CAMS	0.97193144	0.88350168	0.87160943	0.78679171	0.878458565
REACTOME_HEMOSTASIS	0.97715029	0.88605499	0.85574747	0.79188813	0.87771022
REACTOME_PEPTIDE_LIGAND_BINDING_RECEPTORS	0.98071625	0.88616723	0.85456902	0.78178847	0.8758102425
KEGG_FOCAL_ADHESION	0.97917049	0.89997194	0.81569024	0.80343137	0.87456601
KEGG_CYTOKINE_CYTOKINE_RECEPTOR_INTERACTION	0.98022651	0.89074074	0.85653535	0.76572341	0.8733065025
REACTOME_ADAPTIVE_IMMUNE_SYSTEM	0.97491582	0.85987654	0.84964310	0.80782086	0.87306408
KEGG_VIRAL_MYOCARDITIS	0.97444138	0.87772166	0.84419716	0.79568479	0.8730112475
REACTOME_SEMAPHORIN_INTERACTIONS	0.96493029	0.93737374	0.81446465	0.77031343	0.8717705275
REACTOME_TRANSMEMBRANE_TRANSPORT_OF_SMALL_MOLECULES	0.97183961	0.86198092	0.85907407	0.79015894	0.870763385
REACTOME_METABOLISM_OF_LIPIDS_AND_LIPOPROTEINS	0.97369146	0.87160494	0.84065993	0.79160050	0.8693892075
REACTOME_IMMUNE_SYSTEM	0.97819100	0.85889450	0.84243740	0.79699198	0.86912872
KEGG_PROSTATE_CANCER	0.95737680	0.89211560	0.82343434	0.79883393	0.8679401675
REACTOME_BIOLOGICAL_OXIDATIONS	0.97535966	0.85704265	0.85243098	0.78253862	0.8668429775
KEGG_ECM_RECEPTOR_INTERACTION	0.98022651	0.83030303	0.83841751	0.81827094	0.8668044975
PID_P53DOWNSTREAMPATHWAY	0.97950719	0.83451178	0.85556566	0.79340463	0.865747315
KEGG_LEUKOCYTE_TRANSENDOTHELIAL_MIGRATION	0.97464034	0.85022447	0.82501010	0.81135148	0.8653065975
KEGG_CHEMOKINE_SIGNALING_PATHWAY	0.97408938	0.87553311	0.81189562	0.79907903	0.865149285
REACTOME_SIGNALING_BY_PDGF	0.96893174	0.88992705	0.81053872	0.79113191	0.865132355
KEGG_PANCREATIC_CANCER	0.96498316	0.85241302	0.81839639	0.82276441	0.864639245
KEGG_DILATED_CARDIOMYOPATHY	0.97167126	0.83487654	0.84986930	0.80152258	0.86448492
KEGG_DRUG_METABOLISM_CYTOCHROME_P450	0.97251301	0.85297419	0.84016162	0.78971331	0.8638405325
REACTOME_METABOLISM_OF_AMINO_ACIDS_AND_DERIVATIVES	0.96704928	0.88198653	0.83054209	0.77475490	0.8635832
REACTOME_CELL_SURFACE_INTERACTIONS_AT_THE_VASCULAR_WALL	0.97168656	0.84433221	0.83972727	0.79832753	0.8635183925
KEGG_REGULATION_OF_ACTIN_CYTOSKELETON	0.97310989	0.86964085	0.80962963	0.80145573	0.863459025
REACTOME_MITOTIC_G1_G1_S_PHASES	0.94719927	0.86130752	0.85656566	0.78628194	0.8628385975
PID_ATF2_PATHWAY	0.97741047	0.84786756	0.84184512	0.78336304	0.8626215475
REACTOME_NEURONAL_SYSTEM	0.97249770	0.82320426	0.85450168	0.79954626	0.862437475
PID_BETACATENIN_NUC_PATHWAY	0.95803489	0.85395623	0.84967371	0.78741155	0.862269095
REACTOME_NEUROTRANSMITTER_RECEPTOR_BINDING_AND_DOWNSTREAM_TRANSMISSION_IN_THE_POSTSYNAPTIC_CELL	0.96939088	0.81374860	0.85282553	0.81151961	0.861871155
PID_A6B1_A6B4_INTEGRIN_PATHWAY	0.96527395	0.91663861	0.78356902	0.77718360	0.860666295
REACTOME_G_ALPHA_S_SIGNALLING_EVENTS	0.97382920	0.84657688	0.84311448	0.77853400	0.86051364
REACTOME_NCAM_SIGNALING_FOR_NEURITE_OUT_GROWTH	0.96533517	0.85617284	0.85918519	0.76076203	0.8603638075
KEGG_MELANOMA	0.96355984	0.85460157	0.80918855	0.81097742	0.859581845
KEGG_MAPK_SIGNALING_PATHWAY	0.98065504	0.84755892	0.81545852	0.79307716	0.85918741
REACTOME_POTASSIUM_CHANNELS	0.97145699	0.83226712	0.85704040	0.77474747	0.858877995
KEGG_GRAFT_VERSUS_HOST_DISEASE	0.98328742	0.82435466	0.84665657	0.78070410	0.8587506875
KEGG_AXON_GUIDANCE	0.97837466	0.83367003	0.85353597	0.76616904	0.857937425
PID_MYC_REPRESSPATHWAY	0.97234466	0.88010662	0.81312121	0.76541889	0.857747845
REACTOME_APOPTOSIS	0.97194674	0.82073513	0.85990909	0.77207368	0.85616616
KEGG_WNT_SIGNALING_PATHWAY	0.97017141	0.85645342	0.82272054	0.77466442	0.8560024475
REACTOME_CELL_CYCLE	0.96648301	0.81203704	0.85745455	0.78786393	0.8559596325
KEGG_PURINE_METABOLISM	0.96795225	0.83726150	0.82790331	0.78979501	0.8557280175
KEGG_HEMATOPOIETIC_CELL_LINEAGE	0.97589532	0.81481481	0.83433333	0.79496435	0.8550019525
KEGG_SMALL_CELL_LUNG_CANCER	0.96616162	0.82210999	0.82814141	0.80332131	0.8549335825
KEGG_INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION	0.98296602	0.84267677	0.82883532	0.76466402	0.8547855325
REACTOME_PLATELET_ACTIVATION_SIGNALING_AND_AGGREGATION	0.97239057	0.84407969	0.79795960	0.80357249	0.8545005875
KEGG_COLORECTAL_CANCER	0.97144169	0.82497194	0.83019529	0.79049317	0.8542755225
KEGG_COMPLEMENT_AND_COAGULATION_CASCADES	0.97148760	0.84295735	0.83468350	0.76670380	0.8539580625
REACTOME_CLASS_I_MHC_MEDIATED_ANTIGEN_PROCESSING_PRESENTATION	0.96114172	0.82065095	0.84219529	0.79180036	0.85394708
KEGG_METABOLISM_OF_XENOBIOTICS_BY_CYTOCHROME_P450	0.97392103	0.82772166	0.84130456	0.77115270	0.8535249875
REACTOME_METABOLISM_OF_CARBOHYDRATES	0.97353841	0.82196970	0.82957117	0.78837641	0.8533639225
REACTOME_INTEGRIN_CELL_SURFACE_INTERACTIONS	0.97682890	0.82112795	0.83879063	0.77399733	0.8526862025
KEGG_GLYCOLYSIS_GLUCONEOGENESIS	0.96310070	0.86415218	0.83361800	0.74837344	0.85231108
REACTOME_SLC_MEDIATED_TRANSMEMBRANE_TRANSPORT	0.96991123	0.81585297	0.84331313	0.78012613	0.852300865
PID_TELOMERASEPATHWAY	0.95433119	0.83824355	0.82438496	0.78783873	0.8511996075
KEGG_JAK_STAT_SIGNALING_PATHWAY	0.97428834	0.83063973	0.81360269	0.78581402	0.851086195
REACTOME_TRANSMISSION_ACROSS_CHEMICAL_SYNAPSES	0.96839608	0.78094837	0.84565657	0.80736780	0.850592205
KEGG_HYPERTROPHIC_CARDIOMYOPATHY_HCM	0.97415060	0.80168350	0.83180135	0.79285502	0.8501226175
REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION	0.97545148	0.78498878	0.87167677	0.76720750	0.8498311325
KEGG_ARRHYTHMOGENIC_RIGHT_VENTRICULAR_CARDIOMYOPATHY_ARVC	0.97076829	0.80443322	0.83403092	0.78957219	0.849701155
PID_AVB3_INTEGRIN_PATHWAY	0.96568717	0.81652637	0.83533670	0.78118687	0.8496842775
KEGG_ENDOMETRIAL_CANCER	0.93968473	0.88282828	0.78914815	0.78485591	0.8491292675
PID_HIF1_TFPATHWAY	0.97594123	0.85173962	0.80558780	0.76301990	0.8490721375
KEGG_TYPE_I_DIABETES_MELLITUS	0.97970615	0.82654321	0.82802020	0.76016043	0.8486074975
REACTOME_AQUAPORIN_MEDIATED_TRANSPORT	0.96293235	0.83841190	0.81925926	0.77319519	0.848449675
KEGG_GLUTATHIONE_METABOLISM	0.94603612	0.80280584	0.85265657	0.79069370	0.8480480575
REACTOME_SIGNALING_BY_ERBB2	0.94250077	0.89612795	0.79275421	0.76029412	0.8479192625
REACTOME_PHASE1_FUNCTIONALIZATION_OF_COMPOUNDS	0.96380471	0.84026375	0.81800673	0.76944444	0.8478799075
REACTOME_GABA_RECEPTOR_ACTIVATION	0.96267218	0.80648148	0.83390909	0.78813874	0.8478003725
REACTOME_CELL_CELL_COMMUNICATION	0.97627793	0.79593154	0.82593021	0.79300357	0.8477858125
REACTOME_NCAM1_INTERACTIONS	0.94644934	0.86380471	0.83663300	0.74293672	0.8474559425
PID_PDGFRBPATHWAY	0.96567187	0.85499439	0.81167340	0.75645425	0.8471984775
REACTOME_CELL_CYCLE_MITOTIC	0.95511172	0.80042088	0.84970285	0.78337047	0.84715148
PID_IL4_2PATHWAY	0.98419039	0.82317621	0.80087205	0.77855764	0.8466990725
REACTOME_GABA_B_RECEPTOR_ACTIVATION	0.95832568	0.80886644	0.81246036	0.80600119	0.8464134175
REACTOME_CHEMOKINE_RECEPTORS_BIND_CHEMOKINES	0.97381390	0.83193042	0.80925385	0.76960042	0.8461496475
REACTOME_ANTIGEN_PROCESSING_UBIQUITINATION_PROTEASOME_DEGRADATION	0.94820937	0.80799663	0.83534007	0.79273619	0.846070565
PID_SYNDECAN_1_PATHWAY	0.97946128	0.81874299	0.85931558	0.72623224	0.8459380225
REACTOME_S_PHASE	0.92790021	0.84694164	0.84575176	0.76273767	0.84583282
KEGG_ALLOGRAFT_REJECTION	0.96905418	0.82502806	0.83589562	0.75333482	0.84582817
REACTOME_L1CAM_INTERACTIONS	0.96132537	0.82749719	0.83071717	0.76298277	0.845630625
REACTOME_MUSCLE_CONTRACTION	0.95572391	0.81456229	0.81054209	0.80100267	0.84545774
KEGG_SYSTEMIC_LUPUS_ERYTHEMATOSUS	0.97806856	0.77766554	0.83351515	0.79180778	0.8452642575
REACTOME_LIPID_DIGESTION_MOBILIZATION_AND_TRANSPORT	0.97307928	0.77836700	0.83047475	0.79911616	0.8452592975
REACTOME_INNATE_IMMUNE_SYSTEM	0.97978268	0.83019080	0.81426936	0.75578512	0.84500699
PID_INTEGRIN1_PATHWAY	0.98198653	0.76074635	0.83856229	0.79774213	0.844759325
PID_ERA_GENOMIC_PATHWAY	0.95404040	0.86244006	0.81676523	0.74555110	0.8446991975
