Gene Set	Basal	Her2	LumA	LumB	Normal	Average p-value
KEGG_GRAFT_VERSUS_HOST_DISEASE	0.00	0.05	0.08	0.06	0.01	0.04
REACTOME_CLASS_A1_RHODOPSIN_LIKE_RECEPTORS	0.07	0.00	0.13	0.06	0.00	0.052
KEGG_VIRAL_MYOCARDITIS	0.06	0.02	0.07	0.11	0.07	0.066
PID_INTEGRIN2_PATHWAY	0.01	0.09	0.14	0.18	0.00	0.084
KEGG_INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION	0.01	0.01	0.10	0.30	0.01	0.086
KEGG_NEUROACTIVE_LIGAND_RECEPTOR_INTERACTION	0.02	0.12	0.14	0.11	0.04	0.086
BIOCARTA_TCYTOTOXIC_PATHWAY	0.00	0.01	0.05	0.24	0.16	0.092
BIOCARTA_THELPER_PATHWAY	0.02	0.04	0.05	0.29	0.14	0.108
REACTOME_PEPTIDE_LIGAND_BINDING_RECEPTORS	0.07	0.18	0.16	0.12	0.04	0.114
REACTOME_DIGESTION_OF_DIETARY_CARBOHYDRATE	0.01	0.14	0.12	0.04	0.27	0.116
BIOCARTA_EXTRINSIC_PATHWAY	0.05	0.06	0.21	0.25	0.04	0.122
KEGG_MATURITY_ONSET_DIABETES_OF_THE_YOUNG	0.02	0.09	0.17	0.33	0.01	0.124
REACTOME_REGULATION_OF_GENE_EXPRESSION_IN_BETA_CELLS	0.08	0.06	0.05	0.46	0.01	0.132
REACTOME_HDL_MEDIATED_LIPID_TRANSPORT	0.02	0.50	0.11	0.08	0.02	0.146
REACTOME_REGULATION_OF_BETA_CELL_DEVELOPMENT	0.01	0.11	0.05	0.55	0.02	0.148
REACTOME_INWARDLY_RECTIFYING_K_CHANNELS	0.23	0.08	0.17	0.27	0.02	0.154
REACTOME_FORMATION_OF_FIBRIN_CLOT_CLOTTING_CASCADE	0.17	0.08	0.17	0.22	0.14	0.156
KEGG_ALLOGRAFT_REJECTION	0.02	0.09	0.14	0.55	0.01	0.162
KEGG_CELL_ADHESION_MOLECULES_CAMS	0.61	0.01	0.00	0.01	0.22	0.17
BIOCARTA_MONOCYTE_PATHWAY	0.16	0.06	0.48	0.07	0.10	0.174
PID_INTEGRIN4_PATHWAY	0.17	0.04	0.18	0.00	0.48	0.174
REACTOME_CHEMOKINE_RECEPTORS_BIND_CHEMOKINES	0.09	0.06	0.34	0.31	0.08	0.176
REACTOME_GASTRIN_CREB_SIGNALLING_PATHWAY_VIA_PKC_AND_MAPK	0.18	0.05	0.51	0.15	0.01	0.18
KEGG_DRUG_METABOLISM_CYTOCHROME_P450	0.07	0.05	0.13	0.39	0.28	0.184
KEGG_TYPE_I_DIABETES_MELLITUS	0.03	0.06	0.39	0.43	0.01	0.184
KEGG_METABOLISM_OF_XENOBIOTICS_BY_CYTOCHROME_P450	0.03	0.11	0.06	0.49	0.24	0.186
REACTOME_GPCR_LIGAND_BINDING	0.15	0.04	0.60	0.13	0.01	0.186
BIOCARTA_AMI_PATHWAY	0.22	0.06	0.48	0.18	0.00	0.188
KEGG_RENIN_ANGIOTENSIN_SYSTEM	0.17	0.17	0.02	0.00	0.59	0.19
REACTOME_INHIBITION_OF_VOLTAGE_GATED_CA2_CHANNELS_VIA_GBETA_GAMMA_SUBUNITS	0.28	0.11	0.31	0.24	0.01	0.19
BIOCARTA_GRANULOCYTES_PATHWAY	0.03	0.16	0.48	0.07	0.22	0.192
REACTOME_G_ALPHA_Q_SIGNALLING_EVENTS	0.34	0.02	0.40	0.19	0.01	0.192
REACTOME_NUCLEOTIDE_LIKE_PURINERGIC_RECEPTORS	0.15	0.00	0.11	0.33	0.38	0.194
BIOCARTA_LYM_PATHWAY	0.05	0.20	0.55	0.07	0.11	0.196
REACTOME_CYTOCHROME_P450_ARRANGED_BY_SUBSTRATE_TYPE	0.10	0.26	0.26	0.19	0.20	0.202
BIOCARTA_BLYMPHOCYTE_PATHWAY	0.02	0.04	0.42	0.36	0.24	0.216
REACTOME_AMINE_LIGAND_BINDING_RECEPTORS	0.29	0.37	0.20	0.20	0.10	0.232
REACTOME_METABOLISM_OF_STEROID_HORMONES_AND_VITAMINS_A_AND_D	0.17	0.44	0.27	0.22	0.10	0.24
KEGG_COMPLEMENT_AND_COAGULATION_CASCADES	0.27	0.16	0.34	0.34	0.11	0.244
KEGG_AUTOIMMUNE_THYROID_DISEASE	0.27	0.18	0.45	0.31	0.04	0.25
KEGG_TASTE_TRANSDUCTION	0.60	0.11	0.17	0.13	0.24	0.25
REACTOME_BILE_SALT_AND_ORGANIC_ANION_SLC_TRANSPORTERS	0.31	0.13	0.10	0.66	0.06	0.252
REACTOME_BIOLOGICAL_OXIDATIONS	0.00	0.25	0.12	0.37	0.53	0.254
REACTOME_TANDEM_PORE_DOMAIN_POTASSIUM_CHANNELS	0.35	0.20	0.10	0.33	0.30	0.256
PID_SYNDECAN_1_PATHWAY	0.06	0.14	0.03	0.43	0.63	0.258
KEGG_LEUKOCYTE_TRANSENDOTHELIAL_MIGRATION	0.27	0.20	0.76	0.07	0.01	0.262
REACTOME_G_ALPHA_I_SIGNALLING_EVENTS	0.11	0.03	0.27	0.15	0.79	0.27
PID_IL12_STAT4PATHWAY	0.47	0.19	0.52	0.18	0.02	0.276
KEGG_ECM_RECEPTOR_INTERACTION	0.16	0.55	0.21	0.06	0.40	0.276
REACTOME_EICOSANOID_LIGAND_BINDING_RECEPTORS	0.04	0.17	0.23	0.16	0.81	0.282
REACTOME_GABA_B_RECEPTOR_ACTIVATION	0.62	0.06	0.61	0.05	0.08	0.284
REACTOME_GABA_RECEPTOR_ACTIVATION	0.76	0.17	0.26	0.15	0.08	0.284
REACTOME_LIPOPROTEIN_METABOLISM	0.01	0.75	0.39	0.27	0.02	0.288
REACTOME_COMMON_PATHWAY	0.13	0.20	0.40	0.68	0.04	0.29
PID_SYNDECAN_3_PATHWAY	0.66	0.06	0.30	0.43	0.01	0.292
REACTOME_OLFACTORY_SIGNALING_PATHWAY	0.38	0.70	0.10	0.18	0.10	0.292
REACTOME_PHASE_II_CONJUGATION	0.14	0.46	0.03	0.41	0.45	0.298
REACTOME_BETA_DEFENSINS	0.02	0.27	0.31	0.08	0.81	0.298
REACTOME_LATENT_INFECTION_OF_HOMO_SAPIENS_WITH_MYCOBACTERIUM_TUBERCULOSIS	0.63	0.09	0.14	0.06	0.57	0.298
BIOCARTA_INTRINSIC_PATHWAY	0.20	0.44	0.66	0.18	0.02	0.3
REACTOME_ACETYLCHOLINE_BINDING_AND_DOWNSTREAM_EVENTS	0.44	0.33	0.20	0.21	0.32	0.3
REACTOME_TERMINATION_OF_O_GLYCAN_BIOSYNTHESIS	0.49	0.14	0.64	0.12	0.11	0.3
REACTOME_DEFENSINS	0.20	0.67	0.50	0.09	0.07	0.306
REACTOME_REVERSIBLE_HYDRATION_OF_CARBON_DIOXIDE	0.57	0.05	0.03	0.54	0.34	0.306
REACTOME_IMMUNOREGULATORY_INTERACTIONS_BETWEEN_A_LYMPHOID_AND_A_NON_LYMPHOID_CELL	0.04	0.53	0.39	0.07	0.51	0.308
BIOCARTA_PLATELETAPP_PATHWAY	0.56	0.17	0.63	0.12	0.06	0.308
KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_KERATAN_SULFATE	0.35	0.06	0.25	0.66	0.22	0.308
REACTOME_LIPID_DIGESTION_MOBILIZATION_AND_TRANSPORT	0.09	0.31	0.33	0.49	0.32	0.308
REACTOME_NA_CL_DEPENDENT_NEUROTRANSMITTER_TRANSPORTERS	0.02	0.56	0.22	0.10	0.65	0.31
REACTOME_FGFR_LIGAND_BINDING_AND_ACTIVATION	0.50	0.46	0.32	0.26	0.02	0.312
REACTOME_GAMMA_CARBOXYLATION_TRANSPORT_AND_AMINO_TERMINAL_CLEAVAGE_OF_PROTEINS	0.13	0.99	0.26	0.12	0.06	0.312
REACTOME_FGFR4_LIGAND_BINDING_AND_ACTIVATION	0.26	0.21	0.01	0.08	1.00	0.312
REACTOME_FGFR2C_LIGAND_BINDING_AND_ACTIVATION	0.30	0.43	0.02	0.18	0.63	0.312
REACTOME_PASSIVE_TRANSPORT_BY_AQUAPORINS	0.16	0.18	0.02	0.44	0.77	0.314
REACTOME_GAP_JUNCTION_ASSEMBLY	0.15	0.36	0.10	0.27	0.72	0.32
REACTOME_STEROID_HORMONES	0.31	0.49	0.51	0.19	0.10	0.32
