Gene Set	Basal	Her2	LumA	LumB	Normal	Average p-value
REACTOME_PRE_NOTCH_EXPRESSION_AND_PROCESSING	0.00	0.07	0.08	0.16	0.02	0.066
SIG_CHEMOTAXIS	0.07	0.03	0.03	0.00	0.27	0.08
REACTOME_PYRIMIDINE_METABOLISM	0.05	0.19	0.06	0.15	0.00	0.09
REACTOME_APOBEC3G_MEDIATED_RESISTANCE_TO_HIV1_INFECTION	0.02	0.25	0.06	0.06	0.07	0.092
REACTOME_TGF_BETA_RECEPTOR_SIGNALING_ACTIVATES_SMADS	0.06	0.04	0.18	0.11	0.08	0.094
BIOCARTA_SKP2E2F_PATHWAY	0.01	0.11	0.00	0.01	0.37	0.1
PID_MYC_REPRESSPATHWAY	0.00	0.00	0.21	0.03	0.27	0.102
PID_HES_HEYPATHWAY	0.20	0.03	0.15	0.02	0.15	0.11
BIOCARTA_ATRBRCA_PATHWAY	0.34	0.13	0.00	0.06	0.05	0.116
REACTOME_FANCONI_ANEMIA_PATHWAY	0.41	0.13	0.00	0.01	0.05	0.12
REACTOME_CDC6_ASSOCIATION_WITH_THE_ORC_ORIGIN_COMPLEX	0.02	0.04	0.00	0.00	0.55	0.122
SA_REG_CASCADE_OF_CYCLIN_EXPR	0.34	0.15	0.00	0.01	0.11	0.122
PID_FOXOPATHWAY	0.49	0.03	0.03	0.01	0.09	0.13
SIG_PIP3_SIGNALING_IN_CARDIAC_MYOCTES	0.09	0.16	0.11	0.00	0.33	0.138
REACTOME_G1_PHASE	0.06	0.48	0.00	0.00	0.15	0.138
BIOCARTA_ETS_PATHWAY	0.50	0.08	0.01	0.04	0.08	0.142
REACTOME_GROWTH_HORMONE_RECEPTOR_SIGNALING	0.05	0.00	0.17	0.40	0.11	0.146
BIOCARTA_CELLCYCLE_PATHWAY	0.05	0.14	0.00	0.03	0.53	0.15
REACTOME_APC_CDC20_MEDIATED_DEGRADATION_OF_NEK2A	0.26	0.27	0.00	0.04	0.22	0.158
REACTOME_ADENYLATE_CYCLASE_ACTIVATING_PATHWAY	0.05	0.00	0.31	0.11	0.34	0.162
REACTOME_NRAGE_SIGNALS_DEATH_THROUGH_JNK	0.15	0.30	0.04	0.29	0.04	0.164
KEGG_PROSTATE_CANCER	0.07	0.01	0.25	0.21	0.30	0.168
BIOCARTA_RANMS_PATHWAY	0.18	0.07	0.00	0.06	0.53	0.168
PID_FANCONI_PATHWAY	0.49	0.17	0.00	0.03	0.16	0.17
REACTOME_ASSOCIATION_OF_LICENSING_FACTORS_WITH_THE_PRE_REPLICATIVE_COMPLEX	0.04	0.07	0.00	0.02	0.74	0.174
PID_HDAC_CLASSII_PATHWAY	0.11	0.16	0.49	0.03	0.10	0.178
REACTOME_NUCLEAR_SIGNALING_BY_ERBB4	0.18	0.00	0.37	0.09	0.25	0.178
REACTOME_SIGNALING_BY_RHO_GTPASES	0.07	0.33	0.07	0.08	0.35	0.18
PID_PLK1_PATHWAY	0.13	0.03	0.00	0.00	0.74	0.18
REACTOME_DOWNREGULATION_OF_TGF_BETA_RECEPTOR_SIGNALING	0.09	0.15	0.41	0.11	0.16	0.184
REACTOME_SEMA4D_INDUCED_CELL_MIGRATION_AND_GROWTH_CONE_COLLAPSE	0.02	0.01	0.49	0.35	0.05	0.184
KEGG_PANCREATIC_CANCER	0.34	0.00	0.01	0.11	0.48	0.188
PID_P53REGULATIONPATHWAY	0.53	0.32	0.01	0.01	0.08	0.19
REACTOME_HEMOSTASIS	0.14	0.46	0.00	0.22	0.13	0.19
REACTOME_BASIGIN_INTERACTIONS	0.07	0.14	0.41	0.28	0.05	0.19
