Gene Set	Basal	Her2	LumA	LumB	Normal	Average AUC
KEGG_JAK_STAT_SIGNALING_PATHWAY	0.95075758	0.86598124	0.83605053	0.75565176	0.87247475	0.856183172
REACTOME_PI3K_EVENTS_IN_ERBB2_SIGNALING	0.94718013	0.91738817	0.82565781	0.73895521	0.84469697	0.854775658
PID_MYC_REPRESSPATHWAY	0.95896465	0.94246032	0.83011731	0.71308321	0.76515152	0.841955402
REACTOME_OPIOID_SIGNALLING	0.95191498	0.89015152	0.83677944	0.75396825	0.76641414	0.839845666
KEGG_NON_SMALL_CELL_LUNG_CANCER	0.96548822	0.86598124	0.82641363	0.74182987	0.78282828	0.836508248
PID_P73PATHWAY	0.95949074	0.79148629	0.81267040	0.74539041	0.84848485	0.831504538
KEGG_BLADDER_CANCER	0.95801768	0.91341991	0.81452009	0.70378387	0.75378788	0.828705886
REACTOME_RESPONSE_TO_ELEVATED_PLATELET_CYTOSOLIC_CA2_	0.93970960	0.77849928	0.81864287	0.72582973	0.85858586	0.824253468
REACTOME_GABA_B_RECEPTOR_ACTIVATION	0.92992424	0.77344877	0.81391626	0.75452942	0.84217172	0.822798082
PID_FOXM1PATHWAY	0.95612374	0.78914141	0.81367701	0.73538536	0.81186869	0.821239242
REACTOME_PLATELET_ACTIVATION_SIGNALING_AND_AGGREGATION	0.95317761	0.78336941	0.82780382	0.72703223	0.81313131	0.820902876
KEGG_NATURAL_KILLER_CELL_MEDIATED_CYTOTOXICITY	0.95949074	0.72619048	0.81885650	0.73785474	0.85984848	0.820448188
REACTOME_METABOLISM_OF_NUCLEOTIDES	0.95128367	0.86958874	0.82744254	0.70755171	0.73989899	0.81915313
REACTOME_DOWNREGULATION_OF_ERBB2_ERBB3_SIGNALING	0.90603956	0.89790765	0.80264880	0.68141735	0.80681818	0.818966308
KEGG_CHRONIC_MYELOID_LEUKEMIA	0.93728956	0.78787879	0.80632319	0.73721340	0.81944444	0.817629876
KEGG_ALZHEIMERS_DISEASE	0.95338805	0.79743867	0.82526684	0.71740412	0.79040404	0.816780344
REACTOME_MRNA_SPLICING	0.95317761	0.79671717	0.83407647	0.71508738	0.78156566	0.816124858
KEGG_FC_GAMMA_R_MEDIATED_PHAGOCYTOSIS	0.94949495	0.72150072	0.82380258	0.72434300	0.86111111	0.816050472
PID_ATF2_PATHWAY	0.94002525	0.83044733	0.82782511	0.75180375	0.71590909	0.813202106
REACTOME_MITOCHONDRIAL_PROTEIN_IMPORT	0.94981061	0.78896104	0.80942404	0.71268238	0.80176768	0.81252915
KEGG_ENDOMETRIAL_CANCER	0.94412879	0.86886724	0.83868739	0.73536957	0.67297980	0.812006558
PID_E2F_PATHWAY	0.96822391	0.83459596	0.82324700	0.71669072	0.71590909	0.811733336
