Gene Set	Basal	Her2	LumA	LumB	Normal	Average AUC
KEGG_FOCAL_ADHESION	0.98323662	0.93362193	0.88784218	0.81533331	0.92508418	0.909023644
KEGG_RENAL_CELL_CARCINOMA	0.98162476	0.90187590	0.85704297	0.79789834	0.96506734	0.900701862
KEGG_INOSITOL_PHOSPHATE_METABOLISM	0.97786374	0.88023088	0.88630624	0.79568599	0.93013468	0.894044306
KEGG_CYTOKINE_CYTOKINE_RECEPTOR_INTERACTION	0.98076510	0.90061328	0.87192402	0.81920827	0.88552189	0.891606512
BIOCARTA_IL2RB_PATHWAY	0.96453901	0.85768398	0.90943994	0.79431411	0.92213805	0.889623018
PID_IL2_1PATHWAY	0.97378036	0.86111111	0.90111479	0.79582564	0.90614478	0.887595336
REACTOME_RESPONSE_TO_ELEVATED_PLATELET_CYTOSOLIC_CA2_	0.97034172	0.88455988	0.87703237	0.78385364	0.89941077	0.883039676
PID_RAC1_REG_PATHWAY	0.98033527	0.85407648	0.90735106	0.78535224	0.85942761	0.877308532
KEGG_T_CELL_RECEPTOR_SIGNALING_PATHWAY	0.98001289	0.85353535	0.87692755	0.78653664	0.88804714	0.877011914
PID_TCR_PATHWAY	0.97001934	0.87698413	0.85467605	0.74827073	0.91792929	0.873575908
PID_A6B1_A6B4_INTEGRIN_PATHWAY	0.97582205	0.90548341	0.87224919	0.77388381	0.82870370	0.871228432
PID_ERBB1_RECEPTOR_PROXIMAL_PATHWAY	0.97464002	0.80952381	0.86725454	0.76364904	0.92887205	0.868787892
BIOCARTA_KERATINOCYTE_PATHWAY	0.96991188	0.84541847	0.87041853	0.77720086	0.86195286	0.86498052
KEGG_CELL_CYCLE	0.97904578	0.92135642	0.93982002	0.84313307	0.63888889	0.864448836
REACTOME_MITOTIC_G1_G1_S_PHASES	0.97840103	0.92514430	0.93547257	0.83669516	0.63720539	0.86258369
REACTOME_TIGHT_JUNCTION_INTERACTIONS	0.94336987	0.79148629	0.85917219	0.80470577	0.90404040	0.860554904
REACTOME_NUCLEOTIDE_BINDING_DOMAIN_LEUCINE_RICH_REPEAT_CONTAINING_RECEPTOR_NLR_SIGNALING_PATHWAYS	0.97259832	0.84559885	0.85884597	0.73844694	0.87878788	0.858855592
PID_CD8TCRPATHWAY	0.96389426	0.87012987	0.83907020	0.72835239	0.88804714	0.857898772
PID_DELTANP63PATHWAY	0.97206104	0.90674603	0.92131344	0.89902740	0.59006734	0.85784305
REACTOME_IL_2_SIGNALING	0.94498173	0.80555556	0.89289438	0.73614420	0.90698653	0.85731248
KEGG_P53_SIGNALING_PATHWAY	0.97464002	0.89844877	0.92740784	0.85107346	0.61363636	0.85304129
BIOCARTA_ETS_PATHWAY	0.94831292	0.84307359	0.89325690	0.81904496	0.76136364	0.853010402
KEGG_PYRIMIDINE_METABOLISM	0.98001289	0.89898990	0.93303477	0.84208832	0.60900673	0.852626522
REACTOME_COSTIMULATION_BY_THE_CD28_FAMILY	0.97947561	0.85840548	0.84727703	0.74872051	0.82912458	0.852600642
REACTOME_G1_PHASE	0.97947561	0.85028860	0.92020664	0.82315086	0.68981481	0.852587304
REACTOME_APOPTOSIS	0.98055018	0.93235931	0.91790798	0.84790946	0.58417508	0.852580402
ST_T_CELL_SIGNAL_TRANSDUCTION	0.97496239	0.76551227	0.86273557	0.70553461	0.94696970	0.851142908
KEGG_PURINE_METABOLISM	0.98065764	0.92063492	0.93363074	0.84359468	0.56776094	0.849255784
BIOCARTA_IL7_PATHWAY	0.90581725	0.82142857	0.84854302	0.72917087	0.94023569	0.84903908
