Gene Set	Basal	Her2	LumA	LumB	Normal	Average AUC
BIOCARTA_ARF_PATHWAY	0.80606584	0.73093577	0.74786855	0.44539605	0.53571064	0.65319537
KEGG_CELL_CYCLE	0.75884055	0.69576919	0.73780888	0.52011761	0.54967350	0.652441946
KEGG_SMALL_CELL_LUNG_CANCER	0.82458451	0.71306692	0.73930910	0.47873495	0.49934190	0.651007476
REACTOME_CELL_CYCLE	0.74459305	0.66356605	0.69952702	0.59176142	0.54961228	0.649811964
ST_JNK_MAPK_PATHWAY	0.79418342	0.68609511	0.74539769	0.50313735	0.50344353	0.64645142
KEGG_WNT_SIGNALING_PATHWAY	0.74618302	0.68496647	0.72466675	0.52338124	0.53421590	0.642682676
PID_P53DOWNSTREAMPATHWAY	0.77181667	0.71445043	0.76320416	0.51794486	0.42691052	0.638865328
PID_P75NTRPATHWAY	0.81486647	0.72984404	0.74661995	0.46504618	0.42800224	0.636875776
PID_MYC_ACTIVPATHWAY	0.77119811	0.69748001	0.74585022	0.50181794	0.46062137	0.63539353
ST_FAS_SIGNALING_PATHWAY	0.77347638	0.69161053	0.74264755	0.47086995	0.46972248	0.629665378
BIOCARTA_P53HYPOXIA_PATHWAY	0.76587779	0.73011843	0.72794040	0.49273259	0.42960412	0.629254666
REACTOME_FACTORS_INVOLVED_IN_MEGAKARYOCYTE_DEVELOPMENT_AND_PLATELET_PRODUCTION	0.74987766	0.68530096	0.71937826	0.49263112	0.49865830	0.62916926
REACTOME_METABOLISM_OF_PROTEINS	0.61518921	0.62880793	0.61561796	0.53021881	0.74210285	0.626387352
KEGG_NEUROTROPHIN_SIGNALING_PATHWAY	0.77330402	0.71923841	0.73552124	0.52478766	0.37816039	0.626202344
BIOCARTA_ATRBRCA_PATHWAY	0.75851876	0.72864340	0.73484410	0.46585052	0.42354862	0.62228108
KEGG_APOPTOSIS	0.80118450	0.72197184	0.73162433	0.50172772	0.35287726	0.62187713
PID_P53REGULATIONPATHWAY	0.75514772	0.71138366	0.74588244	0.48513743	0.41158045	0.62182634
BIOCARTA_G1_PATHWAY	0.76455076	0.69310763	0.72242737	0.49185072	0.43660341	0.621707978
BIOCARTA_CHEMICAL_PATHWAY	0.76578509	0.69852168	0.72710770	0.48198235	0.42708397	0.620096158
KEGG_PANCREATIC_CANCER	0.79309765	0.78749359	0.71820333	0.49159119	0.30966738	0.620010628
KEGG_AMYOTROPHIC_LATERAL_SCLEROSIS_ALS	0.76194944	0.69640787	0.72428310	0.47141629	0.44349556	0.619510452
BIOCARTA_G2_PATHWAY	0.76653985	0.70433440	0.73183816	0.47717248	0.41103459	0.618183896
