Gene Set	Basal	Her2	LumA	LumB	Average AUC
KEGG_OOCYTE_MEIOSIS	0.99427609	0.95993266	0.96838311	0.91192696	0.958629705
PID_P53DOWNSTREAMPATHWAY	0.99429854	0.95468013	0.95886583	0.92488345	0.9581819875
KEGG_PATHWAYS_IN_CANCER	0.99416386	0.96925926	0.95563424	0.91274281	0.9579500425
PID_DELTANP63PATHWAY	0.99382716	0.94168350	0.96732543	0.92848238	0.9578296175
REACTOME_HEMOSTASIS	0.99450056	0.95582492	0.96012297	0.90681818	0.9543166575
KEGG_PROSTATE_CANCER	0.99373737	0.97434343	0.94142695	0.90239399	0.952975435
PID_P73PATHWAY	0.99367003	0.93784512	0.96798968	0.90874126	0.9520615225
REACTOME_AXON_GUIDANCE	0.99450056	0.95797980	0.95234592	0.89968920	0.95112887
REACTOME_CELL_CYCLE	0.99263749	0.94390572	0.96075062	0.90490158	0.9505488525
PID_TAP63PATHWAY	0.99265993	0.96488215	0.93725003	0.90595289	0.95018625
KEGG_PANCREATIC_CANCER	0.99396184	0.96690236	0.94007832	0.89361800	0.94864013
KEGG_P53_SIGNALING_PATHWAY	0.99221100	0.93080808	0.95655318	0.91324139	0.9482034125
REACTOME_CELL_CYCLE_MITOTIC	0.99306397	0.93824916	0.95990887	0.90099068	0.94805317
KEGG_PURINE_METABOLISM	0.99450056	0.95797980	0.95089482	0.88842269	0.9479494675
REACTOME_DEVELOPMENTAL_BIOLOGY	0.99472503	0.95895623	0.94629081	0.89079254	0.9476911525
REACTOME_IMMUNE_SYSTEM	0.99472503	0.93713805	0.95899575	0.89792152	0.9471950875
PID_FOXM1PATHWAY	0.99148148	0.90811448	0.96319719	0.92553095	0.947081025
KEGG_PROGESTERONE_MEDIATED_OOCYTE_MATURATION	0.99117845	0.94269360	0.96019799	0.89376457	0.9469586525
REACTOME_ADAPTIVE_IMMUNE_SYSTEM	0.99450056	0.94010101	0.95706156	0.89495597	0.946654775
REACTOME_APOPTOSIS	0.99472503	0.95656566	0.94731510	0.88523051	0.945959075
REACTOME_TRANSMEMBRANE_TRANSPORT_OF_SMALL_MOLECULES	0.99472503	0.96653199	0.93756771	0.88231676	0.9452853725
REACTOME_MITOTIC_G1_G1_S_PHASES	0.99393939	0.94639731	0.95404589	0.88504274	0.9448563325
