Gene Set	Basal	Her2	LumA	LumB	Normal	Average p-value
PID_HEDGEHOG_2PATHWAY	0.00	0.00	0.00	0.35	0.00	0.07
KEGG_CELL_CYCLE	0.00	0.00	0.00	0.05	0.39	0.088
REACTOME_POTASSIUM_CHANNELS	0.15	0.21	0.02	0.00	0.14	0.104
KEGG_SMALL_CELL_LUNG_CANCER	0.00	0.00	0.00	0.13	0.40	0.106
REACTOME_SIGNALING_BY_PDGF	0.01	0.02	0.00	0.12	0.45	0.12
KEGG_PHOSPHATIDYLINOSITOL_SIGNALING_SYSTEM	0.00	0.02	0.00	0.61	0.00	0.126
REACTOME_CELL_CYCLE	0.00	0.02	0.02	0.20	0.40	0.128
PID_FANCONI_PATHWAY	0.14	0.02	0.02	0.05	0.43	0.132
REACTOME_TERMINATION_OF_O_GLYCAN_BIOSYNTHESIS	0.00	0.07	0.00	0.35	0.32	0.148
REACTOME_CREB_PHOSPHORYLATION_THROUGH_THE_ACTIVATION_OF_RAS	0.02	0.12	0.13	0.25	0.29	0.162
SIG_PIP3_SIGNALING_IN_B_LYMPHOCYTES	0.01	0.23	0.01	0.32	0.28	0.17
SA_PTEN_PATHWAY	0.00	0.50	0.00	0.35	0.00	0.17
BIOCARTA_ETS_PATHWAY	0.36	0.12	0.12	0.15	0.15	0.18
REACTOME_ELONGATION_ARREST_AND_RECOVERY	0.23	0.25	0.30	0.06	0.08	0.184
PID_NECTIN_PATHWAY	0.01	0.01	0.01	0.00	0.93	0.192
KEGG_CHEMOKINE_SIGNALING_PATHWAY	0.02	0.35	0.02	0.49	0.09	0.194
BIOCARTA_IL7_PATHWAY	0.00	0.98	0.00	0.00	0.00	0.196
KEGG_NEUROTROPHIN_SIGNALING_PATHWAY	0.00	0.00	0.00	0.13	0.85	0.196
KEGG_REGULATION_OF_ACTIN_CYTOSKELETON	0.02	0.14	0.09	0.42	0.34	0.202
PID_NEPHRIN_NEPH1_PATHWAY	0.01	0.26	0.01	0.35	0.38	0.202
KEGG_FOCAL_ADHESION	0.02	0.41	0.02	0.43	0.13	0.202
REACTOME_L1CAM_INTERACTIONS	0.07	0.87	0.06	0.01	0.01	0.204
REACTOME_SIGNALING_BY_FGFR1_MUTANTS	0.01	0.79	0.02	0.16	0.06	0.208
REACTOME_SIGNALING_BY_FGFR_MUTANTS	0.01	1.00	0.02	0.01	0.01	0.21
SIG_CD40PATHWAYMAP	0.01	0.87	0.01	0.16	0.00	0.21
PID_P53REGULATIONPATHWAY	0.00	0.00	0.00	0.39	0.67	0.212
REACTOME_METAL_ION_SLC_TRANSPORTERS	0.16	0.10	0.12	0.05	0.63	0.212
REACTOME_POST_NMDA_RECEPTOR_ACTIVATION_EVENTS	0.02	0.30	0.08	0.35	0.31	0.212
BIOCARTA_INSULIN_PATHWAY	0.00	0.15	0.00	0.02	0.90	0.214
KEGG_CALCIUM_SIGNALING_PATHWAY	0.23	0.01	0.06	0.73	0.04	0.214
KEGG_DRUG_METABOLISM_OTHER_ENZYMES	0.06	0.10	0.29	0.38	0.25	0.216
REACTOME_G_ALPHA_Q_SIGNALLING_EVENTS	0.02	0.34	0.02	0.36	0.34	0.216
REACTOME_SIGNALING_BY_ILS	0.01	0.58	0.00	0.48	0.02	0.218
BIOCARTA_BLYMPHOCYTE_PATHWAY	0.15	0.06	0.32	0.48	0.08	0.218
BIOCARTA_CARDIACEGF_PATHWAY	0.19	0.00	0.18	0.06	0.66	0.218
REACTOME_SIGNALING_BY_FGFR_IN_DISEASE	0.01	0.15	0.00	0.40	0.53	0.218
REACTOME_SIGNALING_BY_RHO_GTPASES	0.01	0.23	0.02	0.37	0.47	0.22
REACTOME_IL_3_5_AND_GM_CSF_SIGNALING	0.01	0.08	0.02	0.04	0.95	0.22
PID_PDGFRBPATHWAY	0.00	0.04	0.00	0.14	0.92	0.22
REACTOME_EARLY_PHASE_OF_HIV_LIFE_CYCLE	0.36	0.01	0.13	0.29	0.32	0.222
PID_TRAIL_PATHWAY	0.01	0.92	0.01	0.07	0.10	0.222
KEGG_APOPTOSIS	0.00	0.00	0.00	0.25	0.87	0.224
PID_TRKRPATHWAY	0.01	0.18	0.01	0.00	0.93	0.226
BIOCARTA_INTRINSIC_PATHWAY	0.00	0.00	0.01	0.19	0.94	0.228
PID_LYMPHANGIOGENESIS_PATHWAY	0.00	0.81	0.00	0.01	0.32	0.228
KEGG_HUNTINGTONS_DISEASE	0.01	0.00	0.02	0.55	0.56	0.228
REACTOME_PROSTANOID_LIGAND_RECEPTORS	0.39	0.14	0.16	0.12	0.33	0.228
REACTOME_SIGNALING_BY_BMP	0.39	0.25	0.11	0.04	0.37	0.232
REACTOME_UNBLOCKING_OF_NMDA_RECEPTOR_GLUTAMATE_BINDING_AND_ACTIVATION	0.00	0.88	0.00	0.15	0.14	0.234
SIG_CHEMOTAXIS	0.01	0.01	0.02	0.77	0.36	0.234
PID_S1P_S1P2_PATHWAY	0.39	0.06	0.10	0.29	0.35	0.238
REACTOME_PI_3K_CASCADE	0.01	0.18	0.01	0.06	0.93	0.238
REACTOME_ACTIVATION_OF_NMDA_RECEPTOR_UPON_GLUTAMATE_BINDING_AND_POSTSYNAPTIC_EVENTS	0.02	0.64	0.04	0.13	0.37	0.24
BIOCARTA_DC_PATHWAY	0.48	0.07	0.02	0.32	0.32	0.242
