Gene Set	AUC
PID_ECADHERIN_NASCENTAJ_PATHWAY	0.99494949
MORF_THPO	0.99494949
REACTOME_ABC_FAMILY_PROTEINS_MEDIATED_TRANSPORT	0.99494949
MODULE_160	0.99494949
REACTOME_SIGNALING_BY_RHO_GTPASES	0.99494949
REACTOME_PROTEOLYTIC_CLEAVAGE_OF_SNARE_COMPLEX_PROTEINS	0.99494949
MODULE_3	0.99494949
GNF2_MSN	0.99494949
REACTOME_AMINO_ACID_TRANSPORT_ACROSS_THE_PLASMA_MEMBRANE	0.99494949
MODULE_180	0.99494949
REACTOME_DESTABILIZATION_OF_MRNA_BY_KSRP	0.99494949
REACTOME_INFLUENZA_LIFE_CYCLE	0.99494949
BIOCARTA_CDK5_PATHWAY	0.99494949
GCM_TINF2	0.99494949
REACTOME_INFLUENZA_VIRAL_RNA_TRANSCRIPTION_AND_REPLICATION	0.99494949
REACTOME_REGULATION_OF_ORNITHINE_DECARBOXYLASE_ODC	0.99494949
REACTOME_P75NTR_RECRUITS_SIGNALLING_COMPLEXES	0.99494949
MODULE_284	0.99494949
REACTOME_METABOLISM_OF_MRNA	0.99494949
MODULE_342	0.99494949
REACTOME_SYNTHESIS_OF_BILE_ACIDS_AND_BILE_SALTS	0.99494949
MODULE_357	0.99494949
REACTOME_APOPTOTIC_CLEAVAGE_OF_CELLULAR_PROTEINS	0.99494949
MODULE_280	0.99494949
KEGG_TERPENOID_BACKBONE_BIOSYNTHESIS	0.99494949
BIOCARTA_PITX2_PATHWAY	0.99494949
PID_RANBP2PATHWAY	0.99494949
REACTOME_NCAM_SIGNALING_FOR_NEURITE_OUT_GROWTH	0.99494949
MODULE_244	0.99494949
PID_IL2_PI3KPATHWAY	0.99494949
REACTOME_GLYCOPROTEIN_HORMONES	0.99494949
REACTOME_DARPP_32_EVENTS	0.99494949
REACTOME_SPRY_REGULATION_OF_FGF_SIGNALING	0.99494949
REACTOME_DOWNSTREAM_TCR_SIGNALING	0.99494949
MORF_TERF2IP	0.99494949
REACTOME_E2F_ENABLED_INHIBITION_OF_PRE_REPLICATION_COMPLEX_FORMATION	0.99494949
KEGG_AMINO_SUGAR_AND_NUCLEOTIDE_SUGAR_METABOLISM	0.99494949
REACTOME_MRNA_3_END_PROCESSING	0.99494949
REACTOME_AUTODEGRADATION_OF_CDH1_BY_CDH1_APC_C	0.99494949
MORF_EI24	0.99494949
KEGG_REGULATION_OF_ACTIN_CYTOSKELETON	0.99494949
REACTOME_LAGGING_STRAND_SYNTHESIS	0.99494949
MORF_DAP	0.99494949
MORF_NPM1	0.99494949
REACTOME_P75NTR_SIGNALS_VIA_NFKB	0.99494949
PID_ATM_PATHWAY	0.99494949
REACTOME_ORGANIC_CATION_ANION_ZWITTERION_TRANSPORT	0.99494949
REACTOME_SMOOTH_MUSCLE_CONTRACTION	0.99494949
BIOCARTA_NO1_PATHWAY	0.99494949
MORF_DNMT1	0.99494949
MODULE_294	0.99494949
REACTOME_CDC6_ASSOCIATION_WITH_THE_ORC_ORIGIN_COMPLEX	0.99494949
GNF2_RPA1	0.99494949
KEGG_PRION_DISEASES	0.99494949
GCM_RAP2A	0.99494949
GCM_CDH5	0.99494949
BIOCARTA_CD40_PATHWAY	0.99494949
REACTOME_REGULATION_OF_IFNG_SIGNALING	0.99494949
MODULE_356	0.99494949
REACTOME_VOLTAGE_GATED_POTASSIUM_CHANNELS	0.99494949
