Gene Set	Basal	Her2	LumA	LumB	Normal	Average AUC
KEGG_NON_SMALL_CELL_LUNG_CANCER	0.95627041	0.91881781	0.83203143	0.77423748	0.70033670	0.836338766
REACTOME_SIGNALING_BY_ERBB2	0.94896886	0.94097899	0.83886928	0.76055893	0.67227834	0.83233088
PID_IFNGPATHWAY	0.93981481	0.82910981	0.80355678	0.74042007	0.82716049	0.828012392
REACTOME_THROMBIN_SIGNALLING_THROUGH_PROTEINASE_ACTIVATED_RECEPTORS_PARS	0.92188297	0.75871778	0.80442200	0.75398202	0.89113356	0.826027666
KEGG_ERBB_SIGNALING_PATHWAY	0.94675926	0.92968673	0.83512907	0.74387696	0.66610550	0.824311504
PID_ERBB2ERBB3PATHWAY	0.93939394	0.93383149	0.82727273	0.75236492	0.66273850	0.823120316
REACTOME_OPIOID_SIGNALLING	0.94486532	0.91104023	0.83653482	0.75845759	0.65881033	0.821941658
REACTOME_PI3K_EVENTS_IN_ERBB2_SIGNALING	0.93002946	0.93895091	0.81621558	0.73785474	0.67901235	0.820412608
KEGG_MAPK_SIGNALING_PATHWAY	0.94381313	0.86439443	0.84123457	0.76398910	0.66386083	0.815458412
KEGG_JAK_STAT_SIGNALING_PATHWAY	0.94297138	0.88965680	0.83536397	0.76205052	0.64197531	0.814403596
REACTOME_HEMOSTASIS	0.95686027	0.87248705	0.83332948	0.74382433	0.66273850	0.813847926
BIOCARTA_TOB1_PATHWAY	0.90719697	0.80704708	0.79804804	0.71484688	0.83838384	0.813104562
PID_SMAD2_3PATHWAY	0.92529461	0.81163487	0.79525559	0.70348021	0.82154882	0.81144282
REACTOME_SIGNAL_AMPLIFICATION	0.91119529	0.69875165	0.79380154	0.73200257	0.91470258	0.810090726
REACTOME_NONSENSE_MEDIATED_DECAY_ENHANCED_BY_THE_EXON_JUNCTION_COMPLEX	0.94665404	0.89031642	0.82655746	0.71933622	0.66554433	0.809681694
KEGG_HUNTINGTONS_DISEASE	0.95991162	0.86227775	0.83661055	0.74407616	0.64197531	0.808970278
REACTOME_G_BETA_GAMMA_SIGNALLING_THROUGH_PI3KGAMMA	0.90867003	0.72702660	0.79360632	0.73713324	0.87542088	0.808371414
REACTOME_INNATE_IMMUNE_SYSTEM	0.94560185	0.83694646	0.84343434	0.75260744	0.66217733	0.808153484
REACTOME_ADP_SIGNALLING_THROUGH_P2RY12	0.89604377	0.70896095	0.80001292	0.71284271	0.91975309	0.807522688
REACTOME_CELL_SURFACE_INTERACTIONS_AT_THE_VASCULAR_WALL	0.95054714	0.87559809	0.82757746	0.73126649	0.64478114	0.805954064
KEGG_ALZHEIMERS_DISEASE	0.95728114	0.85591785	0.83605142	0.73577040	0.63804714	0.80461359
REACTOME_THROMBOXANE_SIGNALLING_THROUGH_TP_RECEPTOR	0.89751684	0.68532302	0.77649832	0.73080006	0.93097643	0.804222934
KEGG_VASCULAR_SMOOTH_MUSCLE_CONTRACTION	0.95326051	0.82096796	0.83107574	0.74763508	0.66554433	0.803696724
REACTOME_PLATELET_ACTIVATION_SIGNALING_AND_AGGREGATION	0.95002104	0.84475358	0.82912877	0.73682958	0.65656566	0.803459726
REACTOME_ADP_SIGNALLING_THROUGH_P2RY1	0.90814394	0.69206687	0.77525763	0.72366522	0.90965208	0.801757148
KEGG_CYTOKINE_CYTOKINE_RECEPTOR_INTERACTION	0.94581229	0.85081812	0.81666157	0.72885420	0.66329966	0.801089168
KEGG_MTOR_SIGNALING_PATHWAY	0.94255051	0.80542265	0.81941639	0.75485009	0.68181818	0.800811564
REACTOME_RIG_I_MDA5_MEDIATED_INDUCTION_OF_IFN_ALPHA_BETA_PATHWAYS	0.94391835	0.83917144	0.82511785	0.74555075	0.64870932	0.800493542
BIOCARTA_PPARA_PATHWAY	0.92939815	0.83686770	0.83925926	0.75525092	0.64029181	0.800213568
KEGG_PARKINSONS_DISEASE	0.95138889	0.84803198	0.83714927	0.71410595	0.64421998	0.798979214
PID_TRKRPATHWAY	0.92887205	0.81834918	0.81838701	0.76180921	0.65544332	0.796572154
REACTOME_RESPONSE_TO_ELEVATED_PLATELET_CYTOSOLIC_CA2_	0.94065657	0.83562723	0.82116723	0.72590989	0.65768799	0.796209782
KEGG_CHRONIC_MYELOID_LEUKEMIA	0.93371212	0.83184673	0.81255269	0.75877097	0.64309764	0.79599603
KEGG_CARDIAC_MUSCLE_CONTRACTION	0.95223064	0.78581133	0.84150393	0.74567100	0.65432099	0.795907578
REACTOME_SEMA4D_IN_SEMAPHORIN_SIGNALING	0.92687290	0.88040247	0.79441077	0.73814058	0.63860831	0.795687006
PID_P53REGULATIONPATHWAY	0.94107744	0.81588792	0.82307043	0.71867545	0.67508418	0.794759084
REACTOME_DOWNREGULATION_OF_ERBB2_ERBB3_SIGNALING	0.90930135	0.90994096	0.80505051	0.67933301	0.66722783	0.794170732
BIOCARTA_SET_PATHWAY	0.92308502	0.72899561	0.78927048	0.66193683	0.86756453	0.794170494
KEGG_T_CELL_RECEPTOR_SIGNALING_PATHWAY	0.93781566	0.84187883	0.81640626	0.70951701	0.66442200	0.794007952
KEGG_P53_SIGNALING_PATHWAY	0.94623316	0.80755902	0.81834212	0.76006093	0.63692480	0.793824006
PID_P73PATHWAY	0.94560185	0.82071199	0.81338072	0.74474179	0.64421998	0.793731266
REACTOME_TRANSPORT_OF_GLUCOSE_AND_OTHER_SUGARS_BILE_SALTS_AND_ORGANIC_ACIDS_METAL_IONS_AND_AMINE_COMPOUNDS	0.94844276	0.82962175	0.82790123	0.70955588	0.65263749	0.793631822
KEGG_GLIOMA	0.95422980	0.76956523	0.81489440	0.76214526	0.66161616	0.79249017
KEGG_FC_EPSILON_RI_SIGNALING_PATHWAY	0.93413300	0.81266860	0.83229262	0.71420555	0.66778900	0.792217754
REACTOME_METABOLISM_OF_PORPHYRINS	0.83116519	0.77325890	0.80173656	0.67837101	0.87598204	0.79210274
REACTOME_G_BETA_GAMMA_SIGNALLING_THROUGH_PLC_BETA	0.90404040	0.66079902	0.77308642	0.69511614	0.92592593	0.791793582
PID_ERBB1_DOWNSTREAM_PATHWAY	0.94286616	0.80236084	0.82282828	0.73451203	0.65263749	0.79104096
REACTOME_RESPIRATORY_ELECTRON_TRANSPORT_ATP_SYNTHESIS_BY_CHEMIOSMOTIC_COUPLING_AND_HEAT_PRODUCTION_BY_UNCOUPLING_PROTEINS_	0.96127946	0.78195565	0.82902629	0.73184223	0.65095398	0.791011522
REACTOME_COSTIMULATION_BY_THE_CD28_FAMILY	0.93665825	0.81908756	0.81157773	0.74466891	0.64197531	0.790793552
REACTOME_GENERATION_OF_SECOND_MESSENGER_MOLECULES	0.87595122	0.72345285	0.76749119	0.72462722	0.85858586	0.790021668
PID_NFAT_3PATHWAY	0.93844697	0.82300589	0.82479407	0.71284271	0.64983165	0.789784258
REACTOME_MITOCHONDRIAL_PROTEIN_IMPORT	0.94623316	0.83667080	0.81800156	0.72270322	0.62457912	0.789637572
REACTOME_INTEGRIN_CELL_SURFACE_INTERACTIONS	0.94644360	0.79433713	0.80585269	0.71537647	0.68518519	0.789439016
REACTOME_CD28_CO_STIMULATION	0.92866162	0.84525568	0.79265426	0.71653038	0.66386083	0.789392554
KEGG_GNRH_SIGNALING_PATHWAY	0.93886785	0.79838344	0.82130191	0.71877505	0.66105499	0.787676648
PID_EPHBFWDPATHWAY	0.90835438	0.87954595	0.80146380	0.72607023	0.62177329	0.78744153
REACTOME_STRIATED_MUSCLE_CONTRACTION	0.88688973	0.87174868	0.80395130	0.70514671	0.66835017	0.787217318
KEGG_HEMATOPOIETIC_CELL_LINEAGE	0.94454966	0.82048556	0.82404040	0.70290204	0.64253648	0.786902828
KEGG_FC_GAMMA_R_MEDIATED_PHAGOCYTOSIS	0.94149832	0.77021679	0.82902357	0.74795575	0.64478114	0.786695114
BIOCARTA_EGFR_SMRTE_PATHWAY	0.88690886	0.81244216	0.76015713	0.68922996	0.78451178	0.786649978
PID_TXA2PATHWAY	0.92066498	0.80805127	0.81214366	0.74009941	0.65207632	0.786607128
KEGG_INOSITOL_PHOSPHATE_METABOLISM	0.93465909	0.81955028	0.80877666	0.71962369	0.65039282	0.786600508
PID_HDAC_CLASSI_PATHWAY	0.93402778	0.80998090	0.83078847	0.74194324	0.61616162	0.786580402
REACTOME_PI3K_EVENTS_IN_ERBB4_SIGNALING	0.91761364	0.80836631	0.80878663	0.72644596	0.67003367	0.786249242
PID_IL12_2PATHWAY	0.93413300	0.77669482	0.81678536	0.73232323	0.67059484	0.78610625
BIOCARTA_MTOR_PATHWAY	0.94865320	0.79558745	0.78278339	0.71324355	0.68686869	0.785427256
KEGG_NATURAL_KILLER_CELL_MEDIATED_CYTOTOXICITY	0.94364414	0.79086183	0.81748370	0.74250441	0.63243547	0.78538591
KEGG_TIGHT_JUNCTION	0.95791246	0.74654931	0.82197531	0.74054235	0.65881033	0.785157952
KEGG_LEUKOCYTE_TRANSENDOTHELIAL_MIGRATION	0.95517677	0.76073602	0.83168225	0.72414622	0.65319865	0.784987982
BIOCARTA_G2_PATHWAY	0.93034512	0.80665328	0.80549944	0.72155174	0.66049383	0.784908682
KEGG_VEGF_SIGNALING_PATHWAY	0.93066077	0.78760313	0.81142536	0.72390977	0.66778900	0.784277606
REACTOME_PROSTACYCLIN_SIGNALLING_THROUGH_PROSTACYCLIN_RECEPTOR	0.90603956	0.67791955	0.77678536	0.72037839	0.83894501	0.784013574
REACTOME_GAB1_SIGNALOSOME	0.92897727	0.78966074	0.80060062	0.72914798	0.67115600	0.783908522
PID_NECTIN_PATHWAY	0.93507997	0.79318526	0.79454137	0.72075007	0.67452301	0.783615936
BIOCARTA_GH_PATHWAY	0.92213805	0.80816941	0.79650421	0.71701138	0.67396184	0.783556978
ST_FAS_SIGNALING_PATHWAY	0.94433923	0.79687715	0.81784512	0.70009620	0.65824916	0.783481372
PID_CXCR3PATHWAY	0.93813131	0.79014315	0.79696970	0.72318422	0.66666667	0.78301901
KEGG_LONG_TERM_POTENTIATION	0.94234432	0.74812452	0.81815937	0.75044092	0.65319865	0.782453556
REACTOME_PI3K_AKT_ACTIVATION	0.92447731	0.79033020	0.80825494	0.71813372	0.66947250	0.782133734
PID_TCPTP_PATHWAY	0.92256317	0.80542265	0.80424877	0.69656886	0.68125701	0.782012092
KEGG_AMYOTROPHIC_LATERAL_SCLEROSIS_ALS	0.93223906	0.78373403	0.82121212	0.73865641	0.63355780	0.781879884
KEGG_AMINO_SUGAR_AND_NUCLEOTIDE_SUGAR_METABOLISM	0.92266414	0.80829740	0.82023444	0.70121853	0.65432099	0.7813471
PID_CD8TCRDOWNSTREAMPATHWAY	0.92603114	0.77879182	0.80435148	0.72911656	0.66778900	0.781216
PID_HES_HEYPATHWAY	0.92234848	0.80647607	0.83319684	0.72326439	0.62065095	0.781187346
PID_ALPHASYNUCLEIN_PATHWAY	0.92287458	0.81778802	0.80998878	0.71139971	0.64365881	0.78114198
KEGG_ARACHIDONIC_ACID_METABOLISM	0.91540404	0.80277433	0.81130746	0.72052900	0.65488215	0.780979396
PID_IL23PATHWAY	0.93907828	0.78773111	0.80588670	0.73352573	0.63860831	0.780966026
REACTOME_CD28_DEPENDENT_PI3K_AKT_SIGNALING	0.92434764	0.82968082	0.78398032	0.71572872	0.64590348	0.779928196
REACTOME_G_ALPHA_Z_SIGNALLING_EVENTS	0.94025801	0.72994073	0.81443322	0.74747475	0.66554433	0.779530208
REACTOME_CLASS_B_2_SECRETIN_FAMILY_RECEPTORS	0.93045034	0.76193711	0.78891247	0.73240340	0.68237935	0.779216534
PID_NOTCH_PATHWAY	0.91519360	0.80730305	0.80523008	0.71829405	0.64983165	0.779170486
REACTOME_PRE_NOTCH_TRANSCRIPTION_AND_TRANSLATION	0.91605130	0.77299309	0.80965208	0.76286676	0.63355780	0.779024206
PID_LKB1_PATHWAY	0.90688131	0.76429007	0.82458185	0.73993907	0.65937149	0.779012758
PID_LYMPHANGIOGENESIS_PATHWAY	0.92645202	0.79995865	0.78398962	0.71348405	0.67003367	0.778783602
REACTOME_BIOSYNTHESIS_OF_THE_N_GLYCAN_PRECURSOR_DOLICHOL_LIPID_LINKED_OLIGOSACCHARIDE_LLO_AND_TRANSFER_TO_A_NASCENT_PROTEIN	0.91235269	0.76689901	0.80050154	0.70987654	0.70258137	0.77844223
BIOCARTA_IL10_PATHWAY	0.89172980	0.85084766	0.79882317	0.73248357	0.61784512	0.778345864
KEGG_RENAL_CELL_CARCINOMA	0.94339226	0.76105106	0.81182941	0.74075856	0.63355780	0.778117818
REACTOME_GABA_B_RECEPTOR_ACTIVATION	0.92603114	0.76414240	0.81409493	0.74969512	0.63636364	0.778065446
REACTOME_PRE_NOTCH_EXPRESSION_AND_PROCESSING	0.92361111	0.76874719	0.81977553	0.74907808	0.62514029	0.77727044
PID_IL8CXCR2_PATHWAY	0.92224327	0.76208479	0.81408088	0.74539041	0.64253648	0.777267166
PID_REELINPATHWAY	0.91656145	0.79539055	0.78987110	0.71701138	0.66554433	0.776875762
REACTOME_PERK_REGULATED_GENE_EXPRESSION	0.93097643	0.78538799	0.81485495	0.71138028	0.63973064	0.776466058
PID_IL27PATHWAY	0.93539562	0.77412527	0.81453888	0.72927690	0.62850730	0.776368794
KEGG_GLYOXYLATE_AND_DICARBOXYLATE_METABOLISM	0.94297138	0.76952764	0.81313131	0.71628988	0.63916947	0.776217936
PID_IL8CXCR1_PATHWAY	0.91298401	0.76820840	0.81631874	0.74352147	0.63916947	0.776040418
REACTOME_BASIGIN_INTERACTIONS	0.90993266	0.78125308	0.80601231	0.71733205	0.66273850	0.77545372
